 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
88.59999999999999, 20.21385, 204.993, 54.56163, 103.0359, 587.1078, 65.35184, 847.1603, 67.4951, 307.6346, 1691.883, 6.15654, 0.004274082, 511.6395, 1299.753, 1948.546
88.7, 19.13148, 194.6521, 50.72402, 97.26933, 536.3329, 59.87133, 797.6165, 64.08237, 295.199, 1813.714, 5.674962, 0.004080025, 475.6491, 1236.394, 1935.673
88.8, 18.10707, 184.8329, 47.15633, 91.82552, 489.9492, 54.85041, 750.9701, 60.8422, 283.2661, 1727.526, 5.231053, 0.003894779, 554.4531, 1233.911, 1847.899
88.90000000000001, 17.13751, 175.509, 43.83957, 86.68637, 447.577, 50.25056, 707.0517, 57.76586, 271.8156, 1645.434, 4.821868, 0.003717944, 515.451, 1173.761, 1706.762
89, 16.21987, 166.6554, 40.7561, 81.83485, 408.8692, 46.03646, 665.7017, 54.84507, 260.8279, 1781.891, 4.44469, 0.003549138, 479.1924, 1244.585, 1676.791
89.09999999999999, 15.35137, 158.2485, 37.8895, 77.25484, 373.5089, 42.17577, 626.77, 52.07196, 250.2844, 1723.876, 4.097016, 0.003387996, 469.1283, 1183.915, 1548.724
89.2, 14.52937, 150.2657, 35.22453, 72.93117, 341.2068, 38.63884, 590.1151, 49.43906, 240.1671, 1641.957, 3.776538, 0.00323417, 453.0752, 1126.203, 1841.773
89.3, 13.75138, 142.6855, 32.74699, 68.84947, 311.6982, 35.39852, 555.6039, 46.9393, 230.4588, 1563.931, 3.481128, 0.003087329, 486.1899, 1071.304, 2273.704
89.40000000000001, 13.01505, 135.4877, 30.44372, 64.99622, 284.7416, 32.42994, 523.1109, 44.56592, 221.1429, 1573.447, 3.208827, 0.002947155, 451.9897, 1019.081, 2849.968
89.5, 12.31815, 139.3086, 28.30245, 61.35861, 260.1163, 29.71031, 492.5182, 42.31255, 212.2036, 1498.677, 2.957825, 0.002813345, 420.1953, 1058.213, 3226.487
89.59999999999999, 11.65856, 132.2812, 26.31179, 57.92459, 237.6206, 27.21875, 463.7147, 40.17312, 203.6256, 1480.657, 2.726457, 0.00268561, 390.6373, 1006.629, 3563.669
89.7, 11.0343, 125.6082, 24.46114, 54.68275, 217.0705, 24.93614, 436.5956, 38.14186, 195.3944, 1429.785, 2.513187, 0.002563675, 363.1586, 1059.115, 3745.081
89.8, 10.44346, 156.2543, 22.74065, 51.62236, 198.2976, 22.84495, 411.0625, 36.21331, 187.4959, 1452.432, 2.3166, 0.002447276, 337.6128, 1101.092, 3988.895
