 , C00, C01, C02, C07, C08, C09, C13, C19, C22, C23, C30, C32, C34, C49
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
363.9, 289.9739, 459.2284, 1106.517, 1.186623, 0.1536756, 1441.97, 1058.493, 62.44732, 24.15477, 807.7952, 861.1591, 590.1576, 162.5044, 463.7705
364, 275.3705, 432.4009, 1080.841, 1.134796, 0.1470855, 1362.685, 1057.662, 58.39196, 22.54788, 761.7721, 810.9517, 552.4341, 196.3206, 534.4524
364.1, 261.5026, 423.4555, 1029.779, 1.085233, 0.140778, 1287.76, 1021.513, 54.59995, 21.04789, 851.8679, 763.6716, 517.1219, 331.3029, 588.7626
364.2, 248.3331, 398.7178, 1023.092, 1.037834, 0.134741, 1220.385, 1186.381, 51.0542, 19.64768, 803.3338, 719.1479, 484.067, 773.5944, 553.1053
364.3, 235.8267, 375.4253, 1045.798, 96.3428, 0.1289628, 1153.283, 1125.599, 47.73871, 18.34062, 787.8873, 707.6168, 504.7497, 725.5492, 552.4132
364.4, 223.9503, 370.0967, 996.3916, 92.13495, 0.1234325, 1182.324, 1067.931, 44.63853, 17.12052, 780.4567, 666.3613, 546.8488, 806.1304, 518.9574
364.5, 212.6719, 348.4762, 949.3196, 88.11087, 0.1181393, 1117.316, 1013.218, 41.73968, 15.98158, 735.9911, 627.5111, 572.1854, 756.0645, 590.9427
364.6, 201.9615, 328.1187, 904.4715, 84.26255, 0.1130731, 1063.829, 961.3076, 39.02908, 14.91841, 694.0589, 590.9259, 772.272, 709.108, 555.1535
364.7, 191.7905, 312.3422, 872.9417, 80.58231, 0.1082241, 1342.406, 912.0568, 36.49451, 13.92596, 664.4238, 556.4737, 998.8695, 747.7106, 622.8081
364.8, 246.1488, 294.0956, 918.2616, 77.0628, 0.1035831, 1268.596, 865.3293, 34.12453, 12.99954, 626.569, 524.0302, 1132.065, 806.4575, 585.089
364.9, 355.043, 357.2891, 1026.756, 73.69701, 0.0991411, 1198.844, 820.9958, 31.90846, 12.13475, 590.871, 493.4781, 1130.19, 756.3713, 549.6542
365, 376.515, 336.4168, 1070.243, 210.7881, 0.0948896, 1175.606, 778.9336, 29.83631, 11.32749, 801.6451, 464.7073, 1109.633, 709.3958, 631.9765
365.1, 357.5533, 397.3593, 1019.683, 201.5818, 0.09082042, 1162.226, 739.0264, 27.89872, 10.57393, 755.9724, 459.4364, 1038.704, 665.3378, 593.7021
365.2, 339.5465, 374.1461, 1032.979, 216.3825, 0.08692574, 1107.712, 701.1638, 26.08696, 9.870499, 712.9018, 432.6503, 998.6763, 624.016, 557.7458
365.3, 322.4466, 352.289, 1249.926, 206.9318, 0.08319807, 1046.806, 665.241, 24.39286, 9.213865, 797.4597, 438.4707, 1023.511, 585.2606, 523.967
365.4, 449.8173, 331.7088, 1795.849, 197.8939, 0.07963026, 1055, 631.1586, 22.80877, 8.600915, 752.0255, 412.907, 958.0871, 548.9121, 514.3394
365.5, 747.8478, 320.6864, 2175.902, 189.2507, 0.07621545, 1068.696, 598.8224, 21.32756, 8.028741, 709.1797, 596.5126, 896.8452, 514.8212, 541.059
365.6, 772.0359, 377.9702, 2271.513, 180.985, 0.07294708, 1009.935, 568.1428, 19.94254, 7.49463, 668.7751, 604.8973, 839.5179, 482.8475, 519.1094
365.7, 733.1554, 443.25, 2366.299, 173.0803, 0.06981886, 996.3038, 539.0351, 18.64746, 6.996051, 630.6725, 629.6071, 785.855, 452.8595, 487.6706
