 , C000, C001, C002, C003, C004, C006, C009, C013, C017, C019, C020, C023, C030, C040, C047, C049, C069, C071, C112
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
178.2, 25.8036, 138.9831, 170.6564, 14.38478, 491.5545, 248.7772, 1043.986, 259.8459, 481.5714, 48.93851, 182.0979, 9.254224, 437.2648, 813.6826, 956.573, 108.3926, 475.4242, 334.0791, 1288.42
178.3, 24.46604, 131.8003, 162.166, 13.60223, 460.1183, 234.6659, 992.9797, 247.6761, 472.5473, 45.94711, 171.6919, 8.665677, 416.8469, 797.5486, 939.0986, 100.9642, 451.9012, 314.7263, 1231.768
178.4, 23.19782, 124.9886, 154.098, 12.86225, 430.6924, 221.3551, 949.3551, 236.0763, 450.1034, 43.13855, 227.9772, 8.114561, 397.3824, 760.9591, 893.3466, 163.2359, 441.0318, 296.4946, 1323.728
178.5, 21.99534, 118.5291, 146.4314, 12.16253, 403.1485, 208.7993, 902.9722, 225.0197, 428.7255, 40.50167, 214.9494, 7.598495, 458.9772, 796.2973, 849.8235, 211.5148, 463.2294, 279.319, 1322.881
178.6, 20.85519, 112.4033, 139.1462, 11.50087, 391.0309, 196.9557, 909.6895, 214.4809, 408.3629, 38.02597, 202.6662, 7.115248, 437.5455, 785.296, 842.9099, 207.6886, 440.3098, 263.1384, 1287.953
178.7, 19.77414, 106.5942, 132.2234, 10.87521, 366.0234, 185.7839, 865.2445, 204.4358, 388.9675, 35.7016, 191.0848, 6.662735, 417.1145, 749.2686, 881.7531, 193.455, 418.5242, 247.8951, 1278.715
178.8, 18.74913, 101.0852, 125.6451, 10.28358, 342.6152, 175.2458, 822.971, 194.8611, 370.4932, 33.5193, 180.1653, 6.239001, 461.7305, 732.9321, 992.4921, 180.1969, 466.5882, 233.5349, 1222.49
178.9, 17.77725, 95.86102, 157.5165, 9.724142, 320.704, 165.3054, 805.0089, 185.7348, 352.8964, 31.47041, 169.8698, 5.842216, 440.1702, 699.3069, 944.1387, 224.1615, 443.5024, 220.0065, 1281.331
179, 16.85575, 90.9068, 166.9807, 9.195136, 410.8208, 155.9289, 771.5727, 177.0359, 336.1354, 29.54675, 160.1626, 5.470665, 419.6167, 825.4245, 898.1411, 332.1694, 488.33, 207.2617, 1292.774
179.1, 15.98201, 86.20861, 158.6731, 8.694909, 396.6641, 176.7235, 733.8757, 168.7445, 354.7741, 27.74068, 151.0101, 5.122743, 400.0229, 787.5561, 854.3843, 309.4048, 464.1685, 195.2553, 1235.931
179.2, 15.15357, 81.75323, 150.7789, 8.221895, 371.2964, 166.6993, 872.2777, 160.8414, 361.3827, 26.04501, 142.3806, 4.796949, 381.344, 751.425, 812.7595, 288.2003, 441.2024, 183.9444, 1410.242
179.3, 14.36807, 77.52812, 143.2774, 7.774613, 369.1607, 164.7837, 934.1515, 153.3084, 383.9992, 24.45298, 134.2443, 4.491874, 404.1565, 764.5169, 773.1625, 310.622, 419.3727, 173.2887, 1348.233
179.4, 13.62328, 73.52136, 136.1491, 7.351665, 345.5519, 155.4368, 905.834, 146.1283, 365.7609, 22.95827, 126.5729, 57.68142, 385.2846, 729.5129, 735.4946, 435.1764, 398.623, 163.2503, 1288.951
179.5, 12.91711, 69.72168, 165.9026, 6.951725, 472.7233, 146.62, 865.7177, 139.2844, 348.3889, 73.36447, 119.3399, 54.01302, 438.5267, 800.3442, 699.6619, 430.6305, 378.9, 153.7934, 1267.798
179.6, 12.24754, 66.11837, 157.6487, 6.573542, 442.4914, 138.3034, 896.6768, 153.7246, 331.8419, 68.88, 112.5202, 50.57792, 418.0499, 862.8752, 665.575, 401.118, 360.1528, 144.8844, 1230.948
179.7, 11.61267, 62.70128, 245.8547, 6.215932, 414.1928, 130.4585, 852.8676, 146.5249, 422.9654, 64.66965, 111.9696, 47.36128, 398.5293, 823.2887, 633.1487, 373.6281, 401.1713, 136.4914, 1296.831
179.8, 11.01072, 59.4608, 251.5383, 5.877778, 387.7041, 123.0586, 811.1989, 139.6625, 402.8764, 60.71667, 105.5711, 44.34922, 379.9201, 797.0577, 602.3022, 348.0222, 381.3222, 128.5846, 1251.773
179.9, 10.43997, 56.38778, 239.0238, 5.558019, 362.9094, 116.0784, 771.5659, 133.1214, 383.7416, 57.00531, 99.53828, 41.52871, 362.18, 760.4907, 572.9585, 324.1711, 480.6571, 121.1358, 1225.479
180, 9.898799, 53.47359, 227.132, 5.255656, 339.7004, 109.4942, 733.8693, 126.8867, 433.2091, 53.52081, 93.85017, 38.88758, 345.2682, 725.6013, 545.0444, 391.3899, 456.8752, 114.1186, 1411.246
180.1, 9.385685, 50.71, 215.8318, 29.75245, 317.9756, 254.3842, 880.9761, 120.944, 412.6335, 89.40117, 88.48711, 36.41443, 329.146, 692.3125, 518.4903, 389.8354, 434.27, 107.5078, 1599.588
180.2, 8.899168, 48.08924, 236.6776, 42.43822, 380.9393, 239.9549, 837.934, 115.2796, 393.0353, 83.93645, 83.43052, 34.09856, 313.7767, 660.5509, 493.2299, 363.1187, 412.7832, 101.28, 1577.59
180.3, 8.437871, 45.60392, 224.9025, 40.12953, 356.5772, 226.3441, 796.9949, 109.8805, 452.7517, 111.8145, 78.66289, 31.92997, 299.1251, 713.7737, 469.2001, 482.601, 522.6567, 95.413, 1508.223
180.4, 8.000485, 43.24705, 213.7132, 37.94643, 333.7732, 213.5053, 758.0559, 105.5921, 431.248, 183.5662, 176.2282, 29.8993, 285.1576, 681.0276, 446.3411, 599.2703, 496.7968, 89.88584, 1580.967
