 , C000, C003, C005, C008, C009, C010, C012, C015, C018, C019, C021, C022, C024, C026, C030, C033, C036, C037, C039, C040, C045, C047, C049, C062, C081, C082, C086, C118
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
175.9, 145.2064, 128.1053, 79.10231, 31.99726, 1230.1, 645.8084, 1329.966, 318.9343, 654.8611, 596.1389, 1921.532, 1310.453, 211.321, 1522.577, 5.964464, 1367.711, 607.8623, 356.6246, 2277.802, 229.0368, 2099.147, 675.3559, 1167.954, 1060.369, 173.5741, 700.1489, 793.204, 0.1891215
176, 137.7766, 121.4033, 74.46809, 30.53551, 1169.125, 610.0057, 1267.55, 304.0335, 624.2108, 570.8884, 1904.12, 1295.555, 201.332, 1456.26, 5.690185, 1300.788, 630.596, 337.1725, 2174.69, 219.393, 2227.868, 788.2258, 1227.871, 1124.516, 164.7621, 729.7113, 800.9236, 0.1812497
176.1, 171.9584, 115.0519, 70.10538, 29.14054, 1305.187, 576.1879, 1208.063, 289.8289, 594.9951, 546.7074, 1819.495, 1295.794, 191.8153, 1392.832, 5.428518, 1391.695, 593.162, 546.6945, 2076.246, 210.1553, 2128.03, 767.2986, 1207.532, 1115.733, 324.5602, 693.588, 877.706, 0.1737055
176.2, 163.1597, 109.0328, 65.99825, 27.80929, 1357.091, 544.2448, 1257.962, 276.2879, 572.4234, 532.2467, 2142.9, 1265.963, 182.7483, 1332.166, 5.178884, 1323.598, 557.9502, 582.9181, 2201.912, 201.3065, 2046.294, 733.265, 1153.191, 1062.668, 337.4928, 659.2529, 837.7666, 0.1664754
176.3, 185.235, 103.3286, 62.13174, 26.53885, 1315.964, 514.0726, 1287.805, 263.3795, 605.6729, 545.7659, 2646.868, 1209, 174.11, 1305.229, 4.94073, 1258.833, 548.1832, 551.1229, 2102.236, 192.8302, 2184.526, 844.3611, 1118.365, 1012.126, 403.3653, 626.6176, 799.6447, 0.1595462
176.4, 264.0652, 97.92283, 58.49175, 84.22075, 1433.845, 485.5732, 1256.649, 317.1093, 577.3248, 522.649, 2529.233, 1175.809, 165.88, 1248.379, 4.713527, 1285.5, 515.6415, 572.7326, 2055.991, 184.7109, 2086.629, 859.1116, 1068.036, 1039.887, 525.6902, 595.5978, 763.2574, 0.1529054
176.5, 250.5537, 92.79987, 55.06501, 80.37323, 1494.526, 458.6537, 1199.253, 430.9709, 550.3035, 646.7852, 2668.027, 1122.903, 158.039, 1194.005, 4.496773, 1222.599, 485.0315, 541.4929, 2013.305, 176.9335, 2100.562, 854.2811, 1019.973, 990.4291, 656.5115, 656.8219, 728.5259, 0.146541
176.6, 237.7336, 87.94492, 51.83902, 76.70148, 1493.466, 433.2266, 1183.532, 410.8357, 524.547, 684.067, 2667.188, 1137.828, 150.5686, 1341.668, 4.289986, 1162.777, 456.2386, 511.9572, 1965.259, 169.4835, 2200.932, 827.2051, 988.3405, 943.3231, 623.1818, 714.4048, 695.3749, 0.1404415
176.7, 225.5694, 83.34396, 48.80203, 73.19746, 1513.833, 468.9969, 1127.988, 391.6412, 512.1447, 697.5447, 2571.565, 1239.771, 143.4514, 1283.231, 4.092708, 1105.881, 429.155, 484.0325, 2083.649, 162.3472, 2102.301, 790.5144, 1013.724, 898.4576, 710.1915, 679.0392, 663.7324, 0.1345959
176.8, 214.0276, 78.9837, 45.94296, 69.85353, 1610.395, 442.9964, 1168.289, 410.5284, 508.9095, 684.2542, 2473.01, 1269.004, 136.6706, 1314.173, 3.904502, 1051.77, 403.6791, 457.631, 1989.326, 155.5114, 2079.514, 965.273, 1035.748, 855.7259, 712.5834, 645.4244, 633.5297, 0.1289936
