 , C000, C001, C002, C004, C006, C007, C008, C009, C011, C012, C014, C015, C016, C023, C028, C034, C038, C041, C042, C087
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
171.8, 193.5515, 84.0442, 0.7167726, 1.847182, 245.7272, 551.3121, 125.256, 501.7289, 271.7313, 593.5192, 225.47, 351.8878, 290.1357, 223.0151, 1.631737, 786.5338, 585.6839, 746.5026, 413.0643, 113.1192
171.9, 180.9683, 78.04986, 219.1655, 1.727712, 284.7706, 523.0921, 117.9057, 469.4933, 255.0677, 668.133, 246.3495, 374.1618, 272.1888, 207.3143, 149.8691, 742.0867, 579.965, 723.7198, 476.2912, 108.0336
172, 169.2031, 72.48305, 327.8413, 1.615968, 265.5764, 561.9559, 110.9868, 439.3287, 239.426, 633.02, 226.8318, 547.942, 255.352, 192.7188, 160.5507, 700.1513, 701.5958, 765.17, 450.7763, 103.1766
172.1, 158.2029, 67.31329, 311.5154, 1.511452, 247.6759, 533.191, 104.4739, 411.1022, 224.7435, 599.7524, 208.8605, 704.5624, 239.5567, 179.151, 173.7417, 660.5857, 677.5794, 1054.599, 426.6282, 98.53802
172.2, 224.1675, 62.51225, 296.0024, 1.413696, 236.7578, 543.0952, 98.34313, 384.6893, 210.9614, 568.233, 192.3131, 662.7058, 224.7384, 166.5383, 185.7688, 623.2559, 620.5818, 1132.602, 403.7738, 94.10794
172.3, 267.434, 58.05364, 281.2619, 1.322262, 257.5728, 579.5938, 92.57216, 359.9733, 198.0245, 538.3702, 177.0766, 623.3359, 210.8368, 154.8136, 176.9103, 588.0356, 568.3788, 1071.586, 382.1436, 89.87703
172.4, 250.0475, 53.91304, 267.2555, 1.236742, 244.4046, 549.9261, 87.13984, 336.8453, 185.8809, 510.0767, 163.0473, 586.3048, 197.795, 143.9143, 168.4742, 554.8057, 520.5671, 1010.058, 361.6722, 85.83633
172.5, 233.7913, 50.06776, 253.9466, 1.156754, 227.9311, 521.777, 82.0263, 335.8723, 174.482, 483.2702, 150.1295, 551.4737, 185.56, 133.7824, 160.4404, 523.4536, 476.7773, 1203.139, 342.2974, 81.9773
172.6, 218.592, 46.49674, 241.3005, 1.081938, 212.568, 495.0688, 77.21283, 441.3615, 163.7821, 457.8725, 138.2351, 518.7118, 251.1917, 265.0486, 152.7897, 493.8732, 484.1521, 1134.057, 323.9606, 78.29176
172.7, 265.3015, 43.18042, 229.2841, 1.011962, 198.2404, 552.278, 72.68182, 413.0043, 153.7384, 433.8095, 127.2831, 487.8962, 235.6538, 420.7977, 145.5039, 659.7074, 443.4255, 1068.942, 382.5277, 74.77192
172.8, 248.0536, 40.10063, 336.1726, 0.9465109, 184.8786, 660.701, 68.41671, 386.4691, 144.3105, 411.0111, 229.4498, 458.9113, 221.0769, 391.1725, 169.8449, 622.4272, 449.6462, 1007.565, 731.651, 71.41032
172.9, 231.9271, 37.2405, 319.4318, 0.8852933, 172.4173, 626.8817, 64.40188, 362.6471, 135.4609, 389.4109, 221.7698, 431.6484, 207.4018, 363.633, 161.7457, 587.2538, 464.6958, 1028.671, 692.4565, 68.19984
173, 216.849, 34.58437, 303.5246, 0.8280351, 209.2711, 594.7935, 60.62265, 339.3473, 127.1539, 368.9458, 204.1995, 406.0051, 194.5725, 338.0323, 171.8799, 554.0681, 425.6059, 1031.109, 655.3616, 65.13371
173.1, 202.7511, 32.11768, 288.4095, 0.7744802, 330.4153, 564.3478, 57.06519, 317.5446, 119.3564, 349.5563, 369.7295, 381.8852, 182.5368, 314.234, 163.6837, 642.6215, 389.8041, 1117.596, 620.2539, 62.20543
173.2, 189.5698, 29.82693, 274.0472, 0.7243891, 308.1445, 535.4606, 53.71648, 297.1426, 112.037, 331.1858, 364.8684, 359.1982, 171.2457, 292.1112, 155.8783, 606.3069, 429.8266, 1053.426, 730.2943, 59.40879
