 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
119.9, 64.76743, 71.72687, 530.2355, 79.16776, 159.9439, 81.68546, 159.7306, 734.9765, 690.7049, 123.7595, 1703.995, 33.26677, 23.5233, 1041.725, 584.9214, 319.7196, 792.4477, 448.1443, 447.6522, 718.7123, 1032.674, 0.1873468
120, 60.19375, 66.42795, 504.2493, 239.5256, 180.7994, 76.63118, 147.7269, 692.8563, 836.3707, 115.6016, 1716.443, 31.22585, 21.72392, 987.7236, 549.4103, 299.0829, 751.7108, 428.291, 423.1863, 682.1401, 1128.373, 0.1784283
120.1, 55.94305, 61.52049, 479.5367, 225.823, 172.4777, 71.88963, 136.6254, 704.0934, 893.5274, 109.0136, 1627.078, 29.31014, 20.06218, 936.5216, 587.1185, 279.7782, 713.068, 446.4741, 400.0576, 647.4288, 1096.717, 0.1699344
120.2, 51.99252, 56.97558, 619.4474, 219.9532, 197.7468, 67.44147, 126.358, 663.743, 883.8369, 239.7041, 1542.365, 27.51196, 18.52756, 887.9738, 572.8837, 261.7195, 753.4939, 441.3148, 476.5108, 614.4838, 1060.107, 0.1618448
120.3, 48.32096, 52.76643, 735.1032, 212.5728, 462.158, 63.26854, 116.8623, 770.3344, 964.2455, 223.9035, 1649.022, 25.8241, 17.11032, 910.2646, 538.1034, 244.8264, 890.9315, 421.764, 526.6844, 583.2153, 1126.496, 0.1541403
120.4, 44.90868, 68.36684, 794.1225, 274.6457, 494.3571, 59.35381, 108.0802, 822.8087, 909.3008, 594.9136, 1563.167, 24.23979, 15.80149, 1008.896, 701.5695, 229.0238, 893.2643, 403.0793, 497.8991, 730.4615, 1202.444, 0.1468026
120.5, 41.73736, 63.31614, 1035.734, 258.9341, 583.6677, 55.6813, 99.95803, 775.6549, 1029.219, 555.6987, 1668.196, 22.75268, 14.59278, 1068.234, 658.9765, 214.2411, 1013.203, 385.2224, 605.7858, 829.2101, 1141.76, 0.1398142
120.6, 38.78999, 58.63858, 1113.069, 244.1212, 556.8031, 52.23603, 92.44625, 731.2034, 970.5715, 519.0687, 1691.259, 21.3568, 13.47653, 1066.873, 658.3419, 200.4126, 1121.004, 368.1566, 586.4178, 842.5577, 1121.529, 0.1331585
120.7, 36.05075, 107.4678, 1058.519, 230.1558, 531.175, 49.00393, 85.49898, 689.2994, 915.2664, 524.2402, 1603.205, 20.04656, 12.44566, 1011.568, 618.3733, 187.4767, 1084.156, 373.9119, 554.3679, 799.6834, 1064.928, 0.1268196
120.8, 33.50496, 99.52851, 1031.973, 216.9893, 528.5214, 45.97182, 79.07378, 649.7968, 863.1126, 489.6839, 1519.736, 18.8167, 11.49365, 959.1298, 580.8312, 175.3757, 1028.423, 357.3472, 629.3426, 794.8157, 1011.184, 0.1207825
120.9, 31.13894, 92.1757, 1032.567, 204.576, 504.195, 43.12732, 73.13144, 612.558, 986.518, 493.7064, 1491.487, 17.66229, 10.61446, 909.41, 545.5684, 164.0559, 1084.508, 356.6178, 594.9467, 754.3708, 1057.868, 0.1150327
121, 28.94, 131.4388, 998.2139, 192.8728, 514.5167, 40.45882, 67.63566, 577.4534, 957.8351, 483.1887, 1433.585, 16.57871, 9.802521, 1065.508, 512.4464, 153.4667, 1162.961, 340.8192, 562.4307, 715.9841, 1004.48, 0.1095567
121.1, 26.89634, 121.7286, 949.2927, 181.8391, 490.8349, 37.95544, 62.55288, 544.3605, 903.2557, 473.4797, 1358.946, 15.5616, 9.052691, 1010.273, 481.3353, 143.5609, 1103.177, 325.7205, 531.6918, 679.5506, 1060.903, 0.1043414
121.2, 24.997, 112.7357, 916.5936, 171.4367, 468.2431, 35.60695, 57.85207, 513.1641, 851.7863, 442.2693, 1320.493, 14.6069, 8.360219, 957.9024, 452.113, 134.2946, 1046.466, 311.2907, 502.6328, 644.9711, 1007.362, 0.09937429
121.3, 23.23179, 104.4072, 908.0326, 161.6293, 446.6912, 33.40377, 53.50453, 543.3699, 803.2498, 413.1163, 1325.615, 13.71076, 7.720716, 1098.288, 424.6648, 125.6264, 992.6713, 319.3941, 475.1621, 831.4778, 956.5226, 0.09464367
121.4, 21.59123, 96.69402, 863.5311, 152.383, 426.1312, 31.33692, 49.4837, 625.7687, 757.479, 385.8849, 1256.598, 12.86961, 7.130132, 1041.354, 399.4218, 117.5176, 941.6416, 305.2446, 449.1927, 820.72, 1029.776, 0.09013824
121.5, 20.06652, 89.55061, 821.2106, 220.9837, 406.5175, 29.39795, 45.76503, 589.9069, 714.3163, 360.4485, 1191.174, 12.08005, 6.584723, 987.3721, 375.1725, 109.9323, 1035.559, 410.1245, 424.6427, 1067.596, 994.9178, 0.0858473
121.6, 18.64948, 82.93494, 780.9642, 208.3419, 387.8067, 27.57896, 42.32582, 556.1003, 673.6131, 336.6888, 1129.156, 11.33894, 6.081035, 936.1884, 352.3954, 102.8366, 982.3245, 437.4181, 401.4344, 1013.27, 1109.579, 0.08176062
121.7, 17.33251, 76.80801, 787.9881, 196.4232, 369.957, 25.87251, 39.14506, 681.7139, 635.2292, 366.0161, 1070.368, 10.6433, 5.615875, 887.6578, 331.0012, 96.19882, 931.8267, 418.04, 379.4945, 961.7092, 1053.581, 0.07786848
121.8, 16.10854, 71.13371, 809.2578, 185.1865, 352.9289, 24.27165, 36.20333, 642.6461, 599.0326, 341.8895, 1014.64, 9.990329, 5.186297, 841.6431, 310.9058, 89.98953, 883.9247, 429.2375, 358.7538, 912.7718, 1000.41, 0.07416162
121.9, 14.97101, 65.8786, 769.5971, 221.1598, 336.6845, 22.76985, 33.48267, 666.2355, 597.8657, 319.3531, 961.8133, 9.377421, 4.789579, 912.4755, 292.0304, 84.18103, 838.4853, 483.3491, 339.1465, 866.3246, 949.9213, 0.07063122
122, 13.9138, 61.01173, 731.8802, 208.5079, 321.1879, 21.36097, 30.96647, 628.0546, 586.5024, 298.3023, 1018.446, 8.802115, 4.423208, 893.8549, 274.3009, 78.74744, 795.3817, 475.5659, 320.6109, 822.241, 1056.936, 0.06726889
122.1, 12.93125, 107.199, 696.0117, 196.5798, 306.4045, 20.03926, 28.63936, 657.6684, 595.5612, 278.6391, 1065.418, 8.262105, 4.084861, 1019.248, 257.6479, 73.66458, 754.494, 454.4977, 362.2094, 780.4005, 1003.595, 0.06406661
122.2, 12.01808, 99.27953, 661.9011, 258.7912, 292.3015, 18.79933, 26.48713, 637.8616, 585.7304, 260.272, 1009.948, 7.755224, 3.772396, 966.4116, 242.0058, 68.9098, 715.7081, 490.9067, 342.4133, 740.6891, 952.9457, 0.06101678
122.3, 11.1694, 91.94512, 629.4622, 243.9865, 278.8477, 17.63613, 24.49664, 601.3068, 568.3726, 331.0225, 1089.373, 7.27944, 3.483832, 916.3144, 227.3134, 64.46191, 678.9161, 469.1589, 383.3314, 879.3108, 904.8528, 0.05811213
122.4, 10.38065, 145.8385, 598.6131, 230.0288, 360.9384, 16.54489, 22.65574, 593.8995, 569.8809, 309.2025, 1032.655, 6.832846, 3.217342, 868.8141, 213.513, 60.30113, 712.7245, 451.1117, 362.3809, 951.7903, 942.7745, 0.05534576
122.5, 204.9521, 153.6292, 569.2759, 216.8695, 344.3254, 122.3462, 20.95317, 559.8641, 537.4079, 288.8208, 978.8907, 6.41365, 2.971236, 823.7762, 200.5504, 56.40891, 778.2596, 431.1269, 431.4965, 945.787, 952.7612, 0.05271107
