 , C002, C003, C004, C005, C006, C007, C008, C011, C014, C015, C019, C022, C023, C027, C029, C030, C032, C034, C036, C037, C057, C068, C092
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
53.4, 1099.683, 596.4141, 81.89488, 699.4492, 131.0142, 109.4079, 1210.891, 0.4565677, 104.9383, 152.2908, 45.26783, 86.12923, 191.8788, 0.5504127, 6.017076, 261.9169, 192.8058, 15.41499, 431.386, 268.6992, 349.2959, 12.09859, 1127.613
53.5, 1198.356, 565.1166, 77.97435, 660.9249, 124.0347, 104.3873, 1237.335, 0.435316, 100.1185, 198.5301, 43.36136, 82.15356, 183.6097, 0.5233535, 5.723938, 249.511, 213.8322, 14.7126, 411.7309, 257.5201, 332.0985, 11.57046, 1207.03
53.6, 1191.144, 535.4616, 74.2415, 624.5225, 117.427, 99.59709, 1185.652, 0.4150535, 95.5202, 205.1329, 41.53518, 78.3614, 175.6969, 0.4976246, 5.445083, 237.6927, 204.2692, 14.04223, 448.7452, 246.806, 315.7479, 11.06538, 1181.46
53.7, 1129.997, 585.9249, 70.68736, 736.866, 111.1713, 95.02671, 1136.127, 0.3957341, 91.13306, 317.606, 39.78592, 74.74429, 168.1251, 0.4731605, 5.179812, 226.4342, 195.134, 13.40239, 485.8654, 236.5376, 300.2023, 10.58234, 1269.671
53.8, 1071.989, 555.1779, 67.30335, 792.9302, 105.2489, 151.97, 1088.671, 0.377314, 86.9474, 304.0355, 38.11032, 71.29414, 160.8797, 0.4498991, 4.927464, 215.7089, 186.4072, 12.79171, 463.7282, 226.6965, 285.4221, 10.12039, 1391.916
53.9, 1016.958, 526.0444, 64.08135, 894.5281, 99.64193, 144.9963, 1211.808, 0.3597513, 82.95399, 291.0449, 36.50529, 68.00326, 170.0435, 0.4277813, 4.687411, 205.4917, 178.0708, 12.20886, 447.3224, 217.2648, 271.3695, 9.678611, 1495.106
54, 1080.184, 498.4397, 61.0136, 991.3561, 94.3337, 138.3426, 1161.191, 0.3430061, 79.144, 278.6093, 34.96785, 64.86427, 162.7153, 0.4067509, 4.459052, 195.7584, 170.1071, 11.65257, 441.0479, 208.2255, 258.0088, 9.256113, 1432.307
54.1, 1170.202, 472.2835, 58.09271, 954.9955, 89.30826, 131.9942, 1112.688, 0.3270403, 75.509, 266.7051, 33.49517, 61.87018, 155.703, 0.3867543, 4.241818, 186.4861, 162.4997, 11.12162, 420.9526, 199.5623, 245.3059, 8.852058, 1372.146
54.2, 1110.13, 511.7018, 55.31165, 902.3963, 84.55054, 125.9372, 1066.211, 0.3118177, 72.04094, 291.2331, 32.08451, 59.0143, 148.9929, 0.3677408, 4.035168, 177.6531, 155.2324, 10.61486, 452.5566, 191.2596, 233.2285, 8.465642, 1314.512
54.3, 1053.141, 548.1543, 52.66373, 852.6942, 80.04627, 120.1581, 1263.984, 0.2973036, 68.73217, 278.7895, 30.73326, 56.29024, 142.5719, 0.3496621, 3.838584, 169.2384, 148.2901, 10.1312, 431.937, 183.3022, 221.7457, 8.096094, 1465.374
