 , C000, C001, C002, C003, C004, C007, C011, C016, C017, C018, C019, C021, C022, C023, C027, C028, C029, C030, C058, C059, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
4.2, 22.43911, 39.04881, 27.77452, 0, 13.80931, 29.47424, 425.8947, 51.7229, 56.42293, 9.536743e-07, 24.90086, 36.92456, 103.0683, 248.0255, 116.2523, 52.06955, 196.3149, 56.3786, 90.06642, 21.18777, 142.2344
4.3, 78.45946, 36.24515, 25.96638, 0, 12.91753, 27.95116, 403.8675, 49.37907, 53.04755, 9.536743e-07, 23.2532, 35.0883, 102.37, 239.2122, 110.0226, 48.8101, 193.8674, 53.50607, 91.19825, 20.05523, 134.4358
4.4, 73.78268, 33.6428, 24.27594, 0.05759113, 12.08334, 26.50679, 382.9795, 47.14143, 49.87408, 0, 21.71455, 33.34336, 96.63037, 237.5637, 104.1267, 45.75467, 183.9405, 50.77989, 107.6468, 18.98323, 127.0649
4.5, 69.38468, 31.22728, 22.69556, 8.476952, 11.30301, 25.13705, 370.6385, 45.0052, 46.89046, 0, 20.27772, 31.68519, 91.21259, 225.3566, 98.54673, 42.89051, 174.5219, 48.19262, 100.1682, 17.96853, 120.0981
4.6, 65.24884, 50.30964, 21.21806, 7.890595, 10.57308, 23.83809, 375.3821, 42.96578, 44.08534, 0, 18.93596, 30.10949, 86.09857, 222.4705, 93.2658, 40.20564, 165.5856, 45.73717, 93.20911, 17.00807, 113.5133
4.7, 61.35952, 46.69747, 19.83675, 15.4437, 9.89029, 22.60626, 361.3205, 41.01877, 41.44802, 0, 17.68299, 28.61214, 84.91099, 230.2472, 88.26787, 60.03521, 166.716, 43.40682, 86.73351, 16.09894, 107.2895
4.8, 57.70204, 69.21529, 18.54536, 22.47171, 9.251591, 21.43808, 342.6331, 39.15999, 38.96848, 0, 16.51292, 27.18925, 80.15028, 223.6936, 83.53777, 59.1464, 186.0089, 41.19521, 80.70779, 15.23841, 101.4069
4.9, 54.26257, 78.85677, 17.33804, 20.91733, 8.654138, 20.33027, 350.868, 37.38544, 54.96119, 0, 15.42028, 25.83713, 102.5062, 212.1991, 79.06115, 55.44395, 176.4844, 39.09628, 75.10071, 14.42388, 95.84692
5, 51.02811, 73.19495, 16.20932, 19.47046, 8.095267, 19.2797, 361.5934, 35.69131, 51.67325, 0, 14.39993, 24.55225, 103.2246, 213.8331, 74.82442, 51.97326, 202.1312, 37.1043, 69.88316, 13.65289, 90.59176
5.1, 47.98646, 104.623, 15.15408, 18.12368, 7.572488, 18.28342, 380.3562, 34.07394, 48.582, 0, 13.4471, 23.33126, 97.43711, 212.0707, 70.81472, 62.3428, 191.7812, 35.21381, 89.12842, 29.02191, 85.62473
5.2, 45.12611, 112.6181, 14.16753, 16.87005, 7.083468, 20.17175, 360.6842, 32.52987, 45.67568, 4.768372e-07, 12.55732, 22.171, 91.9741, 204.9091, 67.0199, 58.44025, 189.4974, 33.41964, 82.93633, 27.47061, 80.93004
5.3, 49.81363, 107.4147, 13.24521, 15.70314, 6.626029, 23.55089, 342.7615, 31.05577, 42.94323, 0, 11.72641, 21.06843, 86.81738, 200.8645, 63.42843, 54.782, 179.7943, 31.71688, 77.17442, 26.00224, 76.49275
5.4, 46.84436, 113.2868, 12.38294, 19.09105, 6.198131, 22.3339, 325.0339, 29.64847, 40.37424, 0, 10.95049, 20.0207, 81.94979, 190.5431, 60.02942, 51.35275, 170.588, 30.10088, 71.81281, 24.61236, 96.97402
5.5, 44.05209, 105.1529, 11.5768, 39.23484, 5.797865, 25.57039, 316.6639, 28.30494, 37.95893, 0, 10.2259, 19.02507, 77.3551, 180.7521, 56.81256, 48.13815, 178.2414, 28.56721, 66.82368, 23.29676, 120.8534
5.6, 41.42626, 97.60307, 10.82314, 38.17111, 5.423449, 24.24904, 322.688, 27.02229, 35.68812, 0, 9.549265, 18.07895, 73.01803, 171.4641, 53.76809, 45.12479, 169.1147, 27.11169, 62.18118, 36.83228, 114.2272
5.7, 38.95694, 90.59529, 10.11854, 63.69015, 5.073211, 22.99598, 305.9986, 25.79777, 33.55315, 0, 8.917398, 17.17988, 68.92413, 162.6535, 50.88676, 42.30007, 160.4552, 25.73033, 57.86121, 36.79239, 107.9642
5.8, 36.63482, 84.09066, 9.459818, 66.71754, 4.745591, 21.80766, 304.4264, 24.62873, 52.35364, 0, 8.327342, 16.32553, 73.21169, 172.3189, 48.15984, 39.65216, 152.2392, 24.41935, 53.84137, 56.64489, 102.0447
5.9, 34.45111, 78.05305, 8.843976, 71.87417, 4.439128, 20.68075, 314.298, 23.51267, 49.22169, 2.384186e-07, 7.776329, 15.51366, 76.24297, 163.4643, 45.57905, 37.17001, 158.3376, 23.17517, 50.1008, 53.61708, 96.44971
