 , C000, C001, C002, C004, C005, C006, C008, C011, C012, C015, C017, C020, C021, C024, C028, C030, C035, C036, C037, C039, C049, C051, C054, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
190.2, 119.9654, 168.4964, 76.35211, 37.35113, 286.7064, 5.128705, 212.9225, 136.2096, 11.68451, 141.7882, 91.74181, 233.7921, 573.3154, 230.928, 548.6, 260.3672, 521.4771, 382.0957, 68.27074, 377.3728, 150.8396, 2675.146, 255.3615, 673.8249
190.3, 137.9637, 159.3449, 72.95264, 34.31113, 296.4764, 4.76613, 200.7049, 129.3473, 10.9571, 131.3133, 85.3064, 219.6739, 542.3475, 218.9657, 518.1622, 247.0688, 514.5697, 380.3775, 64.84689, 357.0858, 143.4258, 2559.39, 242.5934, 642.3171
190.4, 167.0134, 150.6904, 69.70454, 31.51855, 278.8167, 4.429188, 189.1883, 122.8307, 10.27498, 121.6123, 79.32243, 206.4083, 513.0524, 207.6231, 489.4132, 234.4496, 489.5808, 502.3864, 61.59475, 337.8894, 136.3764, 2607.759, 230.4637, 722.1266
190.5, 164.9739, 142.5059, 66.60104, 28.95326, 262.2089, 4.116066, 178.3326, 116.6425, 9.635322, 134.6367, 73.75821, 193.9437, 485.3396, 196.868, 509.3681, 222.475, 504.5277, 477.4917, 58.50571, 319.725, 129.6735, 2532.923, 218.9404, 717.0128
190.6, 156.8246, 134.766, 63.63573, 26.59676, 246.5903, 3.82508, 168.0998, 110.766, 9.035486, 235.8476, 68.5843, 182.2319, 459.1237, 186.67, 499.6716, 211.1119, 480.0265, 453.8305, 55.57159, 302.537, 123.3001, 2507.097, 207.9934, 683.4856
190.7, 184.0601, 127.4465, 60.80244, 24.43205, 422.9902, 3.554665, 158.4541, 105.1856, 8.472993, 277.5887, 63.77333, 315.0328, 611.4031, 177.0003, 666.0947, 200.3292, 456.7151, 431.3418, 52.78461, 438.5168, 117.2399, 2363.122, 197.5937, 651.5261
190.8, 174.9679, 209.0888, 71.32246, 22.44353, 462.8625, 3.303368, 149.3619, 99.88628, 7.945517, 257.0813, 59.29983, 353.1282, 578.3779, 187.6501, 791.9631, 190.0973, 434.5358, 409.9675, 50.13741, 414.9428, 111.4776, 2227.415, 212.1919, 621.061
190.9, 166.3249, 197.7326, 68.14693, 20.61686, 435.2919, 3.069835, 140.7915, 94.85398, 7.450878, 372.6225, 55.14013, 331.8035, 547.1365, 182.5259, 748.0229, 180.388, 413.4336, 389.6524, 47.62297, 392.6361, 105.9985, 2099.501, 201.5823, 592.0205
191, 158.1088, 186.9931, 65.11279, 18.93885, 409.3636, 2.852813, 132.7128, 90.0752, 6.987032, 345.0943, 51.27222, 311.7666, 517.5827, 173.0708, 706.5207, 171.1745, 393.3561, 370.3439, 45.23463, 371.5286, 100.7886, 1978.933, 191.5031, 669.6043
191.1, 150.2986, 176.8369, 62.21374, 17.39742, 384.9797, 2.651133, 125.0976, 85.53719, 6.552063, 319.5998, 47.67564, 292.9397, 589.798, 164.1056, 758.0845, 162.4317, 374.2537, 351.9923, 42.96606, 351.5558, 95.83488, 1865.289, 302.8757, 638.2939
