 , C000, C001, C002, C004, C005, C006, C008, C010, C012, C014, C015, C016, C017, C019, C024, C029, C030, C035, C037, C038, C040, C042, C047, C053, C080, C095, C101, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
39.1, 15.99817, 315.8602, 300.4442, 190.011, 21.10347, 1.002607, 0.000322497, 162.3584, 321.0175, 55.95634, 612.4758, 3.480454, 695.2956, 211.1125, 135.2999, 12.33933, 185.4865, 445.616, 77.65469, 665.676, 482.3738, 250.5888, 1404.348, 967.8572, 1325.788, 2430.167, 1927.197, 884.3243, 2101.183
39.2, 14.97446, 385.374, 360.4949, 208.5346, 85.83504, 0.93365, 0.0003062248, 154.961, 304.5584, 53.49056, 724.0809, 3.265916, 654.5313, 199.7706, 128.8236, 11.66503, 175.4254, 423.043, 73.533, 625.2175, 456.1034, 238.5392, 1508.758, 909.1441, 1395.675, 2292.546, 1909.907, 843.3119, 2009.197
39.3, 14.01626, 380.5695, 351.1266, 196.7023, 131.2979, 0.8694355, 0.0002907735, 147.9007, 288.9431, 51.13345, 679.0571, 36.60676, 616.157, 189.0381, 122.6573, 11.02758, 165.91, 401.6135, 69.63007, 640.3969, 431.2637, 227.0689, 1423.297, 853.9927, 1356.299, 2162.718, 1959.095, 820.0333, 2010.752
39.4, 13.11938, 360.296, 438.4329, 185.5413, 124.5146, 0.8096375, 0.000276102, 141.162, 274.1285, 48.8802, 636.8328, 591.439, 609.0272, 178.8821, 116.7862, 10.42496, 156.9108, 381.2695, 65.9343, 638.5172, 433.7926, 216.1502, 1342.676, 942.6636, 1286.814, 2040.242, 2049.421, 782.0025, 1979.068
39.5, 12.27988, 341.1025, 416.109, 175.0137, 153.669, 0.7539524, 0.0002621707, 134.7304, 260.0734, 46.72624, 597.2341, 1391.335, 600.5306, 169.2718, 111.1961, 9.855277, 148.3998, 361.9561, 62.4347, 594.4777, 410.1679, 205.7565, 1266.622, 1104.726, 1220.888, 1924.702, 2106.077, 762.1967, 2000.21
39.6, 11.49411, 322.9315, 394.9217, 241.389, 226.3756, 0.7020971, 0.0002489423, 128.5918, 246.739, 44.6672, 560.0977, 1513.628, 565.3223, 160.1778, 105.8736, 9.316721, 140.3503, 365.2993, 59.12084, 553.4756, 519.3611, 195.8626, 1194.876, 1108.69, 1209.714, 1815.705, 2145.517, 1040.31, 1912.644
39.7, 10.75861, 305.7284, 374.8133, 227.6925, 214.6801, 0.6538084, 0.0002363814, 122.7329, 234.0882, 42.69889, 525.2704, 1463.43, 532.1782, 151.5724, 100.8058, 8.807595, 132.7375, 346.7948, 462.7596, 515.3016, 491.0764, 186.4445, 1127.194, 1125.683, 1147.739, 1712.881, 2575.737, 1616.831, 1907.631
39.8, 10.07018, 289.4418, 380.9304, 214.7731, 203.5889, 0.6088408, 0.0002244542, 117.1409, 222.0861, 40.81733, 492.6088, 1392.911, 500.9773, 143.4293, 95.98063, 8.326292, 125.5377, 443.9964, 522.7062, 479.7604, 524.1709, 177.4792, 1131.356, 1057.396, 1127.74, 1615.88, 2586.474, 1726.33, 1824.119
39.9, 9.425801, 274.0228, 361.5344, 293.6719, 232.237, 0.5669659, 0.0002131289, 111.8038, 210.6993, 39.01867, 510.2592, 1307.051, 471.6057, 135.7237, 91.38641, 7.87129, 118.7283, 421.5055, 494.9624, 446.6706, 525.2675, 168.945, 1067.272, 1166.868, 1069.964, 1524.372, 2462.513, 1796.634, 1847.366
40, 8.822655, 259.4252, 410.8341, 277.0089, 307.5698, 0.5279712, 0.0002023751, 106.7097, 199.8963, 37.29927, 478.5309, 1226.483, 481.067, 128.432, 87.0121, 7.441152, 112.2883, 400.1538, 468.6912, 465.7805, 496.661, 160.8212, 1097.274, 1161.946, 1354.295, 1438.046, 2471.601, 1713.312, 1766.492
40.1, 8.258102, 348.5229, 409.7002, 317.3434, 440.6719, 0.4916584, 0.0001921638, 101.8478, 189.6473, 35.65564, 448.7755, 1150.881, 452.8627, 121.5321, 82.84717, 7.034519, 106.1976, 379.8838, 688.1258, 433.6549, 469.6125, 153.0881, 1095.711, 1123.527, 1400.116, 1356.609, 2353.146, 1704.862, 1811.65
40.2, 7.729675, 329.9566, 461.7361, 320.0039, 534.1194, 0.4578432, 0.0001824678, 143.0568, 179.9237, 34.08444, 420.8704, 1079.94, 577.4295, 115.0029, 78.8816, 6.650108, 100.4373, 360.6405, 790.2784, 403.7451, 444.0371, 145.7268, 1055.284, 1055.371, 1328.385, 1450.515, 2423.061, 1663.382, 1883.681
40.3, 7.235062, 337.9742, 438.2257, 301.8468, 506.5247, 0.4263537, 0.000173261, 171.5922, 284.2679, 32.58247, 423.4136, 1013.372, 543.5756, 120.49, 75.10584, 6.286703, 94.98943, 372.067, 748.3326, 375.8982, 419.8546, 138.7194, 1132.85, 1254.514, 1260.33, 1368.372, 2331.517, 1643.354, 1927.884
40.4, 6.772098, 363.4065, 415.9123, 284.7199, 480.3556, 0.39703, 0.0001645187, 163.7741, 445.8004, 31.1467, 505.2431, 950.9066, 511.7065, 152.8782, 71.51082, 5.943157, 89.83707, 353.2197, 708.6133, 394.3016, 396.989, 132.049, 1068.681, 1376.136, 1195.761, 1472.896, 2278.631, 1629.089, 2283.396
40.5, 6.338759, 344.0473, 394.735, 268.5648, 548.7832, 0.3697231, 0.0001562176, 156.3122, 529.7136, 29.77419, 568.5463, 892.2919, 481.7058, 165.7231, 68.08788, 5.618385, 84.96417, 335.3271, 671.0021, 400.5377, 672.5862, 125.6994, 1241.358, 1314.622, 1134.5, 1613.206, 2276.051, 1612.144, 2312.603
40.6, 20.43577, 368.7199, 374.6361, 253.3264, 520.4308, 0.3442943, 0.0001483353, 162.4619, 502.5542, 28.46216, 533.1937, 837.2902, 453.464, 156.8198, 64.82877, 5.31136, 80.35559, 318.3409, 635.3872, 388.6977, 706.7939, 119.6551, 1185.02, 1467.287, 1076.378, 1776.272, 2166.968, 1602.244, 2468.923
40.7, 106.5918, 349.0777, 355.5605, 238.9526, 493.5433, 0.3206145, 0.0001408507, 226.5097, 476.7874, 217.1542, 500.0393, 785.679, 468.9249, 240.9569, 61.72567, 5.021113, 75.99699, 302.2152, 760.917, 361.8886, 700.8567, 113.9014, 1266.159, 1523.879, 1021.233, 1675.681, 2215.646, 1527.936, 2394.64
40.8, 99.77112, 330.4818, 337.4563, 225.3943, 468.0449, 0.2985633, 0.0001337438, 216.1895, 452.3416, 235.2702, 468.9465, 737.249, 538.5218, 228.0117, 58.77111, 4.746727, 71.87479, 286.9063, 720.5297, 389.814, 662.6876, 108.4244, 1206.607, 1520.541, 968.9139, 1580.787, 2192.258, 1565.857, 2289.806
40.9, 93.38687, 312.8765, 358.8557, 280.8256, 555.4364, 0.2780287, 0.0001269954, 206.3394, 429.1492, 343.1878, 494.2787, 691.8044, 506.949, 215.762, 55.95796, 4.487336, 67.9762, 445.0451, 1161.121, 413.687, 626.5972, 103.2108, 1204.81, 1428.301, 1031.705, 1491.266, 2163.677, 1493.237, 2248.127
41, 87.41115, 296.2091, 519.2872, 264.8915, 526.7404, 0.2589065, 0.0001205876, 196.9382, 407.1459, 328.0649, 474.5197, 649.1609, 477.2272, 204.1703, 53.27947, 4.242119, 64.28907, 434.1518, 1322.003, 385.1544, 592.4723, 98.24784, 1136.565, 1444.913, 1166.043, 1406.815, 2147.555, 1515.364, 2197.865
41.1, 81.8178, 280.4296, 562.7054, 332.1287, 541.2229, 0.2410994, 0.0001145031, 199.1444, 386.2708, 313.6084, 445.0137, 609.1461, 449.248, 247.9281, 50.72919, 4.010302, 60.80194, 412.1596, 1316.182, 358.5897, 560.2059, 93.52355, 1168.304, 1377.063, 1457.839, 1327.146, 2067.294, 1445.086, 2201.163
41.2, 76.58237, 265.4907, 640.9088, 326.7756, 513.2612, 0.2245171, 0.0001087256, 228.0704, 366.466, 500.2859, 470.7434, 571.5978, 422.9092, 234.6084, 48.30098, 3.791153, 57.50395, 391.2814, 1285.943, 382.4043, 529.6967, 89.02643, 1292.434, 1677.502, 1503.605, 1251.989, 1968.216, 1405.029, 2359.697
41.3, 71.68195, 251.3476, 673.6708, 308.2342, 486.744, 0.2090753, 0.0001032396, 217.679, 347.6766, 478.2404, 441.4722, 536.3641, 398.1146, 222.0042, 45.989, 3.58398, 54.38485, 412.1916, 1217.688, 356.0293, 550.23, 84.74555, 1219.226, 1964.542, 1426.573, 1181.088, 1904.924, 1366.358, 2256.393
41.4, 145.9533, 237.958, 687.4285, 290.7449, 527.3582, 0.1946955, 9.803045e-05, 207.7612, 329.8506, 561.2247, 414.0212, 503.3021, 374.7737, 210.0772, 43.78769, 3.388129, 51.43494, 391.3118, 1153.057, 331.4734, 520.2641, 80.67052, 1150.165, 1845.367, 1353.488, 1114.203, 1813.628, 1410.406, 2225.857
41.5, 136.6139, 225.2816, 684.5538, 425.4, 500.1128, 0.1813048, 9.308413e-05, 202.5186, 312.9385, 567.3846, 388.277, 472.2781, 352.8012, 198.791, 41.69174, 3.202979, 48.64503, 439.9985, 1291.943, 308.6112, 570.7135, 76.79144, 1085.016, 1789.649, 1392.078, 1051.105, 1808.146, 1363.617, 2336.403
41.6, 138.805, 213.2805, 649.698, 401.2627, 483.561, 0.168835, 8.838737e-05, 193.2915, 296.8936, 602.685, 364.1337, 443.1665, 332.1169, 188.1111, 39.69612, 3.027948, 46.00645, 417.7101, 1223.37, 287.3259, 539.6321, 73.09889, 1023.556, 1724.093, 1333.833, 991.5803, 1774.089, 1406.59, 2286.631
41.7, 129.923, 201.9187, 680.5651, 378.4949, 525.017, 0.1572229, 8.39276e-05, 184.4847, 281.6713, 729.4324, 372.9307, 415.8493, 312.6454, 178.005, 37.79602, 2.862481, 43.511, 415.5964, 1175.785, 316.4221, 510.2434, 69.5839, 965.5787, 1619.504, 1356.39, 935.4266, 1689.063, 1350.729, 2298.802
