 , C000, C001, C003, C004, C011, C017, C036, C042, C054, C057, C059, C064, C071, C072, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
383.6, 766.5939, 2193.185, 12.82117, 52.56944, 47.97891, 164.2184, 0.01577585, 1402.386, 1375.6, 672.261, 459.0481, 1308.308, 0.3475735, 2410.993, 1910.93
383.7, 791.812, 2173.563, 12.1791, 49.83793, 45.42462, 154.8468, 0.01491574, 1799.308, 2316.594, 1074.689, 427.9263, 1280.777, 0.3321747, 2267.67, 2286.551
383.8, 746.6249, 2142.132, 11.56917, 47.24836, 43.00631, 146.01, 0.01410253, 1695.686, 2697.594, 1170.659, 432.2804, 1377.091, 0.3174582, 2132.868, 2334.411
383.9, 704.0165, 2094.098, 10.9898, 44.79334, 76.6847, 137.6775, 0.01333365, 1598.032, 2716.181, 1143.501, 402.9734, 1371.776, 0.3033937, 2071.666, 2453.759
384, 687.6097, 1992.385, 10.43943, 42.46589, 72.60217, 129.8206, 0.0126067, 1506.002, 2632.449, 1084.297, 479.5049, 1303.235, 0.2899523, 2053.595, 2334.624
384.1, 648.3693, 2046.905, 9.916631, 40.25937, 68.73699, 122.412, 0.01191937, 1419.271, 2578.347, 1001.338, 446.9963, 1274.059, 0.2771064, 2097.589, 2221.273
384.2, 611.3681, 2019.767, 9.420012, 38.16749, 65.07758, 115.4262, 0.01126953, 1337.536, 2412.805, 1070.714, 416.6916, 1210.4, 0.2648296, 2048.088, 2158.494
384.3, 651.0565, 1997.005, 8.948262, 36.18431, 61.61299, 108.839, 0.01065511, 1260.508, 2360.521, 988.7946, 388.4414, 1224.156, 0.2530967, 1926.338, 2126.855
384.4, 613.902, 1900.008, 8.500138, 34.30418, 58.33285, 102.6278, 0.01007419, 1187.915, 2187.349, 913.1425, 362.1065, 1293.222, 0.2418837, 1910.589, 2084.125
384.5, 624.8379, 2009.254, 8.074456, 32.52174, 55.22733, 96.77103, 0.009524936, 1119.504, 2118.326, 845.5945, 337.5571, 1228.606, 0.2311673, 1797.013, 2083.852
384.6, 620.2175, 1911.661, 7.670092, 30.83192, 52.28715, 91.2485, 0.009005632, 1055.032, 2030.847, 780.8986, 314.6719, 1167.218, 0.2209258, 1899.979, 2112.057
384.7, 584.8229, 1818.809, 7.285977, 29.2299, 49.50349, 86.04114, 0.008514642, 994.2726, 1881.861, 786.1333, 293.3383, 1287.282, 0.211138, 1787.034, 2126.347
