 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C014, C015, C016, C020, C021, C024, C025, C026, C027, C028, C029, C034, C035, C036, C038, C040, C042, C044, C045, C047, C048, C049, C054, C057, C059, C060, C062, C067, C079, C080, C082, C083, C088, C091, C093, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
339.2, 444.7542, 713.1766, 1247.512, 1005.967, 594.2438, 1146.733, 846.9916, 2.882971e-05, 1091.888, 121.6588, 16.17762, 867.9075, 1091.416, 639.3451, 438.1779, 501.4529, 1511.708, 1568.523, 813.7693, 908.7021, 649.8674, 2.980891, 1017.755, 1231.628, 1204.654, 183.4345, 313.7551, 435.8144, 33.4746, 590.2258, 71.35893, 1578.188, 704.6332, 13.07001, 491.429, 1106.877, 442.8783, 789.4838, 1117.399, 459.8112, 0.0003761234, 1760.667, 1278.872, 4530.538, 78.99334, 2388.799, 888.9105
339.3, 538.5849, 745.0964, 1227.537, 986.4412, 563.5234, 1122.5, 850.1722, 2.741294e-05, 1091.034, 116.7441, 15.44652, 829.9724, 1044.51, 603.291, 414.0748, 489.8695, 1444.61, 1604.995, 829.1957, 870.3398, 689.6053, 2.854948, 1076.23, 1222.495, 1145.45, 174.7862, 296.959, 490.9912, 32.10599, 562.648, 67.91837, 1507.686, 675.8839, 132.8592, 471.393, 1198.912, 422.3698, 791.3921, 1064.333, 440.2737, 0.0003600534, 1767.887, 1222.138, 4420.196, 75.54026, 2334.78, 878.6484
339.4, 535.129, 762.2337, 1171.887, 1006.151, 534.3912, 1096.483, 813.9244, 2.606579e-05, 1044.195, 112.028, 14.74845, 812.3772, 999.6198, 711.7275, 391.2975, 593.3472, 1380.49, 1560.234, 791.966, 969.0803, 686.6918, 2.734326, 1047.872, 1251.854, 1113.813, 166.5456, 281.0619, 470.3444, 30.79333, 536.3588, 64.6437, 1476.958, 742.1229, 127.4104, 452.174, 1149.915, 402.8109, 758.2905, 1141.886, 421.5665, 0.00034467, 1693.205, 1167.921, 4410.271, 72.23813, 2283.145, 903.5343
339.5, 526.3232, 741.6356, 1142.264, 961.5906, 506.765, 1116.292, 779.222, 2.478485e-05, 1103.791, 107.5024, 14.08194, 776.8693, 997.3069, 685.1743, 369.7732, 567.9049, 1319.216, 1578.233, 773.2745, 1052.468, 657.0958, 2.6188, 1019.177, 1233.133, 1081.861, 158.6935, 266.0159, 475.2385, 29.53435, 511.2979, 61.52692, 1518.357, 711.8441, 122.185, 433.7386, 1102.921, 384.1578, 746.4556, 1182.815, 403.6541, 0.0003299438, 1762.98, 1166.789, 4333.465, 69.08035, 2366.695, 866.5612
339.6, 696.4698, 795.0093, 1090.479, 1063.181, 480.5669, 1188.977, 921.7457, 2.356685e-05, 1109.757, 103.1596, 13.44554, 789.9865, 1028.208, 693.5505, 468.385, 543.5535, 1364.354, 1511.183, 738.5555, 1008.037, 628.7753, 2.508155, 976.3247, 1181.732, 1166.638, 151.2116, 251.7753, 658.452, 28.32683, 487.408, 58.56041, 1450.527, 682.8006, 152.1174, 416.0547, 1129.411, 366.3685, 747.9462, 1480.571, 386.5028, 0.0003158469, 1688.506, 1115.028, 4413.644, 66.0606, 2328.893, 952.5264
339.7, 662.1225, 781.0939, 1146.418, 1016.095, 507.1765, 1196.376, 947.002, 2.240871e-05, 1062.114, 98.99227, 12.83791, 797.7969, 984.0189, 654.4396, 550.3192, 520.2463, 1303.796, 1566.252, 837.2363, 965.4808, 601.6754, 2.402185, 954.9614, 1159.617, 1188.908, 144.0824, 238.2971, 630.7632, 27.16869, 646.2318, 55.73693, 1417.734, 721.5735, 185.5735, 399.0919, 1083.255, 349.4029, 766.4774, 1483.054, 370.0803, 0.0003023522, 1808.593, 1220.884, 4363.149, 63.17286, 2350.723, 913.5486
339.8, 629.4691, 782.5716, 1167.789, 1091.46, 480.9572, 1200.918, 966.7944, 2.130748e-05, 1085.913, 108.1241, 12.25773, 875.7139, 994.6553, 617.5343, 520.0474, 497.9385, 1400.807, 1499.711, 799.6456, 924.7215, 674.6324, 2.300692, 1013.436, 1111.28, 1224.744, 137.2894, 225.5404, 604.2388, 26.05789, 616.0372, 53.04959, 1366.879, 692.1331, 206.6947, 382.8206, 1109.587, 333.223, 734.418, 1412.623, 354.3556, 0.0002894341, 1732.192, 1166.723, 4335.605, 60.41134, 2439.008, 876.1657
339.9, 598.4261, 778.1286, 1154.233, 1043.122, 509.9803, 1215.029, 925.5742, 2.026038e-05, 1068.451, 103.7562, 11.70378, 837.4376, 951.9077, 626.0048, 491.4409, 476.5873, 1397.614, 1435.997, 763.7426, 965.9207, 706.1404, 2.203487, 1014.164, 1064.958, 1191.448, 130.8167, 213.4666, 578.8297, 24.99251, 587.2535, 50.49181, 1481.222, 663.8939, 198.2177, 723.1741, 1064.241, 317.7923, 703.6995, 1407.489, 339.299, 0.000277068, 1659.019, 1160.716, 4325.141, 57.77055, 2338.823, 920.1459
340, 568.9139, 744.5071, 1134.508, 996.9239, 540.4561, 1178.642, 1069.144, 1.926472e-05, 1022.581, 99.56474, 11.17486, 800.8344, 987.1014, 590.7029, 532.6069, 456.1516, 1435.299, 1374.99, 729.4515, 925.1428, 675.7061, 2.110389, 971.522, 1061.877, 1281.038, 124.6491, 202.0392, 554.4891, 23.97069, 559.8146, 48.05736, 1415.052, 840.6194, 190.0884, 693.6898, 1085.848, 303.0762, 674.2658, 1433.83, 324.8822, 0.0002652302, 1724.447, 1321.835, 4373.152, 55.24519, 2242.754, 937.9267
340.1, 540.8572, 712.3384, 1113.085, 1119.595, 512.5164, 1126.67, 1090.388, 1.8318e-05, 1012.159, 95.54262, 10.66984, 765.8309, 1022.966, 635.1443, 594.2496, 436.5921, 1517.843, 1424.755, 696.7001, 1021.458, 646.5835, 2.021225, 947.7245, 1044.452, 1218.081, 118.7723, 191.2235, 531.1721, 22.99065, 533.6578, 45.74028, 1351.837, 806.3218, 241.4291, 665.4076, 1152.973, 414.3389, 646.0633, 1365.737, 311.0779, 0.0002538981, 1780.249, 1503.857, 4223.866, 52.83023, 2369.154, 899.5463
