 , C000, C004, C005, C006, C008, C009, C010, C011, C012, C013, C015, C017, C018, C020, C022, C025, C027, C028, C029, C032, C034, C035, C037, C038, C044, C046, C051, C052, C054, C059, C060, C061, C065, C071, C072, C073, C075, C083, C093, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
334.6, 671.9464, 698.4758, 7.154721, 197.8767, 672.9577, 167.1164, 24.2457, 69.78006, 10.39055, 339.4254, 203.2872, 543.0678, 45.7734, 297.8284, 0.4166155, 90.64964, 755.9591, 0.000586941, 1472.447, 88.6263, 336.5603, 282.7797, 681.4274, 519.268, 555.5974, 143.5263, 430.6489, 875.8544, 716.0173, 1750.514, 2047.081, 1110.518, 1534.977, 1663.608, 1775.448, 507.3373, 1059.607, 1336.526, 964.9874, 1604.64, 1144.666, 3642.422
334.7, 644.1541, 668.1904, 6.859681, 189.6584, 679.7466, 160.1264, 23.19186, 66.92795, 9.963632, 324.9521, 194.031, 519.9068, 43.90004, 285.302, 0.399205, 86.4582, 789.1581, 0.0005630414, 1478.357, 84.79446, 322.5349, 268.9554, 831.5036, 498.1464, 635.6155, 137.6387, 432.3782, 1141.928, 684.6721, 1810.324, 2340.537, 1215.817, 1508.244, 1619.445, 1760.898, 535.4307, 1013.997, 1279.202, 924.42, 1641.657, 1094.546, 3612.365
334.8, 617.5114, 639.2183, 6.576807, 181.7815, 648.2042, 153.4288, 22.18382, 64.19241, 9.554254, 311.0958, 206.762, 497.7336, 42.10336, 381.9626, 0.3825221, 82.46056, 756.9205, 0.0005401151, 1444.642, 81.12829, 309.094, 255.8069, 836.5554, 591.6723, 753.8497, 136.3224, 545.6048, 1517.044, 766.7565, 1731.709, 2532.891, 1158.637, 1549.053, 1612.014, 1714.27, 511.2852, 970.3499, 1224.336, 885.558, 1572.602, 1046.62, 3546.106
334.9, 684.5129, 611.5023, 6.305598, 174.2317, 618.1254, 147.0113, 21.2196, 61.56868, 9.161695, 297.8304, 197.3476, 476.506, 40.3802, 403.1198, 0.3665364, 78.64777, 745.7516, 0.0005181222, 1453.02, 77.62064, 296.2132, 243.3013, 955.6998, 567.6056, 737.2407, 130.7303, 564.3087, 1820.493, 733.1901, 1746.995, 2721.158, 1230.533, 1577.538, 1631.653, 1759.25, 512.0574, 1014.098, 1248.268, 848.3297, 1592.311, 1000.793, 3545.157
335, 656.2009, 584.9881, 6.045574, 166.9954, 589.4424, 140.8622, 20.29729, 59.0522, 8.785267, 285.1307, 188.3619, 456.1838, 38.72757, 435.7957, 0.3512187, 75.01128, 831.6721, 0.0004970249, 1432.873, 74.26464, 283.8691, 231.407, 944.3041, 559.8254, 759.9075, 125.3677, 539.4484, 1782.818, 735.9872, 1671.13, 2734.254, 1222.313, 1672.458, 1612.854, 1799.683, 528.5807, 970.4473, 1194.729, 812.6665, 1574.225, 956.972, 3551.635
335.1, 629.0598, 559.6235, 5.796272, 160.0597, 610.6033, 134.9703, 19.41507, 56.63857, 8.424304, 272.9725, 179.7854, 436.7282, 37.14258, 444.3716, 0.3365412, 71.54292, 797.6978, 0.0004767867, 1413.214, 71.05374, 288.6499, 251.6436, 933.1984, 537.0541, 742.1644, 120.2251, 515.6833, 1706.255, 799.2317, 1660.374, 2756.866, 1164.828, 1652.95, 1544.166, 1721.702, 504.7441, 1062.714, 1271.879, 778.5026, 1679.851, 1001.651, 3456.396
335.2, 662.176, 535.3587, 5.55725, 153.4121, 582.2693, 129.3249, 18.57119, 54.32359, 8.078173, 261.3327, 171.5993, 418.1025, 35.62245, 425.6817, 0.322477, 68.23494, 765.1113, 0.0004573725, 1393.742, 67.98167, 276.6211, 263.4166, 1060.349, 577.5988, 768.9232, 115.2934, 492.9652, 1734.18, 764.2436, 1711.784, 2665.217, 1273.734, 1627.903, 1566.96, 1672.44, 481.9825, 1016.971, 1217.327, 1011.773, 1609.19, 1096.266, 3527.051
335.3, 661.9037, 512.146, 5.328085, 147.0405, 656.9997, 123.9156, 17.76399, 52.10323, 7.746263, 250.1893, 163.786, 505.1142, 34.16454, 407.7779, 0.3090006, 65.07991, 733.856, 0.0004387488, 1403.842, 65.04242, 304.8247, 250.539, 1017.184, 554.1046, 782.7693, 110.564, 471.248, 1711.049, 730.7872, 1734.396, 2664.518, 1294.4, 1605.905, 1614.952, 1671.776, 460.2473, 1033.153, 1249.156, 969.2385, 1584.781, 1048.265, 3503.377
335.4, 634.5268, 541.5326, 5.108371, 140.9336, 626.5128, 118.7326, 16.99188, 49.97362, 7.42799, 239.521, 156.3284, 483.5718, 32.7663, 559.0652, 0.2960874, 62.07076, 809.4061, 0.0004208835, 1461.812, 62.23025, 305.2698, 238.2908, 1114.068, 531.566, 751.1942, 106.0286, 450.4874, 1664.667, 698.7953, 1744.614, 2594.641, 1233.524, 1543.491, 1666.201, 1712.499, 439.4923, 988.6819, 1311.329, 928.4924, 1581.793, 1002.366, 3503.131
335.5, 623.1606, 615.125, 4.897717, 169.6681, 649.9835, 113.7663, 16.25332, 47.93105, 7.122794, 229.3077, 149.2104, 507.3557, 31.42528, 543.425, 0.2837138, 59.20074, 905.8947, 0.0004037456, 1477.246, 59.53967, 292.5483, 226.6415, 1068.715, 527.4321, 720.8928, 101.6792, 490.1997, 1717.975, 787.4742, 1668.852, 2516.34, 1294.254, 1663.313, 1760.785, 1680.615, 506.0583, 946.1248, 1315.281, 889.4592, 1526.97, 958.4759, 3504.331
