 , C003, C006, C008, C012, C013, C014, C017, C019, C023, C025, C028, C031, C037, C039, C042, C060, C076, C077, C088, C089, C094, C099, C100, C107, C109, C114, C115, C136, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
394.9, 294.0854, 237.081, 1947.462, 964.6813, 2584.853, 1530.052, 1569.803, 2375.014, 1803.791, 919.8017, 1012.304, 452.8121, 1591.051, 1544.884, 350.3134, 895.6094, 1453.629, 1670.472, 1990.553, 1734.363, 933.9105, 1618.021, 1537.001, 2246.534, 2381.899, 2020.502, 1145.179, 2225.7, 3867.856
395, 280.6365, 226.1368, 1841.361, 917.0065, 2612.128, 1750.561, 1502.073, 2256.803, 1868.322, 870.1126, 964.9469, 429.4933, 1531.85, 1668.326, 334.2254, 853.6483, 1486.251, 1699.378, 2077.627, 1663.626, 978.2292, 1541.443, 1559.416, 2469.487, 2322.806, 1980.824, 1092.999, 2123.296, 3702.566
395.1, 267.8027, 344.0186, 1741.041, 1016.164, 2551.343, 1830.606, 1504.542, 2144.476, 1907.728, 1060.734, 919.8051, 407.3753, 1462.024, 1682.688, 318.8763, 1006.224, 1415.118, 1798.303, 2113.312, 1705.54, 986.0464, 1468.49, 1572.466, 2437.285, 2414.687, 1890.913, 1043.196, 2734.465, 3617.801
395.2, 255.5558, 328.1379, 1646.187, 965.9448, 2519.202, 1861.942, 1439.627, 2037.74, 1822.334, 1025.424, 876.775, 386.3963, 1395.381, 1601.738, 304.2321, 959.08, 1372.703, 1761.192, 2035.39, 1797.984, 938.4355, 1398.989, 1665.383, 2335.148, 2410.674, 1930.529, 995.6626, 2680.383, 3745.293
395.3, 243.869, 312.9903, 1556.5, 918.2075, 2410.153, 1904.189, 1377.513, 1936.316, 1885.754, 1330.858, 835.7581, 366.4977, 1331.775, 1524.683, 290.2603, 914.1453, 1410.563, 1687.205, 1949.521, 1724.652, 1053.777, 1332.778, 1757.788, 2262.337, 2382.111, 1921.588, 950.2949, 2880.423, 3585.241
395.4, 232.7166, 298.5419, 1471.7, 872.8293, 2471.221, 2079.853, 1597.999, 1839.94, 2143.624, 1311.94, 796.6599, 347.6239, 1271.069, 1600.95, 276.9303, 1006.867, 1502.461, 1755.665, 1867.275, 1700.806, 1022.743, 1269.7, 1670.772, 2299.013, 2404.466, 1834.366, 906.9944, 2747.895, 3432.029
395.5, 222.0742, 284.7605, 1391.52, 829.6938, 2364.249, 1976.977, 1636.221, 1748.361, 2047.671, 1422.111, 759.3909, 329.722, 1213.13, 1523.932, 518.989, 959.6933, 1430.552, 1703.888, 1788.499, 1631.438, 973.36, 1209.608, 1588.064, 2202.671, 2305.248, 1751.103, 1162.771, 2621.464, 3377.047
395.6, 211.9185, 271.6152, 1315.708, 880.1497, 2397.639, 1879.19, 1657.391, 1661.341, 2224.928, 1345.286, 723.8653, 451.8647, 1457.486, 1466.703, 495.1547, 914.7298, 1362.085, 1676.716, 1713.046, 1644.769, 951.2668, 1152.359, 1509.45, 2298.882, 2260.078, 1671.62, 1243.88, 2500.851, 3232.732
395.7, 202.2272, 259.0768, 1711.248, 1024.415, 2756.568, 1786.239, 1585.881, 2136.914, 2125.336, 1272.612, 923.2581, 568.4415, 1731.839, 1503.828, 492.2375, 941.0053, 1296.894, 1606.278, 1967.439, 1738.64, 905.3352, 1408.602, 1434.727, 2285.719, 2339.47, 1979.8, 1215.305, 2385.787, 3461.03
395.8, 192.9792, 247.1172, 1916.424, 973.788, 2688.664, 1728.128, 1517.456, 2541.126, 2148.384, 1203.863, 1056.302, 539.168, 1652.896, 1563.264, 533.176, 896.9174, 1288.259, 1553.717, 2052.955, 1925.572, 861.6213, 1795.491, 1363.704, 2189.935, 2242.934, 2169.211, 1256.411, 2276.017, 3558.33
395.9, 184.154, 235.7097, 1990.225, 1039.602, 2708.625, 1642.649, 1451.984, 2502.186, 2075.582, 1138.829, 1257.498, 694.3394, 1796.638, 1488.06, 568.5594, 877.0323, 1226.602, 1488.447, 2128.354, 1883.198, 820.0182, 1903.816, 1296.197, 2264.646, 2260.246, 2111.959, 1314.494, 2171.298, 3406.268
396, 218.4095, 224.8287, 1881.795, 998.7923, 2610.37, 1561.399, 1703.675, 2377.645, 2008.711, 1100.229, 1198.67, 935.2915, 1714.742, 1488.544, 590.279, 874.1207, 1346.973, 1540.945, 2038.564, 1817.742, 780.4238, 1813.712, 1232.031, 2323.752, 2166.979, 2016.096, 1276.525, 2410.943, 3459.842
396.1, 208.4214, 214.4501, 1779.272, 949.4316, 2522.55, 1516.932, 1895.997, 2259.303, 1918.798, 1308.596, 1142.594, 1180.612, 1636.579, 1416.934, 640.7473, 972.2036, 1298.006, 1663.399, 1952.561, 1743.604, 742.7413, 1727.872, 1171.042, 2286.681, 2246.388, 1924.584, 1218.36, 2533.649, 3352.184
396.2, 198.8901, 204.5506, 1682.335, 902.5104, 2417.168, 1535.561, 1814.192, 2146.852, 1925.38, 1237.904, 1089.142, 1119.813, 1561.979, 1397.481, 611.3213, 958.3953, 1288.197, 1593.521, 1870.187, 1766.47, 745.8783, 1753.253, 1113.072, 2292.157, 2153.693, 2030.682, 1284.233, 2632.084, 3255.291
396.3, 189.7946, 195.108, 1714.968, 880.7133, 2471.915, 1459.607, 1735.917, 2137.985, 1867.325, 1171.03, 1075.885, 1062.145, 1733.614, 1426.908, 583.2467, 956.5795, 1244.878, 1631.414, 1824.265, 1808.476, 709.8638, 1840.908, 1159.052, 2326.013, 2148.13, 1970.866, 1225.716, 2510.982, 3210.409
396.4, 181.1151, 186.1013, 1735.867, 1036.743, 2364.914, 1505.171, 1764.992, 2387.716, 1950.805, 1107.769, 1113.944, 1007.447, 1769.879, 1389.828, 556.4614, 911.7618, 1185.297, 1618.706, 2063.495, 1740.315, 675.5882, 1757.383, 1175.195, 2375.238, 2091.96, 1881.407, 1230.304, 2477.65, 3205.861
396.5, 172.8326, 177.5105, 1687.542, 1006.877, 2483.318, 1717.307, 1688.84, 2393.458, 1863.483, 1047.926, 1355.592, 955.5654, 1830.578, 1411.995, 530.9062, 869.044, 1171.949, 1677.62, 2279.44, 1686, 770.1956, 1777.43, 1256.21, 2290.412, 2005.637, 2103.888, 1182.263, 2363.654, 3168.547
396.6, 164.9287, 169.3161, 1890.238, 957.1168, 2560.718, 1632.364, 1635.371, 2433.563, 1797.667, 991.3154, 1292.175, 906.3558, 1826.058, 1634.173, 506.5247, 828.3276, 1115.858, 1607.144, 2183.276, 1831.018, 733.007, 1887.548, 1462.9, 2390.304, 2054.964, 2021.617, 1388.85, 2309.263, 3360.954
396.7, 157.3864, 161.5001, 1868.163, 999.0568, 2449.873, 1597.854, 1564.811, 2371.882, 1852.859, 937.7631, 1231.725, 859.6804, 1742.821, 1555.557, 483.2628, 897.0875, 1192.445, 1578.942, 2091.168, 1843.229, 697.614, 1798.214, 1390.482, 2299.991, 2092.411, 2001.383, 1349.551, 2290.886, 3287.893
