 , C001, C003, C004, C006, C007, C008, C011, C013, C016, C022, C025, C026, C027, C029, C035, C038, C039, C054, C055, C058, C060, C065, C069, C083, C084, C090, C102, C105, C107, C117, C118, C119, C120, C121, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
507.1, 777.8336, 434.5168, 364.3169, 254.0515, 797.7906, 188.3892, 546.2791, 730.6101, 325.7208, 652.9438, 39.38589, 869.121, 583.1511, 753.8287, 392.5193, 850.3823, 203.9554, 465.2872, 684.6365, 1217.536, 645.7162, 1275.154, 940.11, 1342.078, 862.3442, 302.4743, 919.4954, 1131.721, 688.754, 625.1185, 1804.654, 1453.204, 1598.98, 1315.602, 880.5264
507.2, 820.8893, 411.8437, 346.8604, 309.8808, 763.283, 216.487, 552.1805, 833.1559, 310.3123, 733.3406, 182.062, 904.1359, 555.9288, 724.0084, 375.6147, 931.3246, 228.8368, 552.4866, 714.3599, 1270.886, 632.8737, 1221.419, 951.4852, 1372.234, 1005.549, 286.6165, 995.4937, 1082.843, 672.9645, 768.9927, 1904.101, 1470.07, 1604.609, 1299.359, 890.4851
507.3, 780.1043, 390.3537, 440.2441, 296.2554, 795.0203, 329.2185, 637.9385, 832.0011, 364.0461, 828.6075, 172.778, 882.4971, 529.9774, 689.8037, 359.4381, 914.1653, 219.2464, 524.2493, 684.136, 1259.248, 601.2338, 1169.949, 947.7897, 1352.19, 961.2443, 271.59, 952.121, 1087.891, 644.2875, 775.3546, 1943.771, 1484.83, 1639.848, 1366.418, 949.8728
507.4, 741.3456, 369.9851, 419.1494, 312.8427, 830.5042, 312.159, 604.7997, 876.446, 346.8246, 965.0121, 163.9675, 845.0922, 505.2374, 657.215, 343.9583, 951.4023, 259.8806, 497.4552, 678.3777, 1205.726, 571.1758, 1265.51, 1030.043, 1293.355, 969.0252, 257.3513, 978.3353, 1099.277, 616.8326, 843.6456, 1987.752, 1528.439, 1636.036, 1300.445, 909.141
507.5, 767.0248, 350.6793, 399.0656, 312.8775, 804.0733, 295.9834, 573.3824, 834.9299, 427.0384, 927.5495, 155.6062, 942.4005, 481.6523, 670.743, 329.1451, 922.0042, 248.9892, 472.0306, 668.9385, 1193.573, 593.2164, 1265.082, 989.1528, 1282.31, 1008.705, 243.8591, 968.4604, 1051.8, 659.9485, 916.4637, 1942.084, 1489.6, 1670.596, 1345.184, 980.8016
507.6, 728.916, 332.3809, 379.9441, 308.3631, 786.2625, 280.6461, 543.5972, 858.0177, 406.8369, 876.5067, 147.6713, 902.4566, 539.0822, 639.0549, 314.9698, 873.818, 238.5543, 447.9054, 640.6365, 1228.165, 563.5592, 1211.771, 958.5004, 1295.443, 964.2614, 281.9172, 964.0237, 1006.373, 646.5609, 900.1343, 1859.685, 1425.44, 1600.249, 1280.237, 986.6024
507.7, 743.5811, 464.6919, 361.7387, 380.3372, 776.5771, 375.9073, 515.3591, 886.8312, 387.5911, 860.273, 246.9271, 864.2058, 513.9171, 608.8637, 301.4051, 921.7148, 228.5567, 532.8542, 803.6511, 1175.965, 535.3846, 1160.708, 940.6287, 1359.146, 921.7756, 267.1371, 982.3444, 962.9089, 674.274, 858.9539, 1878.018, 1390.677, 1570.889, 1346.089, 944.2955
507.8, 706.637, 476.9962, 344.4058, 363.6139, 770.212, 356.4285, 668.0872, 844.8232, 369.2557, 812.9324, 234.3354, 827.5762, 489.9268, 621.7203, 362.155, 980.4065, 218.9781, 591.4679, 798.9132, 1125.983, 508.6187, 1111.796, 968.8553, 1353.281, 881.1617, 253.1318, 939.5446, 1045.372, 645.5413, 926.9967, 1811.34, 1337.103, 1504.74, 1326.138, 903.8029
507.9, 671.5284, 554.2513, 327.9033, 347.6259, 749.1242, 418.3006, 633.3823, 804.805, 410.967, 870.1357, 222.3859, 792.4992, 467.0564, 592.3481, 346.5581, 929.1681, 209.8009, 561.2383, 916.6666, 1078.125, 483.1908, 1064.945, 927.092, 1339.846, 842.3373, 331.631, 962.4871, 1000.223, 618.0329, 884.5873, 1839.004, 1350.702, 1441.377, 1296.202, 865.0467
508, 672.6932, 525.3305, 312.1916, 332.3408, 752.8768, 396.625, 600.4803, 862.527, 391.5258, 883.6418, 211.0457, 853.2051, 467.7875, 636.8045, 331.6329, 880.6075, 201.0084, 600.1278, 877.8834, 1032.302, 459.0342, 1063.448, 1026.684, 1394.717, 805.2235, 314.2445, 1000.932, 957.0237, 609.3251, 844.1182, 1869.268, 1303.204, 1437.833, 1233.62, 890.0578
