 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C014, C016, C017, C018, C019, C022, C024, C027, C031, C032, C033, C037, C041, C043, C047, C050, C051, C052, C054, C055, C057, C059, C060, C061, C068, C069, C071, C072, C075, C076, C080, C084, C086, C092, C098
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
39.8, 84.1078, 475.5824, 254.8055, 83.72066, 372.6287, 79.73054, 1090.295, 270.6221, 267.4066, 114.5069, 492.478, 285.5788, 370.3215, 174.6894, 389.9117, 42.2676, 301.2801, 71.11678, 1000.419, 370.4164, 469.5879, 355.576, 969.3641, 136.6717, 770.5825, 581.1304, 194.2016, 886.8458, 375.205, 505.2658, 774.9813, 140.4637, 516.7, 576.0165, 37.91846, 680.6994, 42.51562, 238.587, 894.1384, 415.2953, 1024.907, 537.6325, 852.701, 1292.964, 692.9693, 590.4593, 1536.65, 493.8895
39.9, 79.20903, 453.3532, 237.9222, 78.06689, 352.2461, 75.49561, 1078.847, 396.5544, 252.6789, 108.3085, 466.3022, 267.2752, 439.9878, 165.3206, 367.2579, 39.95753, 301.7207, 66.54217, 951.8788, 353.7985, 547.2705, 363.7081, 1005.04, 130.6823, 720.9402, 732.48, 186.2275, 914.8497, 357.1783, 662.5515, 736.6614, 133.3708, 492.2045, 631.2098, 35.6598, 639.8276, 39.86204, 228.0821, 893.3412, 391.4065, 1004.683, 694.0074, 813.1032, 1217.866, 1059.125, 559.9058, 1514.717, 470.5861
40, 74.59558, 432.163, 222.1575, 72.79491, 332.9784, 71.48562, 1064.374, 375.0768, 238.7623, 102.4457, 441.5176, 250.1449, 416.6723, 156.4541, 345.9203, 37.77371, 284.2534, 62.26181, 905.6935, 337.9261, 511.6381, 342.2782, 957.1804, 124.9555, 745.7686, 696.937, 178.5807, 867.8536, 340.0177, 629.0153, 700.2364, 126.6361, 483.7389, 604.317, 35.26812, 601.41, 37.37408, 249.24, 855.7318, 499.6682, 984.9272, 770.5654, 775.3442, 1147.131, 1106.451, 589.726, 1597.15, 528.6003
40.1, 70.25084, 435.8322, 207.4375, 67.87897, 314.7646, 191.352, 1212.063, 387.496, 225.6122, 96.90024, 469.6638, 234.1124, 394.5923, 341.2163, 325.8225, 35.70925, 284.418, 58.25679, 861.7492, 322.7657, 478.3256, 322.1109, 911.5997, 119.4796, 697.7249, 663.1186, 171.248, 823.2717, 323.6816, 750.9371, 665.6124, 120.2414, 460.806, 578.57, 33.16733, 565.299, 35.0414, 238.2661, 819.7056, 563.9825, 1104.084, 798.2075, 759.7732, 1080.503, 1499.863, 559.2105, 1715.22, 503.6591
40.2, 66.15915, 456.2317, 298.7928, 63.295, 297.5471, 181.1882, 1154.905, 366.5091, 213.1864, 91.65495, 444.7005, 219.1075, 373.6824, 322.9163, 306.8923, 33.75762, 267.9523, 54.5094, 819.9371, 308.2855, 493.2738, 403.5849, 959.4921, 114.2437, 652.7762, 667.181, 179.7996, 822.0683, 308.1303, 712.9271, 632.7005, 114.1697, 438.9604, 553.9199, 53.76162, 531.3563, 32.85432, 227.7753, 785.1961, 531.5408, 1052.372, 788.3239, 771.4093, 1101.162, 1512.784, 530.274, 1773.982, 497.2346
40.3, 62.30577, 517.3333, 278.9949, 59.0206, 281.2714, 214.9193, 1249.734, 404.2832, 201.4449, 86.69359, 421.0641, 205.0643, 377.3952, 305.5978, 353.4171, 31.91265, 252.4399, 51.00306, 819.9158, 294.455, 461.157, 379.8054, 913.8013, 109.2372, 691.9653, 760.0303, 172.4168, 779.8384, 293.3262, 701.0291, 601.416, 108.4045, 418.1503, 597.8227, 50.55924, 499.4517, 30.80375, 317.9931, 752.1395, 500.9651, 1003.082, 816.6254, 735.5865, 1205.327, 1434.52, 502.8349, 1715.707, 491.4509
40.4, 58.67684, 642.0247, 260.5088, 55.03485, 265.886, 203.5037, 1302.451, 393.3013, 190.3501, 82.00079, 593.4316, 191.9212, 357.3966, 395.6011, 332.8837, 30.16851, 237.8255, 47.72226, 780.1334, 399.839, 437.4292, 357.427, 890.3555, 104.4501, 647.3877, 723.1504, 165.3372, 866.6846, 279.2334, 665.5453, 571.6783, 102.9305, 398.3269, 572.3524, 47.54762, 469.4627, 28.88116, 303.992, 881.3371, 559.1468, 956.1008, 942.3743, 800.5662, 1282.232, 1450.403, 476.8156, 1624.865, 468.2626
40.5, 55.25927, 612.0158, 290.6862, 51.31827, 251.3422, 192.6945, 1292.883, 372, 179.8664, 77.56202, 561.89, 179.6204, 379.5136, 374.3843, 313.5432, 28.5197, 224.0572, 44.65251, 742.2812, 381.901, 408.9485, 404.9297, 847.957, 99.87282, 605.6818, 975.0025, 158.5482, 853.0095, 265.8176, 631.8575, 543.411, 97.73293, 457.7981, 547.9672, 60.6874, 441.2744, 27.07856, 301.1629, 1009.002, 672.0814, 911.3199, 897.9152, 788.5509, 1451.427, 1375.367, 452.1426, 1538.832, 446.1683
40.6, 52.04074, 583.4095, 271.4255, 47.85267, 237.5939, 201.6077, 1231.914, 351.8523, 269.0384, 73.36352, 532.0248, 168.1081, 359.4027, 354.3055, 373.9696, 26.961, 211.086, 253.6119, 706.2657, 364.7679, 382.3221, 381.071, 807.5775, 95.49612, 566.6627, 927.6912, 152.0381, 809.1901, 253.0464, 599.875, 516.5414, 92.79778, 436.095, 524.6209, 57.07248, 414.7786, 25.38847, 287.9029, 1015.522, 692.8637, 868.6364, 855.5536, 751.9321, 1433.547, 1304.212, 428.7464, 1565.336, 425.1166
40.7, 49.00969, 556.1404, 253.4409, 170.603, 224.5976, 232.5493, 1280.17, 332.7958, 254.2208, 69.39229, 523.9814, 157.3336, 340.3575, 335.3035, 352.2421, 25.48749, 198.8657, 237.2982, 671.9976, 348.4033, 382.2818, 358.618, 769.1208, 91.31121, 542.9216, 1009.378, 145.7952, 886.0649, 240.8889, 585.5854, 491.0005, 88.11185, 514.796, 502.2693, 53.67289, 389.8737, 23.80387, 275.2266, 972.7686, 653.0084, 827.952, 815.1906, 717.0137, 1420.319, 1340.808, 406.5608, 1482.455, 405.0581
