 , C000, C001, C002, C003, C004, C007, C010, C012, C015, C019, C022, C024, C025, C026, C029, C033, C035, C036, C040, C041, C044, C045, C051, C058, C062, C063, C064, C068, C076, C077, C078, C079, C085, C104, C106, C127
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
42.1, 246.8742, 2155.851, 4109.484, 929.0715, 6284.626, 1600.898, 776.8298, 0.04406583, 1374.987, 1998.603, 1939.333, 992.7613, 960.4553, 370.2539, 2653.062, 3275.337, 2040.084, 1484.831, 604.3774, 1141.416, 0.9190956, 2480.538, 1455.853, 0.18839, 555.8195, 1170.845, 2788.583, 2777.224, 2565.708, 1228.061, 2190.793, 102.6555, 0.1638312, 1261.653, 2060.436, 3435.978
42.2, 397.335, 2065.425, 4142.464, 889.6882, 6377.225, 1756.798, 744.1586, 0.04226657, 1416.859, 1941.151, 1859.227, 1000.313, 1061.414, 354.5794, 2647.406, 3226.034, 2129.837, 1684.85, 677.2134, 1268.319, 0.8806416, 2614.884, 1498.699, 0.1794948, 529.1459, 1172.252, 2847.053, 2669.996, 2978.049, 1449.613, 2504.876, 98.14521, 0.1565818, 1306.847, 1971.687, 3293.447
42.3, 377.8423, 2093.03, 4274.134, 994.5734, 6370.416, 1682.862, 785.127, 0.04054077, 1440.98, 1862.787, 1782.429, 1102.493, 1016.702, 339.5684, 2562.317, 3147.69, 2039.323, 1651.221, 670.5596, 1257.141, 0.8437965, 2749.986, 1427.896, 0.1710196, 503.7525, 1132.566, 2769.103, 2760.071, 2901.826, 1547.81, 2399.779, 93.83311, 0.1496532, 1654.564, 1999.517, 3607.67
42.4, 359.3059, 2117.018, 4093.058, 952.4134, 6207.785, 1612.037, 749.4316, 0.03888543, 1376.156, 2087.748, 1708.803, 1137.071, 1054.522, 325.1929, 2612.947, 3225.612, 2126.417, 1574.534, 641.9032, 1225.888, 0.808493, 2726.341, 1360.439, 0.1629446, 479.5776, 1213.968, 2990.104, 2640.93, 3217.815, 1473.553, 2299.092, 89.71046, 0.1430311, 1580.309, 2028.638, 3500.03
42.5, 341.6789, 2065.232, 4034.659, 912.0406, 6209.508, 1643.918, 729.1889, 0.03729769, 1352.202, 2145.938, 1638.219, 1087.437, 1089.747, 311.426, 2496.712, 3387.637, 2154.81, 1520.55, 614.4714, 1194.433, 0.7746665, 2818.266, 1521.53, 0.1552508, 513.0118, 1165.642, 2974.461, 2735.687, 3209.052, 1402.858, 2232.25, 85.76894, 0.1367021, 1509.386, 1941.258, 3354.842
42.6, 324.9166, 2106.719, 3989.26, 873.3792, 6049.443, 1652.77, 696.0367, 0.03577477, 1297.027, 2059.307, 1702.415, 1039.969, 1043.841, 298.2419, 2532.274, 3315.712, 2121.465, 1449.932, 588.2119, 1138.564, 0.7422553, 2857.774, 1492.642, 0.1479204, 488.3926, 1114.393, 3063.68, 2617.599, 3203.174, 1470.336, 2182.979, 82.0006, 0.1306531, 1441.646, 1938.049, 3398.513
42.7, 308.9766, 2058.724, 3945.183, 836.3567, 6043.998, 1600.693, 664.3917, 0.03431404, 1370.892, 1976.174, 1632.095, 994.5739, 1038.796, 285.616, 2419.628, 3458.81, 2103.87, 1467.097, 563.0746, 1177.439, 0.7112001, 2775.634, 1462.454, 0.140936, 464.9549, 1115.969, 3141.178, 2659.154, 3274.893, 1399.795, 2183.004, 78.39783, 0.1248718, 1376.946, 2159.952, 3347.697
42.8, 293.8186, 1972.372, 3847.323, 820.3904, 5988.868, 1546.204, 634.1855, 0.03291295, 1309.222, 1989.073, 1564.679, 951.1599, 995.0365, 273.5246, 2440.203, 3318.281, 2141.63, 1520.542, 539.0115, 1122.365, 0.6814442, 2792.885, 1393.364, 0.1342815, 442.6419, 1173.95, 3002.882, 2616.99, 3124.407, 1585.187, 2309.784, 74.95335, 0.1193464, 1493.302, 2130.183, 3388.694
42.9, 279.4043, 1889.642, 3889.476, 785.6141, 5913.54, 1566.507, 605.3525, 0.03156907, 1288.756, 1908.775, 1500.048, 1012.761, 993.6315, 261.945, 2331.653, 3183.462, 2050.614, 1480.816, 515.9768, 1120.815, 0.6529333, 2747.327, 1327.538, 0.1279411, 421.3997, 1157.452, 2924.167, 2590.967, 3132.452, 1509.136, 2212.873, 71.6602, 0.1140654, 1506.731, 2130.02, 3248.124
43, 265.6971, 1916.253, 3776.586, 773.6648, 5855.96, 1500.579, 577.8305, 0.03028007, 1230.781, 1893.122, 1718.288, 968.5536, 972.3582, 250.8557, 2227.932, 3258.542, 1971.061, 1412.043, 493.9265, 1068.39, 0.6256152, 2757.181, 1461.636, 0.1219001, 401.1769, 1192.914, 2996.23, 2671.192, 3106.071, 1436.734, 2120.027, 68.51174, 0.1090181, 1439.11, 2120.616, 3167.88
