 , C002, C005, C011, C015, C018, C019, C021, C022, C023, C024, C025, C029, C037, C038, C039, C041, C044, C045, C048, C050, C064, C068, C071, C076, C078, C080, C083, C085, C090, C094, C104, C106, C110, C113, C120, C121, C126, C130, C139
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
279.3, 476.9917, 1324.797, 995.9911, 4.63201, 596.402, 69.81067, 1572.131, 639.1646, 109.7837, 329.7151, 1431.151, 9.965833, 1256.562, 478.1367, 743.1408, 1468.883, 1384.577, 2569.62, 1130.197, 1965.029, 1832.401, 1006.312, 1330.199, 1775.331, 657.8879, 0.1177319, 2139.568, 3620.58, 2378.362, 1660.311, 1672.044, 4.441056, 1550.392, 2118.928, 2036.672, 2314.622, 839.7557, 1139.29, 2377.468
279.4, 610.9733, 1810.617, 1725.343, 4.426551, 571.0129, 66.76475, 1840.892, 713.4543, 104.2529, 316.1838, 1369.964, 680.2386, 1427.803, 578.589, 712.1771, 1407.658, 1326.347, 3167.902, 1083.868, 1878.619, 1936.192, 961.9478, 1405.163, 1693.892, 623.4796, 0.1129521, 2981.802, 3804.578, 2280.55, 1984.863, 1810.282, 4.260671, 1652.762, 2026.14, 2152.647, 2218.384, 801.3135, 1347.581, 2701.752
279.5, 584.0731, 2007.024, 2016.028, 4.230205, 546.7047, 63.85173, 2033.55, 718.4828, 246.3553, 323.3147, 1311.393, 649.7761, 1652.477, 552.7956, 682.5036, 1348.985, 1270.565, 3251.469, 1039.438, 1796.008, 2120.928, 919.5399, 1445.224, 1934.262, 590.8708, 0.1083663, 3179.688, 4129.213, 2186.761, 2073.198, 1764.966, 4.087613, 1761.214, 1937.415, 2107.874, 2154.546, 764.6311, 1399.881, 2640.381
279.6, 558.3573, 1960.533, 1916.06, 4.042568, 523.4312, 61.0658, 2197.934, 686.174, 293.2077, 382.4067, 1255.327, 620.6777, 1892.192, 528.1521, 654.0664, 1292.758, 1247.669, 3124.463, 1032.529, 1717.031, 2234.222, 879.0016, 1540.408, 2041.005, 559.9675, 0.1039667, 3314.871, 4068.75, 2096.829, 2165.684, 1774.743, 3.921584, 1782.631, 1852.575, 2098.521, 2216.324, 729.6279, 1391.275, 2528.935
279.7, 533.7737, 1869.371, 1821.05, 3.863254, 501.1484, 58.40143, 2102.306, 791.71, 278.4364, 427.0921, 1201.657, 592.8823, 2052.694, 590.5487, 626.8141, 1465.545, 1369.522, 2934.808, 1155.669, 1641.526, 2139.049, 840.2504, 1544.593, 1947.378, 530.6804, 0.09974574, 3200.215, 3903.865, 2135.985, 2130.437, 1769.768, 3.762299, 1706.291, 1771.451, 2148.333, 2219.029, 696.2271, 1480.261, 2422.193
279.8, 510.2726, 1782.447, 1730.75, 3.691894, 702.7293, 55.85331, 2181.539, 785.708, 264.4092, 490.098, 1382.877, 566.3317, 1959.451, 606.8604, 804.1394, 1537.634, 1387.027, 2947.21, 1108.295, 1733.402, 2047.929, 896.9527, 1478.23, 1900.511, 502.9251, 0.09569614, 3056.04, 3745.661, 2152.36, 2217.941, 1861.092, 3.609483, 1633.22, 1693.879, 2060.39, 2126.766, 735.1783, 1522.733, 2422.416
279.9, 590.0847, 1786.69, 1644.928, 3.528135, 672.8138, 53.41637, 2343.799, 750.3762, 251.0887, 469.9846, 1323.754, 540.9702, 2166.259, 579.8067, 770.6342, 1528.161, 1328.693, 2898.277, 1079.967, 1947.96, 2249.017, 857.4102, 1542.487, 1813.329, 875.7972, 0.09181096, 2918.36, 3867.6, 2063.843, 2126.386, 1780.848, 3.462875, 1563.278, 1619.703, 2081.958, 2389.468, 701.5234, 1454.988, 2320.17
280, 582.2906, 2122.744, 2168.896, 3.37164, 644.1718, 535.3037, 2824.958, 716.6332, 238.4392, 450.6966, 1267.158, 516.7443, 2350.39, 553.959, 738.525, 1552.749, 1272.813, 2902.692, 1035.697, 1862.301, 2153.213, 819.6108, 1476.214, 1730.146, 859.709, 0.08808351, 2786.883, 3786.495, 1978.966, 2038.61, 1704.063, 30.12695, 1584.219, 1548.776, 1996.733, 2546.365, 669.4092, 1390.257, 2222.24
280.1, 759.1531, 2024.039, 2061.348, 3.222086, 616.7491, 511.9478, 2745.214, 741.0713, 469.4823, 432.2003, 1212.983, 493.6034, 2243.625, 529.2637, 707.7536, 1488.029, 1279.6, 2903.463, 993.2416, 1780.408, 2189.098, 783.4779, 1663.865, 1896.101, 1048.631, 0.08450738, 2731.261, 3710.822, 1897.579, 2169.341, 1630.589, 28.90326, 1628.217, 1480.955, 2204.506, 2440.492, 638.7651, 1328.406, 2128.443
280.2, 725.7288, 1929.923, 1959.133, 3.079166, 590.4938, 489.611, 2679.566, 707.7468, 482.6758, 476.7697, 1161.124, 471.4987, 2141.709, 632.286, 838.0836, 1426.006, 1306.183, 3216.235, 1068.275, 1924.122, 2162.824, 748.9379, 1720.114, 1809.121, 1022.416, 0.08107645, 2608.213, 4097.546, 2078.365, 2283.814, 1698.966, 27.72928, 1602.256, 1711.906, 2114.265, 2423.584, 772.7178, 1269.306, 2278.287
