 , C000, C001, C002, C003, C006, C009, C011, C016, C019, C021, C022, C025, C027, C032, C033, C034, C035, C039, C042, C043, C044, C046, C047, C056, C063, C065, C067, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
312.9, 55.5882, 63.1629, 162.9021, 289.006, 460.4313, 193.853, 34.87903, 148.0915, 55.64359, 259.8665, 190.1334, 22.34129, 304.7402, 129.6376, 2.430686, 257.6313, 3724.052, 11.4875, 9.691961, 641.713, 1164.703, 397.8386, 206.8057, 411.4315, 373.8311, 108.1406, 482.0981, 800.905
313, 52.43438, 59.24069, 156.0582, 273.9785, 451.8, 185.6651, 33.30651, 141.4062, 53.35359, 248.925, 181.9906, 21.38919, 292.1837, 124.1316, 2.330067, 245.3769, 3748.886, 11.0223, 9.176977, 732.8594, 1128.897, 373.6946, 198.017, 531.3188, 475.6148, 103.3161, 455.0877, 795.9405
313.1, 49.45949, 55.56204, 149.5018, 349.4231, 479.2534, 218.9681, 31.80489, 135.0226, 51.15783, 278.3641, 174.1966, 20.47766, 422.6799, 118.8594, 2.233613, 233.7054, 3812.509, 10.57594, 8.689357, 785.157, 1071.278, 406.8635, 189.6019, 584.8604, 512.554, 98.70685, 429.5906, 812.3446
313.2, 46.65338, 52.11182, 143.2209, 331.254, 504.6104, 209.7194, 30.37097, 128.9272, 81.25484, 332.9046, 166.7364, 19.60497, 446.0554, 113.8112, 2.141153, 222.589, 3817.428, 10.14765, 8.227646, 762.4886, 1179.524, 523.095, 181.5444, 560.5158, 556.6525, 94.30325, 405.522, 772.37
313.3, 135.7193, 48.87585, 187.4568, 314.0297, 490.4312, 207.6092, 29.0017, 123.107, 77.91081, 333.7404, 159.5957, 18.76948, 598.0396, 311.0859, 2.052519, 300.1351, 3785.98, 9.736712, 7.790468, 726.196, 1119.321, 491.3495, 173.8293, 594.9362, 599.0805, 90.0961, 382.8019, 878.6168
313.4, 128.0192, 140.1783, 179.5813, 297.701, 459.1774, 198.8402, 27.69416, 117.5496, 92.20345, 343.4583, 152.7608, 17.96959, 573.3981, 297.8733, 1.967555, 295.7931, 3726.123, 9.342411, 7.37652, 726.1621, 1062.191, 461.5305, 166.442, 615.754, 571.9611, 86.07664, 361.3547, 835.381
313.5, 120.756, 131.4737, 172.0366, 360.4742, 429.9153, 322.6157, 26.44557, 112.243, 100.3413, 328.9971, 146.2186, 17.2038, 582.428, 285.2219, 1.886108, 329.2247, 3755.322, 8.964079, 6.984567, 691.5986, 1007.977, 433.5212, 271.2143, 590.1235, 570.9963, 82.23651, 393.5222, 794.2728
313.6, 113.9049, 123.3096, 164.809, 371.5529, 566.0307, 332.2908, 25.25327, 107.176, 96.21181, 315.1449, 139.9566, 16.47063, 558.4298, 273.1079, 1.808032, 313.5649, 3624.167, 8.601068, 6.613441, 658.6802, 1026.616, 407.2118, 259.6885, 606.7802, 609.8229, 78.5677, 371.4744, 755.1874
313.7, 107.4424, 115.6525, 157.885, 352.2332, 529.9592, 318.2556, 24.11473, 102.3377, 92.25222, 301.8759, 133.9627, 15.76871, 535.4204, 261.5083, 1.733188, 298.65, 3624.834, 8.252757, 6.262034, 655.8305, 974.2173, 382.499, 248.6525, 610.0511, 582.2171, 75.06256, 350.6618, 718.0255
313.8, 101.3466, 135.2297, 319.1469, 333.918, 496.1863, 304.8131, 23.02752, 97.71781, 88.45559, 289.1655, 128.2256, 15.09671, 555.9845, 250.4015, 1.661442, 284.4445, 3554.722, 7.918551, 5.929299, 624.6146, 1099.082, 359.2859, 238.0855, 584.658, 555.861, 71.7138, 381.4006, 809.2941
313.9, 170.591, 126.8324, 305.7388, 316.5551, 464.5658, 310.7916, 21.98933, 93.3065, 84.81521, 276.9904, 122.7341, 14.45334, 533.0758, 375.3623, 1.592667, 281.4167, 3572.366, 7.59788, 5.614245, 594.8845, 1054.437, 337.4816, 236.3847, 560.3218, 582.0562, 68.51443, 360.0319, 939.5848
