 , C003, C004, C005, C008, C009, C010, C016, C017, C018, C020, C023, C024, C028, C029, C038, C039, C041, C045, C053, C055, C059, C060, C066, C070, C073, C076, C077, C080, C082, C083, C087, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
81.40000000000001, 771.7671, 280.2484, 326.1104, 217.3582, 282.0875, 406.4405, 64.00262, 358.1001, 512.248, 145.7466, 437.7564, 421.8642, 714.2059, 1680.383, 648.0551, 853.6116, 360.0701, 338.0361, 610.8529, 382.5787, 1767.691, 1163.734, 444.0876, 880.8394, 1328.39, 622.6733, 1136.181, 501.8928, 813.6512, 1610.089, 817.6831, 1296.756
81.5, 793.2101, 265.08, 461.5338, 208.4225, 269.3903, 389.097, 61.391, 341.2149, 491.198, 139.7068, 461.7407, 404.8213, 683.6237, 1733.384, 617.6917, 817.2689, 343.5851, 321.6254, 707.9918, 535.2132, 1773.87, 1115.429, 424.9919, 893.7267, 1303.984, 683.8387, 1343.966, 479.3893, 928.3801, 1660.781, 869.4485, 1234.824
81.59999999999999, 859.7603, 250.7327, 441.6175, 199.8542, 257.2646, 372.4937, 58.88594, 325.1259, 471.0129, 167.5959, 438.0064, 388.4668, 874.9695, 1813.551, 588.751, 860.7703, 327.8547, 306.0113, 782.1945, 600.0787, 1760.21, 1203.263, 406.7172, 849.2992, 1411.314, 650.0381, 1698.525, 492.813, 909.9038, 1699.958, 920.4447, 1175.85
81.7, 823.061, 237.1618, 517.5308, 191.6381, 245.6846, 356.5988, 56.4831, 675.4199, 598.3685, 194.7787, 415.4922, 397.8705, 837.5035, 1793.711, 561.1662, 824.1228, 312.8446, 291.1552, 886.7491, 719.1609, 1765.952, 1356.888, 389.2284, 807.0801, 1349.984, 617.9083, 1730.413, 519.1383, 865.3632, 1869.317, 880.5257, 1324.827
81.8, 811.457, 224.3255, 525.4381, 183.7598, 234.626, 341.3821, 54.17831, 643.5724, 573.7795, 265.9683, 436.8387, 381.7968, 921.3136, 1831.47, 534.8738, 789.0356, 298.5217, 277.0204, 842.5439, 921.4749, 1832.364, 1370.625, 372.4916, 822.442, 1476.663, 587.3665, 1732.417, 495.8615, 907.2064, 1899.67, 943.9745, 1308.948
81.90000000000001, 776.8195, 212.1839, 519.1057, 176.2054, 309.8234, 326.8148, 51.96756, 613.2266, 587.6245, 254.9464, 414.3845, 431.7766, 881.8631, 1834.215, 509.8134, 755.4423, 314.1781, 358.4202, 800.5424, 916.8257, 1849.149, 1313.732, 356.4745, 781.558, 1446.792, 558.3344, 1780.636, 473.6284, 1000.761, 2092.249, 926.1085, 1353.419
82, 851.473, 200.6995, 496.705, 168.9615, 295.8777, 312.8691, 49.84703, 584.3116, 656.946, 262.6265, 457.9908, 414.3333, 844.1019, 1802.775, 485.927, 723.2792, 377.3646, 341.0198, 760.6346, 1075.313, 1873.083, 1404.877, 516.0043, 841.856, 1383.92, 530.7372, 1706.425, 452.3922, 951.7726, 2266.083, 1044.95, 1288.781
82.09999999999999, 815.1274, 189.8367, 475.271, 162.0154, 282.5598, 299.5185, 47.81302, 556.76, 644.9354, 251.7431, 530.0936, 397.5945, 870.4227, 1725.827, 463.1599, 849.9448, 360.0877, 386.8488, 722.7163, 1024.892, 1978.13, 1346.562, 493.8162, 800.0069, 1422.701, 504.5041, 1700.782, 519.2437, 922.035, 2219.828, 1096.337, 1227.23
82.2, 800.9004, 179.5618, 454.7619, 155.3549, 269.8413, 286.7375, 45.86201, 530.5076, 618.4327, 241.3107, 502.8458, 381.5321, 833.1514, 1725.747, 441.4594, 813.7582, 343.6019, 460.9265, 823.2859, 1016.718, 1925.498, 1415.927, 472.5821, 760.2382, 1483.818, 479.5676, 1629.9, 495.9622, 1071.786, 2274.349, 1072.681, 1168.619
82.3, 891.1004, 169.8431, 435.1378, 148.9682, 257.6953, 274.502, 43.99061, 505.493, 593.0192, 231.3107, 476.9987, 389.855, 797.476, 1744.269, 420.7757, 825.3544, 327.8708, 438.5497, 782.2444, 969.0449, 1858.782, 1380.965, 452.261, 997.059, 1419.337, 455.8637, 1675.767, 473.7245, 1019.321, 2213.677, 1026.16, 1219.452
82.40000000000001, 856.0396, 160.6504, 416.3605, 142.8441, 246.0959, 262.7885, 42.19558, 481.6579, 568.6499, 221.7251, 452.4801, 374.1052, 763.3281, 1701.825, 401.061, 790.2148, 312.86, 417.2592, 743.2488, 963.6544, 1908.367, 1622.828, 432.8138, 947.4947, 1443.846, 516.4406, 1605.927, 452.484, 969.424, 2198.639, 1046.21, 1161.212
82.5, 834.8962, 151.9552, 398.3936, 136.9717, 235.0188, 251.5749, 40.47379, 458.9467, 545.282, 212.5367, 429.2219, 358.9916, 781.7122, 1780.867, 382.2701, 847.8208, 298.5363, 397.0024, 802.7224, 918.4694, 1823.2, 1673.318, 414.2029, 900.3943, 1381.102, 490.9141, 1605.598, 432.1959, 963.6593, 2105.457, 1000.837, 1105.754
82.59999999999999, 799.2582, 143.7307, 381.2019, 131.3408, 224.4402, 240.8398, 38.82225, 437.3064, 522.8745, 203.7291, 407.1591, 383.3197, 814.3169, 1912.671, 364.3596, 811.7247, 284.8685, 377.729, 762.7059, 875.4031, 1933.825, 1763.174, 396.3921, 855.6353, 1432.911, 466.6494, 1698.005, 458.2621, 1014.195, 2016.225, 1049.189, 1052.944
82.7, 878.5043, 160.2536, 364.7521, 125.9413, 214.3377, 230.5628, 37.23811, 416.6864, 501.3877, 195.2864, 386.2304, 367.8339, 779.4479, 1904.497, 347.2882, 777.1653, 271.8264, 359.3912, 949.9985, 888.4281, 1847.522, 1720.573, 379.3473, 813.1013, 1370.642, 443.584, 1627.238, 437.7149, 964.549, 2159.509, 1003.687, 1083.033
82.8, 885.9067, 162.8571, 432.1422, 120.7638, 296.4147, 220.7243, 35.71861, 397.0388, 522.6645, 187.1937, 400.6292, 352.9738, 746.0721, 1871.77, 331.0167, 793.5598, 259.3814, 341.9437, 996.1923, 846.7704, 1765.071, 1870.266, 363.0353, 772.6816, 1432.894, 421.6586, 1683.571, 510.3938, 917.3333, 2067.986, 1055.363, 1071.938
82.90000000000001, 848.0913, 154.0425, 413.4942, 115.7992, 283.0726, 211.3056, 34.26112, 378.3175, 501.1864, 179.4363, 479.8832, 338.7139, 714.1254, 1900.652, 315.5076, 760.0598, 247.5062, 443.6108, 1031.639, 931.1422, 1709.442, 1867.857, 347.4248, 734.2713, 1386.648, 433.0374, 1751.442, 487.5091, 1014.455, 1980.342, 1009.593, 1135.825
83, 955.3184, 173.2455, 544.4964, 111.0386, 270.331, 202.2889, 32.86309, 360.479, 480.5909, 172.0004, 505.9663, 325.0302, 720.3359, 1819.526, 300.7251, 727.7001, 236.1746, 481.5948, 1050.727, 887.4817, 1809.71, 1790.324, 332.4856, 697.7703, 1363.14, 442.6085, 1782.701, 465.6505, 964.7968, 1896.412, 965.8075, 1119.903
83.09999999999999, 926.7308, 163.8686, 521.0001, 106.4738, 258.163, 193.6569, 31.52211, 343.4817, 460.8417, 164.8726, 492.7401, 311.8992, 727.7627, 1792.594, 286.6352, 696.7181, 225.3619, 458.2146, 1137.782, 845.8684, 1728.946, 1912.325, 318.1887, 663.0839, 1303.904, 494.102, 1708.404, 444.772, 941.2471, 1988.752, 1012.335, 1066.418
83.2, 887.1728, 170.6118, 498.5176, 102.0966, 246.5426, 185.3932, 30.23585, 327.2858, 504.2517, 158.0402, 467.4124, 299.2988, 696.6, 1863.046, 273.2054, 724.9062, 215.0442, 572.1658, 1081.063, 806.2063, 1707.228, 1879.333, 304.5066, 630.1216, 1303.106, 579.0414, 1784.166, 424.8297, 976.8831, 2054.426, 968.4304, 1015.487
83.3, 869.3944, 161.3774, 477.0054, 97.89941, 235.4453, 177.4822, 29.00208, 311.8535, 500.5759, 151.4909, 526.7259, 287.2074, 685.8168, 1826.313, 260.4049, 694.0432, 205.1988, 677.6537, 1034.487, 768.4039, 1631.038, 1907.894, 291.4128, 598.798, 1246.479, 550.4208, 1761.713, 405.7814, 976.7181, 2021.655, 1003.26, 966.9882
83.40000000000001, 832.2838, 152.6429, 505.9872, 101.9852, 310.2498, 169.9087, 27.81865, 297.149, 480.0055, 145.2131, 499.6513, 322.8498, 706.7697, 1850.736, 248.2041, 676.392, 195.8042, 644.7554, 1074.309, 732.3741, 1671.26, 1909.43, 278.8821, 569.0315, 1262.897, 595.1487, 1750.46, 387.5873, 928.9068, 1935.974, 1037.52, 1068.049
