 , C001, C002, C003, C004, C005, C007, C010, C011, C012, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C027, C028, C029, C031, C032, C033, C034, C035, C036, C037, C038, C039, C043, C045, C046, C047, C051, C052, C053, C054, C055, C056, C063, C064, C068, C070, C077, C082, C089, C092, C099, C106
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
20.3, 1619.932, 565.0451, 927.5642, 86.27744, 6.622613, 603.4485, 3774.092, 3889.905, 681.7723, 897.1495, 7124.4, 4693.603, 143.3829, 1416.868, 1116.928, 735.9948, 93.18758, 5.645046, 2542.415, 60.69541, 8.570524, 0, 862.8463, 1758.281, 5612.884, 600.465, 2017.947, 1058.274, 879.743, 3107.276, 682.8575, 557.837, 969.0887, 620.4437, 298.1034, 2749.185, 4327.667, 3138.575, 58.8061, 5336.217, 25.06881, 0, 2296.281, 3520.114, 1965.329, 117.7449, 1325.139, 2607.989, 0.9935986, 1528.569, 722.2126
20.4, 1539.027, 538.2914, 966.191, 425.3399, 6.341213, 572.275, 3691.211, 3840.007, 651.0126, 899.5002, 7088.795, 4763.429, 137.1785, 1351.161, 1064.686, 739.7045, 89.25716, 5.350547, 2456.535, 57.46346, 8.172057, 0, 822.2101, 1863.557, 5567.667, 573.8638, 1925.352, 1188.623, 842.5386, 3249.256, 686.4106, 533.41, 979.7706, 593.6212, 285.8957, 2773.588, 4146.716, 3005.863, 56.19468, 5252.132, 23.98762, 0, 2285.64, 3353.014, 1875.581, 112.4999, 1297.371, 2485.812, 0.9511341, 1464.655, 838.1306
20.5, 1576.168, 512.8044, 922.5129, 406.6918, 6.07177, 617.5331, 3621.212, 3875.916, 766.1866, 889.3431, 7050.599, 4649.911, 131.2425, 1341.427, 1014.889, 705.0218, 85.49252, 5.071413, 2508.224, 54.40361, 7.792115, 0, 783.4875, 1838.27, 5521.461, 548.4411, 1899.783, 1135.138, 806.9074, 3117.435, 657.4675, 510.0526, 932.8348, 567.9581, 274.1879, 2689.044, 4026.101, 3045.485, 53.69923, 5145.332, 22.95306, 0, 2221.875, 3335.984, 1789.932, 107.4885, 1326.469, 2561.365, 0.9104845, 1486.036, 803.0737
20.6, 1544.278, 488.5242, 880.8094, 388.8612, 5.813776, 649.5122, 3672.342, 3855.131, 731.6183, 917.6589, 7056.767, 4535.856, 125.5634, 1279.218, 967.4199, 671.9652, 81.88666, 4.80684, 2393.111, 51.50669, 7.429837, 0, 746.5887, 1769.053, 5595.016, 689.5976, 1942.792, 1084.059, 772.7832, 2990.961, 629.7447, 487.7181, 888.1476, 543.4045, 262.9595, 2670.859, 4231.505, 3108.04, 51.31459, 5128.788, 21.96312, 0, 2236.602, 3353.663, 1782.805, 102.7003, 1265.305, 2559.253, 0.8715722, 1488.676, 769.4831
20.7, 1467.151, 465.3936, 877.278, 371.8124, 5.566744, 615.959, 3561.164, 3825.789, 762.3666, 872.8925, 6923, 4530.542, 120.13, 1219.894, 1033.95, 782.3655, 78.43289, 4.55607, 2412.388, 48.76403, 7.084404, 0, 768.381, 1743.629, 5372.12, 659.0477, 1853.646, 1119.12, 740.1021, 3068.115, 603.1908, 466.3615, 1172.868, 519.9125, 252.191, 2548.871, 4090.551, 3186.998, 49.03585, 5013.798, 21.01588, 0, 2201.496, 3402.815, 1799.935, 98.12549, 1374.243, 2439.36, 0.8343229, 1587.305, 737.2975
20.8, 1426.073, 512.9668, 837.6194, 422.4904, 5.330208, 713.6873, 3398.388, 3774.81, 791.6578, 830.31, 6804.35, 4411.682, 114.9318, 1337.609, 1128.699, 745.6826, 75.12479, 4.318382, 2481.916, 46.16741, 6.75503, 0, 732.1937, 1770.564, 5343.578, 629.8513, 1838.601, 1068.762, 708.8031, 3046.899, 577.7567, 445.9402, 1116.682, 552.7296, 241.8634, 2473.822, 3940.665, 3112.826, 46.85831, 4952.387, 20.10949, 0, 2222.574, 3329.088, 1815.688, 93.75443, 1310.877, 2479.242, 0.7986656, 1520.935, 852.7204
20.9, 1488.932, 551.2156, 875.0964, 464.1298, 5.103724, 676.8189, 3427.994, 3885.302, 755.9402, 959.5135, 6849.598, 4214.314, 109.9585, 1275.577, 1075.907, 710.7195, 71.95621, 4.093095, 2368.01, 43.70906, 6.440969, 0, 697.7106, 1783.557, 5250.657, 601.9482, 1909.312, 1099.209, 678.8277, 2923.287, 628.7022, 426.413, 1063.187, 554.8934, 231.9588, 2552.479, 4029.65, 3109.072, 44.77746, 4759.828, 19.24219, 0, 2175.837, 3218.659, 1802.112, 89.57808, 1287.546, 2476.363, 0.7645322, 1457.339, 817.0532
21, 1414.57, 605.6705, 835.5365, 443.781, 4.886862, 641.8551, 3271.305, 3775.056, 721.8341, 997.459, 6692.768, 4279.24, 105.2004, 1216.422, 1091.195, 677.3958, 68.9213, 3.879561, 2393.493, 41.38161, 6.141511, 0, 664.8515, 1693.426, 5229.002, 575.2813, 1821.702, 1144.726, 650.12, 2913.524, 602.1923, 407.7409, 1012.255, 530.9047, 222.4598, 2444.117, 3911.21, 3075.3, 42.78901, 4773.58, 18.4123, 0, 2223.41, 3326.828, 1757.909, 85.58776, 1301.073, 2414.012, 0.7318577, 1396.403, 782.8779
21.1, 1401.821, 608.9992, 809.8864, 424.3243, 4.679215, 608.6975, 3256.777, 3766.852, 689.2668, 948.7997, 6659.762, 4161.734, 100.6482, 1160.01, 1183.201, 797.6853, 66.01437, 3.677166, 2355.053, 39.17809, 5.855975, 0, 669.1546, 1607.85, 5180.378, 549.7958, 1738.112, 1093.216, 622.6263, 2875.473, 576.8002, 389.8864, 963.7634, 625.8837, 301.5067, 2487.914, 3808.688, 2945.264, 40.88887, 4655.47, 17.61819, 0, 2238.239, 3422.64, 1718.638, 81.7752, 1241.081, 2361.31, 0.7005795, 1434.882, 750.1321
21.2, 1377.532, 607.8925, 773.2744, 405.7207, 4.480392, 675.1927, 3217.585, 3742.564, 702.4112, 973.5445, 6573.754, 3975.549, 96.29294, 1106.215, 1168.581, 760.284, 63.23005, 3.485331, 2290.09, 37.09191, 5.583714, 0, 637.6403, 1661.878, 5355.992, 581.2593, 1678.726, 1106.541, 596.2953, 2758.816, 552.4788, 372.8138, 1050.174, 674.9681, 433.7293, 2462.073, 3921.083, 2820.726, 39.07311, 4553.058, 258.3866, 0, 2187.825, 3402.516, 1640.155, 78.13247, 1183.855, 2250.689, 0.6706381, 1482.05, 809.7508
