 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C021, C024, C025, C026, C030, C034, C040, C043, C047, C055, C060, C062, C065, C066, C069, C070, C072, C073, C074, C078, C080, C082, C083, C090, C094, C098, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
97.2, 160.5525, 0.1471173, 331.8439, 30.08515, 732.7197, 367.9235, 44.36752, 162.5307, 282.2262, 164.3253, 439.9468, 1.597176, 31.90638, 81.73387, 120.4021, 592.9558, 196.1749, 141.6818, 1010.1, 1103.409, 136.389, 57.75962, 568.6097, 1845.157, 1544.833, 479.3049, 0.004847385, 329.3559, 554.2653, 655.2526, 118.4947, 767.1276, 0.3942156, 53.78378, 68.17595, 951.1475, 238.869, 117.9206, 54.67751
97.3, 152.6568, 0.1405708, 313.3192, 28.59749, 747.7236, 347.5537, 42.35417, 152.9788, 265.2336, 154.9376, 416.6568, 1.532182, 30.60155, 78.38187, 115.4541, 626.869, 186.6156, 134.9269, 953.5333, 1125.112, 129.4569, 54.80177, 598.7009, 1758.114, 1597.074, 458.2108, 0.004609953, 334.778, 531.9189, 617.9554, 112.8353, 725.2737, 0.3779661, 51.17968, 65.04567, 1021.446, 226.9317, 112.1075, 51.67038
97.40000000000001, 145.1494, 0.1343156, 295.8285, 27.18339, 738.6464, 328.3117, 40.43218, 143.9882, 296.3733, 146.0862, 394.5997, 1.469833, 29.35008, 75.16733, 110.7094, 596.3945, 228.4109, 128.494, 900.1339, 1071.603, 122.8772, 51.99538, 564.8793, 1708.885, 1512.708, 438.045, 0.004384151, 316.3182, 579.6552, 582.7811, 107.4463, 747.2512, 0.3623864, 48.70167, 62.05912, 971.7689, 215.5909, 106.5809, 48.82863
97.5, 138.0112, 0.1283387, 279.3143, 25.83921, 695.5532, 310.1351, 38.59742, 135.526, 278.5289, 137.7405, 373.7103, 1.410021, 28.14979, 72.08463, 106.1597, 567.4015, 217.2808, 122.3679, 849.725, 1020.638, 116.6319, 49.33271, 532.9683, 1810.687, 1493.264, 418.7667, 0.004169409, 403.0085, 546.2728, 549.609, 102.3146, 706.4818, 0.3474489, 46.34364, 59.20969, 1021.029, 204.8169, 101.3268, 46.14318
97.59999999999999, 131.2241, 0.1226278, 263.7219, 24.5615, 654.9741, 292.9647, 36.84591, 127.5611, 261.7589, 129.8715, 353.9267, 1.352643, 26.99859, 69.12835, 101.797, 539.8179, 287.5543, 116.5338, 802.1391, 972.0972, 196.7357, 46.8064, 614.7566, 1725.269, 1519.308, 400.3369, 0.003965185, 380.7865, 514.8129, 518.325, 97.42799, 784.2113, 0.3331271, 44.09977, 56.49109, 971.3724, 194.5813, 96.33176, 43.60542
97.7, 124.7707, 0.117171, 249, 23.34698, 616.7625, 276.745, 35.17389, 120.0643, 245.9987, 122.4521, 335.1905, 1.2976, 25.89447, 66.29331, 97.61352, 513.5753, 273.5422, 110.9779, 900.8948, 1035.833, 186.7365, 44.40945, 580.028, 1715.393, 1439.05, 453.9839, 0.003770965, 359.7897, 485.1648, 488.8217, 92.77478, 741.4254, 0.3193957, 41.96455, 53.89732, 984.17, 184.8573, 91.58293, 41.20722
97.8, 118.6347, 0.1119571, 235.0999, 22.1925, 580.7801, 261.4233, 33.57774, 113.0081, 231.1873, 115.4566, 488.9883, 1.244796, 24.8355, 63.57454, 93.60201, 544.7029, 260.2129, 105.6868, 898.6165, 986.569, 177.2456, 42.13526, 547.2612, 1737.822, 1420.808, 434.0042, 0.003586257, 446.732, 457.2242, 460.9978, 129.619, 896.0848, 0.3062303, 143.1668, 51.42264, 983.2529, 175.6191, 87.0682, 38.94093
97.90000000000001, 112.8004, 0.1069752, 221.9758, 21.09512, 546.897, 246.9498, 32.05402, 106.3666, 217.2677, 108.8607, 463.1021, 1.194142, 23.81984, 60.96727, 89.75535, 601.4766, 247.5331, 100.648, 848.2925, 939.6485, 168.237, 39.97752, 516.3455, 1655.842, 1527.49, 464.1724, 0.003410597, 422.099, 430.8926, 434.7576, 123.4283, 880.0408, 0.2936076, 136.235, 49.06158, 1197.211, 166.8427, 82.77602, 36.79927
98, 107.2531, 0.1022149, 209.5842, 20.052, 514.9906, 292.5979, 30.59944, 100.1154, 204.1862, 102.6416, 438.5863, 1.145548, 22.84571, 58.46693, 86.06677, 572.2365, 235.4712, 95.84946, 800.7869, 894.9595, 159.6862, 37.93028, 487.1763, 1672.298, 1446.799, 443.7443, 0.003243541, 398.8242, 406.0775, 410.011, 117.5333, 832.0265, 0.2815051, 129.6388, 46.80894, 1138.986, 158.5049, 78.69544, 34.7754
98.09999999999999, 101.9786, 0.09766649, 197.8845, 19.06046, 484.9457, 276.3985, 29.21087, 94.23161, 191.8924, 96.77779, 415.3683, 1.098933, 21.91142, 56.06913, 82.52979, 544.4179, 223.997, 91.27969, 755.9416, 852.3958, 151.5701, 35.98788, 459.6549, 1754.86, 1384.947, 424.2152, 0.003084668, 376.8329, 382.6914, 386.6731, 111.9199, 933.2026, 0.2699016, 123.3619, 44.65972, 1083.593, 150.5837, 74.81602, 32.86284
