 , C002, C003, C005, C006, C008, C011, C014, C017, C022, C024, C037, C046, C049, C051, C053, C055, C057, C062, C071, C072, C084, C101, C113, C117, C119, C121, C122, C123, C128, C132
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
237.1, 57.43909, 2.685776, 613.7139, 513.599, 336.0171, 21.62402, 1.821199e-05, 64.16048, 3725.052, 1078.373, 1527.641, 2723.951, 524.1299, 164.2684, 656.4362, 0.005250237, 8504.965, 4252.513, 5003.114, 3788.121, 945.6598, 1773.913, 2646.094, 456.9989, 746.4755, 1587.237, 1388.983, 3499.101, 2550.65, 240.0876
237.2, 54.92149, 2.566017, 668.0142, 512.676, 321.7437, 20.68069, 1.742779e-05, 61.21285, 3608.545, 1020.687, 1581.796, 2603.251, 500.5664, 154.7965, 642.7687, 0.005006379, 8264.219, 4283.473, 5132.992, 3890.88, 978.9406, 1792.962, 2597.165, 429.8343, 707.5488, 1634.53, 1452.864, 3671.62, 2590.271, 229.3458
237.3, 52.51423, 2.451598, 634.2007, 513.0202, 308.0767, 19.7785, 1.667735e-05, 58.40064, 3483.96, 966.0865, 1557.136, 2678.816, 478.0623, 145.8708, 614.7141, 0.004773848, 8244.939, 4133.447, 5206.488, 3854.943, 934.5638, 1863.597, 2603.151, 404.2843, 670.6519, 1561.114, 1371.6, 3554.335, 2516.925, 308.5886
237.4, 50.21249, 2.342282, 602.0988, 487.8282, 294.9902, 18.91568, 1.595923e-05, 55.71763, 3532.529, 1091.198, 1696.397, 2640.024, 456.5699, 137.4598, 673.9749, 0.004552117, 8425.691, 4356.726, 5120.918, 3739.4, 892.1987, 1776.768, 2494.308, 380.2531, 853.9069, 1490.996, 1294.881, 3438.575, 2537.113, 315.453
237.5, 48.01163, 2.237839, 571.6218, 463.8733, 282.4596, 18.0905, 1.527203e-05, 53.15788, 3463.535, 1032.825, 1622.022, 2695.683, 436.0438, 129.5337, 651.4502, 0.004340685, 8287.223, 4309.425, 4991.021, 3622.309, 908.8879, 1753.23, 2559.594, 357.6503, 809.3779, 1424.027, 1222.454, 3527.086, 2419.983, 328.8309
237.6, 45.90724, 2.138054, 542.6874, 441.0947, 270.4612, 17.30131, 1.461442e-05, 50.71573, 3453.905, 977.5757, 1597.016, 2576.235, 602.73, 122.0647, 740.0039, 0.004139073, 8157.992, 4234.476, 4990.435, 3606.706, 867.6868, 1671.543, 2547.649, 336.3911, 993.6936, 1360.067, 1154.078, 3337.409, 2488.603, 346.6095
237.7, 43.89508, 2.042718, 515.2177, 419.4346, 258.9725, 16.54655, 1.398513e-05, 48.38577, 3522.762, 988.1074, 1607.205, 2462.08, 575.6329, 115.0263, 714.51, 0.003946825, 8221.023, 4594.32, 5034.793, 3686.561, 921.5952, 1593.662, 2441.127, 316.3955, 941.8751, 1298.979, 1219.524, 3157.933, 2668.7, 497.8846
237.8, 41.97112, 1.951633, 489.1385, 432.242, 247.9719, 15.82472, 1.338294e-05, 46.16286, 3405.367, 935.2498, 1608.476, 2510.115, 549.754, 108.3938, 753.9515, 0.003763507, 8239.857, 4394.792, 5505.454, 3804.024, 997.1713, 1519.41, 2339.059, 297.5886, 892.7587, 1397.529, 1214.248, 2988.108, 2545.495, 650.2209
237.9, 40.13149, 1.86461, 515.7205, 459.5779, 237.4385, 15.13438, 1.280667e-05, 44.04207, 3395.936, 885.2198, 1537.956, 2506.768, 525.0385, 102.1437, 827.0912, 0.003588703, 8242.918, 4203.93, 5344.49, 3645.926, 951.9681, 1448.617, 2482.41, 279.8995, 846.2037, 1334.758, 1146.331, 2827.416, 2555.104, 665.1384
238, 38.37249, 1.781467, 623.1368, 437.0102, 227.3526, 14.47415, 1.225522e-05, 42.01871, 3412.052, 1072.344, 1470.528, 2516.184, 501.4342, 96.25401, 829.4965, 0.003422018, 8280.118, 4141.796, 5338.397, 3494.398, 908.8141, 1535.325, 2528.445, 263.2619, 802.0764, 1299.595, 1082.213, 3022.458, 2515.234, 685.7875
