 , C004, C009, C017, C026, C027, C029, C030, C032, C033, C034, C038, C043, C048, C050, C052, C056, C059, C060, C061, C064, C068, C071, C072, C078, C080, C085, C088, C089, C098, C102, C117, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
31.1, 933.454, 2549.725, 679.5763, 948.7962, 1076.293, 1677.517, 817.7366, 1100.951, 256.2755, 789.9897, 1268.793, 533.9838, 620.6631, 1815.356, 1687.986, 996.292, 529.0244, 1026.063, 1524.499, 1225.417, 944.7119, 1539.311, 3021.297, 743.5216, 1469.451, 82.61661, 234.0874, 637.707, 1029.984, 1990.365, 1424.802, 964.1991
31.2, 893.7789, 2459.325, 634.2598, 979.9599, 1030.507, 1600.053, 769.3543, 1111.961, 255.5123, 809.0364, 1212.079, 511.377, 594.8984, 1724.093, 1608.188, 945.1826, 504.1806, 976.3686, 1481.108, 1171.428, 938.8206, 1474.175, 2972.25, 711.6148, 1440.727, 79.08729, 221.6883, 607.1376, 980.9138, 1994.912, 1589.047, 922.847
31.3, 855.7902, 2484.261, 591.9652, 987.2974, 986.6689, 1589.023, 723.8347, 1089.603, 242.2903, 774.1396, 1157.9, 489.7272, 570.2032, 1637.417, 1532.162, 896.695, 480.5036, 929.0809, 1417.169, 1119.818, 899.3951, 1790.855, 2962.51, 681.0772, 1371.673, 75.70872, 209.9459, 578.0336, 994.7372, 1907.371, 1520.198, 883.2684
31.4, 819.4161, 2418.836, 630.3241, 1056.12, 944.6958, 1560.113, 681.0082, 1051.892, 256.5352, 740.748, 1177.531, 468.994, 608.9975, 1679.434, 1521.861, 850.6949, 457.9384, 934.1975, 1434.771, 1168.71, 861.6254, 1715.075, 3030.155, 651.8501, 1305.929, 72.4745, 198.8255, 550.3248, 947.3463, 1908.167, 1454.332, 845.3873
31.5, 886.2127, 2433.044, 588.2919, 1007.26, 1019.666, 1488.071, 640.7156, 1031.053, 288.0707, 768.5931, 1221.037, 449.1386, 583.717, 1791.778, 1449.916, 807.0546, 436.433, 989.2031, 1429.539, 1117.219, 825.4417, 1642.501, 3077.856, 623.8771, 1296.574, 69.37844, 188.2942, 523.9442, 902.2132, 1909.715, 1391.32, 809.1307
31.6, 882.2022, 2314.537, 549.0626, 991.3755, 1013.312, 1596.091, 602.8069, 1089.04, 273.1638, 846.8071, 1227.807, 430.1238, 559.486, 1735.714, 1477.497, 900.0479, 476.5211, 941.2938, 1367.826, 1123.361, 926.1806, 1572.998, 3043.23, 639.8372, 1234.43, 66.41464, 178.3206, 574.3032, 859.2303, 2019.036, 1331.038, 859.5291
31.7, 844.7056, 2201.801, 512.4493, 945.5115, 970.2056, 1522.388, 567.1412, 1041.655, 349.474, 810.2811, 1172.925, 411.914, 580.9385, 1845.12, 1636.148, 853.8758, 454.143, 991.3318, 1395.734, 1316.433, 887.286, 1506.436, 2967.104, 618.3406, 1202.638, 149.2596, 313.4586, 566.4678, 895.481, 1930.437, 1273.368, 943.3543
31.8, 808.8027, 2305.45, 478.2774, 916.0262, 928.9327, 1675.481, 610.4173, 1001.75, 331.3896, 775.3307, 1278.028, 394.4752, 556.8228, 1929.871, 1731.203, 810.0723, 701.9526, 943.3195, 1335.481, 1258.434, 850.0248, 1629.294, 3027.862, 597.4763, 1277.557, 142.8834, 296.8554, 539.3134, 932.9514, 1845.725, 1396.729, 902.8962
31.9, 774.4257, 2259.225, 446.3842, 1029.4, 998.2788, 1598.111, 805.303, 955.9716, 314.2411, 741.8878, 1220.901, 377.7746, 533.7082, 1899.309, 1881.422, 768.5159, 668.9879, 897.6324, 1305.47, 1288.458, 814.3283, 1560.35, 2932.615, 702.6307, 1216.324, 136.7795, 281.1316, 568.173, 976.7256, 1764.731, 1336.213, 926.8316
32, 941.7097, 2208.434, 471.2208, 1048.77, 971.8636, 1524.314, 757.6564, 1072.818, 320.9752, 803.5782, 1166.328, 361.7811, 511.5531, 1803.825, 1882.908, 729.0913, 665.6276, 854.158, 1249.113, 1231.692, 780.1309, 1777.517, 2942.617, 686.7136, 1252.635, 130.9364, 266.2407, 540.9368, 930.1929, 1914.418, 1371.523, 938.7456
