 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
14.78860271498679, 16.45232, 0.01037321, 4.836267, 17.19724, 14.38583, 0
14.88852570630427, 15.57457, 0.009941984, 4.636218, 16.43976, 13.77326, 0
14.98844869762174, 14.74365, 0.009528683, 4.444443, 15.71564, 13.18678, 0
15.08837168893922, 13.95706, 0.009132564, 4.260602, 15.02342, 12.62527, 0
15.1882946802567, 13.21243, 0.008752912, 4.084365, 14.36168, 12.08767, 0
15.28821767157418, 12.50753, 0.008389042, 3.915418, 13.72909, 11.57296, 0
15.38814066289166, 11.84024, 0.0080403, 3.75346, 13.12437, 11.08017, 0
15.48806365420914, 11.20855, 0.007706055, 3.598201, 12.54628, 10.60836, 0
15.58798664552661, 10.61056, 0.007385705, 3.449363, 11.99366, 10.15664, 0
15.68790963684409, 14.21715, 0.00707867, 3.306683, 11.46537, 9.724159, 0
15.78783262816157, 13.45865, 0.006784401, 3.169904, 10.96036, 9.310092, 0
15.88775561947905, 12.74062, 0.006502365, 3.038784, 10.47759, 8.913657, 0
15.98767861079653, 12.06089, 0.006232053, 2.913086, 10.01609, 8.534102, 0
16.08760160211401, 11.41743, 0.005972979, 2.792589, 9.574908, 8.17071, 0
16.18752459343148, 10.8083, 0.005724675, 2.677075, 9.153163, 7.82279, 0
16.28744758474896, 10.23166, 0.005486694, 2.56634, 8.749994, 7.489686, 0
16.38737057606644, 9.685789, 0.005258606, 2.460185, 8.364584, 7.170765, 0
16.48729356738392, 9.169041, 0.005039999, 2.358421, 7.99615, 6.865425, 0
16.5872165587014, 8.679862, 0.00483048, 2.260866, 7.643945, 6.573087, 0
16.68713955001887, 8.216782, 0.004629671, 2.167347, 7.307253, 6.293197, 0
16.78706254133635, 7.778407, 0.004437209, 2.077696, 6.985391, 6.025224, 0
16.88698553265383, 15.95164, 0.004252749, 1.991754, 6.677706, 5.768662, 0
16.98690852397131, 15.1006, 0.004075957, 1.909366, 6.383574, 5.523026, 0
17.08683151528879, 14.29496, 0.003906514, 1.830387, 6.102397, 5.287848, 0
17.18675450660627, 13.53231, 0.003744116, 1.754674, 5.833606, 5.062685, 0
17.28667749792374, 12.81035, 0.003588467, 1.682093, 5.576653, 4.847109, 0
17.38660048924122, 12.1269, 0.00343929, 1.612514, 5.331019, 4.640713, 0
17.4865234805587, 11.47992, 0.003296315, 1.545814, 5.096205, 4.443106, 0
17.58644647187618, 10.86745, 0.003159283, 1.481872, 4.871733, 4.253912, 0
17.68636946319366, 10.28766, 0.003027948, 1.420576, 4.657148, 4.072775, 0
17.78629245451114, 9.7388, 0.002902072, 1.361815, 4.452015, 3.899352, 0
17.88621544582861, 9.219224, 0.00278143, 1.305484, 4.255918, 3.733312, 0
17.98613843714609, 8.727367, 0.002665802, 1.251484, 4.068458, 3.574343, 0
18.08606142846357, 13.73504, 0.002554982, 1.199717, 3.889255, 3.422143, 0
18.18598441978105, 13.00226, 0.002448768, 1.150091, 3.717945, 3.276424, 0
18.28590741109853, 12.30857, 0.00234697, 1.102519, 3.554181, 3.13691, 0
18.385830402416, 11.65189, 0.002249403, 1.056914, 3.397631, 3.003336, 0
18.48575339373349, 11.03025, 0.002155893, 1.013195, 3.247976, 2.87545, 0
18.58567638505096, 10.44178, 0.002066269, 0.971285, 3.104913, 2.75301, 0
18.68559937636844, 9.884694, 0.001980372, 0.9311085, 2.968151, 2.635783, 0
18.78552236768592, 9.357334, 0.001898045, 0.8925938, 2.837413, 2.523548, 0
18.8854453590034, 8.85811, 0.001819141, 0.8556722, 2.712434, 2.416092, 0
18.98536835032088, 8.38552, 0.001743517, 0.820278, 2.59296, 2.313212, 0
19.08529134163835, 9.33744, 0.001671037, 0.7863477, 2.478748, 2.214712, 0
19.18521433295583, 8.839276, 0.00160157, 0.753821, 2.369567, 2.120407, 0
19.28513732427331, 8.36769, 0.001534991, 0.7226397, 2.265195, 2.030117, 0
19.38506031559079, 7.921264, 0.00147118, 0.6927482, 2.16542, 1.943672, 0
19.48498330690827, 21.43659, 0.001410021, 0.6640931, 2.07004, 1.860908, 0
19.58490629822575, 20.29292, 0.001351405, 0.6366233, 1.978861, 1.781669, 0
19.68482928954322, 19.21027, 0.001295225, 0.6102899, 1.891698, 1.705803, 0
19.7847522808607, 18.18538, 0.001241381, 0.5850456, 8.985213, 1.633168, 0
