 , C04, C08, C10, C15, C16, C18, C20, C22, C25, C27, C28, C30, C32
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
5.895473419426252, 0.5813546, 0, 194.5558, 13.38897, 61.58083, 0, 154.2299, 80.25224, 350.3363, 136.7639, 313.002, 714.6248, 246.8476
5.995396697721612, 0.5565637, 0, 186.4461, 12.84131, 59.07678, 0, 147.9087, 76.79504, 336.2069, 131.122, 300.2927, 693.4123, 268.5511
6.095319976016973, 0.53283, 0, 178.6745, 12.31604, 56.67456, 0, 141.8466, 73.48676, 335.6138, 125.7128, 288.0995, 693.3735, 257.6211
6.195243254312333, 0.5101085, 0, 171.2269, 23.52874, 55.99028, 0, 138.171, 82.43056, 343.6069, 120.5267, 288.8626, 713.194, 255.6731
6.295166532607693, 0.4883558, 0, 176.7224, 22.56632, 53.71357, 0, 147.7772, 78.87951, 329.749, 146.2482, 306.4825, 690.8774, 284.6064
6.395089810903054, 0.4675306, 0, 169.3562, 21.64326, 53.58266, 0, 141.7205, 81.89567, 335.2261, 181.5075, 304.7123, 709.9323, 290.9012
6.495013089198413, 0.4475936, 0, 175.8058, 20.75795, 68.37184, 0, 135.912, 84.35046, 326.0398, 176.7746, 304.7497, 694.6249, 300.4621
6.594936367493774, 0.4285069, 0, 181.0462, 19.90886, 65.59166, 0, 130.3415, 80.71671, 312.8904, 209.6696, 337.6699, 706.5805, 292.6722
6.694859645789134, 0.410234, 0, 182.7799, 19.0945, 72.70821, 0, 131.7749, 77.23949, 339.236, 237.1801, 341.0222, 703.9012, 290.3423
6.794782924084494, 0.3927402, 0, 185.0962, 18.31346, 72.37628, 0, 148.9906, 89.88151, 334.4972, 241.835, 369.6785, 717.8088, 311.806
6.894706202379854, 0.3759925, 0, 210.9839, 19.11335, 87.99434, 0, 142.8841, 86.00948, 338.7122, 246.309, 359.1129, 746.3289, 322.6794
6.994629480675214, 0.359959, 0, 202.2572, 18.33153, 84.41625, 0, 138.5618, 82.30425, 342.0487, 266.2228, 373.2595, 719.0715, 350.421
7.094552758970575, 0.3446092, 0, 222.9085, 17.58169, 80.98366, 0, 141.5391, 78.75864, 333.5866, 298.323, 358.4791, 729.9019, 348.2433
7.194476037265935, 0.3299139, 0, 223.3747, 23.98755, 105.6228, 0, 135.738, 75.36578, 350.9762, 324.1034, 419.2397, 737.2397, 357.6398
7.294399315561295, 0.3158454, 0, 219.6336, 36.41725, 101.3279, 0, 163.3238, 72.11908, 375.0269, 359.7022, 428.1888, 747.1518, 380.3559
7.394322593856655, 0.3023767, 0, 210.4787, 39.12655, 112.9507, 0, 156.6299, 69.01225, 373.4098, 379.3159, 447.9822, 728.517, 390.7867
7.494245872152016, 0.2894824, 0, 211.3632, 37.5261, 109.4569, 0, 164.1309, 66.03925, 365.4099, 396.8356, 455.6438, 713.0592, 381.8553
7.594169150447375, 0.2771379, 0, 233.9942, 53.95222, 105.0061, 0, 157.4039, 63.19432, 378.1716, 411.9204, 470.8124, 732.1861, 399.892
7.694092428742736, 0.2653198, 0, 250.0602, 51.74534, 123.6734, 12.3509, 158.2155, 60.47196, 362.9196, 427.2074, 506.5037, 724.1723, 414.6248
7.794015707038096, 0.2540057, 0, 261.6732, 49.62873, 118.6445, 11.85147, 153.2246, 57.86687, 388.4053, 433.4212, 491.2602, 716.1024, 430.5247
7.893938985333456, 0.2431741, 0, 250.7659, 47.59871, 134.6973, 27.75533, 146.9446, 64.41449, 372.7406, 465.7254, 521.8661, 691.0142, 441.5787
7.993862263628817, 0.2328043, 0, 265.1559, 45.65171, 129.2201, 26.63298, 166.0297, 61.63956, 392.6291, 456.6112, 552.5004, 701.8604, 426.4756
8.093785541924177, 0.2228768, 0, 280.7011, 43.78436, 152.9082, 25.55602, 159.2248, 58.98417, 381.6882, 509.5486, 531.5949, 714.803, 428.8668
