 , C03, C05, C06, C07, C08, C10, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
148.9857152742794, 26.89595, 450.1053, 628.8394, 290.2427, 207.3854, 92.09333, 586.4661
149.085638624564, 25.65707, 431.8246, 616.935, 297.4311, 224.0041, 88.19234, 580.2386
149.1855619748486, 24.47526, 421.8098, 608.0637, 285.4601, 214.9231, 94.85454, 559.7639
149.2854853251331, 23.34788, 409.4482, 614.686, 291.0224, 206.2103, 94.11866, 550.9681
149.3854086754177, 22.27243, 411.1086, 623.2128, 285.1751, 199.2166, 90.13188, 563.8182
149.4853320257022, 21.24652, 415.7617, 613.7466, 280.3462, 197.6737, 86.31398, 556.5825
149.5852553759868, 20.26787, 417.4437, 604.9586, 284.9966, 189.6602, 82.6578, 547.6193
149.6851787262713, 19.33429, 415.3519, 593.4664, 277.2823, 196.2248, 84.69499, 562.8052
149.7851020765559, 18.44372, 398.4826, 604.0867, 286.53, 205.6154, 81.10739, 554.3625
149.8850254268405, 17.59417, 414.6151, 596.6384, 274.9977, 199.1856, 81.10989, 531.8058
149.984948777125, 16.78374, 410.4435, 600.7173, 279.2445, 191.1108, 92.04428, 546.286
150.0848721274096, 48.31877, 430.0765, 604.8803, 279.8719, 191.0418, 92.38876, 548.79
150.1847954776941, 50.24934, 454.1953, 596.7088, 298.0491, 191.6784, 98.67596, 551.2951
150.2847188279787, 71.37009, 480.6455, 597.6194, 288.6342, 195.6329, 94.49615, 580.7691
150.3846421782633, 70.68192, 480.328, 601.2488, 304.6383, 187.702, 95.98768, 594.6295
150.4845655285478, 103.5441, 499.7745, 615.26, 304.9184, 191.6757, 111.4129, 599.8495
150.5844888788324, 98.77462, 488.7444, 628.5072, 301.2205, 193.6403, 106.6936, 600.3406
150.684412229117, 127.2798, 522.4668, 616.5227, 308.5382, 189.6913, 102.1741, 597.2574
150.7843355794015, 121.4171, 545.7285, 629.7443, 324.1223, 183.3105, 120.5154, 629.9528
150.8842589296861, 142.3641, 562.4036, 617.952, 314.9102, 202.5937, 115.4104, 644.1426
150.9841822799706, 157.8229, 570.2916, 619.0291, 322.9315, 207.7858, 126.6267, 656.6526
151.0841056302552, 150.5533, 561.9685, 635.3629, 311.9367, 199.3623, 134.6821, 667.1027
151.1840289805398, 156.7571, 613.1696, 630.7709, 338.0947, 191.2802, 128.9771, 694.3001
151.2839523308243, 156.5542, 604.3142, 649.5554, 336.2097, 203.0868, 123.5137, 688.9653
151.3838756811089, 162.0914, 617.8694, 633.0452, 326.4716, 208.1515, 133.5444, 682.5298
151.4837990313934, 154.6252, 609.5637, 639.6668, 347.3559, 217.3188, 133.9019, 698.6672
151.583722381678, 173.726, 600.1351, 653.0015, 345.5138, 208.5088, 128.2299, 711.3321
151.6836457319625, 165.7238, 626.3341, 638.9936, 339.6302, 209.7346, 122.7982, 719.3954
151.7835690822471, 189.8286, 637.6837, 635.6065, 340.3197, 208.7293, 117.5966, 719.0195
151.8834924325317, 181.0847, 651.9644, 627.9039, 360.265, 200.2675, 123.5153, 736.7518
151.9834157828162, 201.9521, 643.5657, 648.614, 360.7395, 218.3719, 126.6493, 729.9744
152.0833391331008, 194.8545, 637.2294, 659.6636, 366.4632, 209.5192, 139.7641, 734.0716
152.1832624833854, 185.9783, 651.0956, 644.2809, 363.0253, 201.7827, 133.8438, 735.5196
152.2831858336699, 185.0961, 641.7412, 666.3311, 364.1956, 208.9503, 128.1743, 750.0595
152.3831091839545, 188.2961, 645.5364, 658.9317, 374.2821, 203.9533, 122.745, 757.2602
152.483032534239, 179.6228, 656.23, 670.7691, 359.2179, 214.1692, 117.5456, 755.2891
152.5829558845236, 175.7406, 672.4559, 661.5483, 372.4636, 220.0823, 118.1565, 752.9453
