 , C000, C001, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C015, C024, C025, C029, C037, C039, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
8.699999999999999, 54.99909, 141.3759, 321.3826, 0, 262.7456, 58.05427, 54.54521, 389.442, 458.8066, 327.45, 96.61554, 209.4378, 674.4289, 29.8052, 434.8862, 1421.869, 1000.004, 519.2524, 727.7377
8.800000000000001, 51.63778, 132.9567, 413.3745, 0, 248.091, 53.19627, 51.01031, 366.8669, 429.3713, 309.0823, 91.82689, 197.4783, 642.9079, 27.90944, 538.8882, 1341.664, 998.0861, 490.2957, 735.7271
8.9, 48.4819, 125.0389, 402.726, 0, 234.2537, 48.74479, 47.70449, 345.6005, 401.8245, 322.5039, 87.27558, 186.2018, 673.8637, 26.13425, 509.7086, 1265.984, 935.1877, 462.9537, 698.2552
9, 45.51889, 117.5926, 382.0317, 0, 221.1882, 44.66581, 44.61292, 325.5668, 376.045, 304.4137, 82.94986, 175.5691, 642.3691, 24.47198, 547.1882, 1194.573, 876.2531, 437.1366, 847.0943
9.1, 42.73697, 110.5898, 362.4008, 0, 208.8515, 40.92816, 41.72169, 314.807, 351.9194, 287.3382, 273.0644, 165.5436, 612.3466, 55.58336, 517.5591, 1294.03, 957.6899, 412.7591, 803.9504
9.199999999999999, 40.12507, 104.004, 395.0245, 0, 197.2028, 37.50328, 39.01785, 296.5583, 412.0404, 271.2206, 259.5302, 156.0906, 583.7271, 52.04797, 489.5343, 1221.037, 920.8155, 389.7411, 763.0039
9.300000000000001, 37.67279, 97.81036, 374.7259, 33.04034, 186.2038, 34.36499, 56.41449, 389.3704, 455.348, 256.007, 463.8197, 147.1774, 556.4453, 48.73745, 463.027, 1152.161, 933.1096, 368.0067, 806.8278
9.4, 35.57722, 91.98558, 355.4704, 81.8533, 325.42, 31.48932, 196.1992, 736.3036, 426.1346, 241.6468, 440.831, 138.7732, 581.5157, 45.63749, 437.9551, 1087.17, 874.3058, 347.4843, 765.7347
9.5, 33.4029, 86.50768, 337.2043, 127.4824, 307.2697, 28.85428, 183.4841, 693.6218, 398.7954, 242.1373, 418.9816, 130.8489, 554.3372, 42.73471, 414.2407, 1025.846, 819.2079, 328.1064, 726.7346
9.6, 31.36145, 81.35599, 354.6356, 121.6122, 290.1318, 26.43974, 171.5931, 960.6777, 373.2102, 228.5551, 398.2153, 123.377, 547.0594, 40.01656, 391.8104, 967.9799, 767.5823, 309.8092, 689.7208
9.699999999999999, 29.44477, 76.51109, 336.4124, 116.0122, 312.9856, 24.22726, 160.4727, 921.008, 349.2665, 446.0558, 378.4781, 116.3319, 606.8753, 37.4713, 370.5947, 913.3784, 719.21, 292.5323, 754.3928
9.800000000000001, 27.64524, 111.8897, 396.3936, 110.6702, 295.5288, 22.19991, 150.073, 948.2122, 375.7009, 421.0352, 359.7193, 109.689, 578.5116, 35.08793, 350.5278, 1025.211, 888.8197, 276.2189, 956.8166
9.9, 25.95568, 105.2265, 376.0247, 105.5741, 279.0457, 20.34222, 140.3472, 893.2464, 351.5974, 397.4181, 341.8902, 103.4255, 551.4735, 32.85616, 331.5474, 1006.52, 832.8071, 260.8152, 969.4074
10, 125.582, 98.96009, 375.4928, 100.7127, 264.8394, 74.8117, 131.2518, 841.4669, 586.7183, 421.4006, 324.9448, 97.51958, 525.6992, 30.76633, 483.929, 949.7448, 780.3245, 246.2705, 1076.68
10.1, 117.9069, 110.7228, 356.1978, 96.07514, 250.068, 68.55143, 122.7457, 792.6889, 549.0767, 397.763, 308.8392, 91.95095, 501.1294, 28.80944, 646.7094, 896.1718, 731.1492, 232.5369, 1222.124
10.2, 110.701, 104.129, 337.8944, 91.65113, 278.5678, 62.81503, 114.791, 793.3505, 526.0106, 375.4512, 293.5319, 86.7003, 477.7079, 26.97701, 611.6913, 932.3959, 685.0729, 219.5692, 1159.879
10.3, 103.9354, 97.92795, 320.5315, 87.43083, 263.0307, 57.55864, 107.3517, 747.3617, 518.1139, 354.3911, 278.9833, 81.74947, 455.3812, 25.26113, 695.4116, 879.8016, 641.9002, 334.3095, 1297.244
10.4, 100.3435, 92.09617, 304.0607, 83.40487, 248.3602, 52.74212, 100.3946, 704.0388, 511.4612, 334.5122, 265.1558, 77.08136, 434.0978, 23.65439, 657.7565, 962.1061, 601.4482, 369.5151, 1231.174
10.5, 94.2109, 86.61167, 288.4364, 79.56429, 234.5079, 65.3176, 93.88836, 663.2272, 571.3545, 315.7484, 252.0136, 72.6798, 413.8093, 22.14985, 622.1403, 907.8358, 563.5455, 348.9087, 1292.044
10.6, 144.3069, 81.4538, 273.6149, 75.90057, 367.7717, 107.712, 87.80376, 624.7814, 618.6569, 298.0372, 239.5228, 68.52958, 394.4689, 20.741, 588.4526, 915.9752, 528.0314, 329.4514, 1226.238
10.7, 135.4875, 76.60307, 259.555, 72.40554, 347.2592, 98.69866, 82.11348, 588.5642, 578.9663, 281.3194, 227.6511, 64.61636, 470.4282, 19.42177, 556.5891, 896.7812, 494.7554, 311.0791, 1247.383
10.8, 127.207, 72.04122, 246.2176, 69.07146, 331.7296, 90.43952, 76.79196, 554.4465, 541.822, 265.5393, 216.3678, 60.92658, 473.8282, 18.18644, 526.451, 846.1959, 463.5764, 293.7314, 1183.851
10.9, 119.4327, 135.2617, 233.5656, 65.8909, 313.2274, 95.0251, 71.81532, 522.3064, 608.2859, 250.6444, 205.6438, 57.44751, 451.6828, 17.02969, 570.4424, 940.8656, 434.3622, 277.351, 1123.556
11, 112.1335, 127.2066, 221.5637, 62.8568, 295.7572, 285.2363, 67.1612, 492.0295, 569.2607, 236.585, 195.4513, 54.1671, 430.5723, 15.94652, 539.5541, 887.7935, 406.9892, 261.8842, 1265.974
11.1, 105.2803, 119.6312, 210.1785, 59.96241, 279.2614, 619.4551, 62.8087, 463.5076, 532.7391, 223.3143, 185.7639, 51.07401, 410.4485, 14.93223, 586.5755, 837.715, 381.3411, 247.2799, 1201.496
11.2, 98.84605, 112.507, 199.3783, 57.20129, 263.6856, 682.9203, 58.73827, 436.6391, 498.5605, 210.7879, 176.5568, 48.15754, 435.3826, 13.98247, 590.0246, 790.4614, 357.3094, 233.4901, 1140.302
11.3, 92.80501, 105.807, 189.1331, 54.56732, 248.9786, 625.7733, 85.83054, 411.3281, 466.5748, 198.9642, 167.8059, 45.40761, 529.8982, 13.09311, 558.0759, 906.319, 334.7921, 220.4692, 1082.225
11.4, 94.909, 99.50599, 179.4144, 52.05464, 235.0918, 573.4083, 114.9406, 387.4843, 436.6412, 187.8037, 159.4888, 42.81471, 505.1322, 12.26032, 527.8572, 855.1956, 313.6938, 208.1745, 1189.341
11.5, 160.2518, 93.58023, 170.1951, 49.65766, 221.9796, 574.0782, 190.9344, 365.0227, 408.6279, 177.2692, 151.5839, 40.36988, 481.5237, 11.4805, 499.2749, 868.9064, 293.9251, 196.5654, 1128.766
