 , C000, C001, C002, C003, C004, C005, C006, C007, C010, C012, C014, C015, C018, C019, C020, C023, C024, C026, C035, C050, C058, C085, C089, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
256.5, 90.11814, 179.6865, 37.85561, 10.00514, 413.1933, 32.49536, 13.976, 148.7123, 239.655, 396.9722, 366.3389, 144.7126, 375.535, 998.2438, 724.7321, 3.395509, 1590.339, 318.5121, 63.92406, 1305.827, 823.6108, 558.6306, 502.399, 725.8433
256.6, 85.35342, 168.8836, 35.7436, 9.313407, 568.152, 30.5095, 13.27872, 140.1441, 229.1839, 379.4036, 394.5047, 136.9276, 357.8973, 1045.458, 681.2598, 3.205478, 1842.083, 396.4834, 59.91047, 1247.711, 933.6461, 529.6569, 474.0409, 757.0395
256.7, 80.84061, 158.7302, 33.74942, 8.669497, 542.5023, 133.8827, 12.61623, 132.0696, 219.1702, 362.6125, 374.5987, 129.5615, 341.088, 989.4995, 694.9157, 220.6831, 1761.682, 374.7677, 56.14887, 1263.665, 885.1679, 502.1859, 760.9979, 770.5292
256.8, 76.56641, 149.1873, 31.86649, 8.070107, 518.0106, 125.7009, 11.98679, 124.4603, 209.5941, 346.5645, 355.6971, 122.5916, 447.7151, 936.5365, 653.2319, 208.3325, 1764.097, 354.2414, 52.62345, 1270.124, 839.2069, 476.1397, 1100.966, 736.8327
256.9, 72.5182, 140.2181, 74.94773, 7.512156, 494.6246, 118.019, 11.38875, 117.2894, 200.4364, 331.2268, 383.8427, 115.9966, 538.2778, 886.4084, 614.0485, 196.6731, 1718.135, 334.8393, 49.31938, 1213.597, 992.53, 451.4444, 1038.822, 704.6098
257, 68.68402, 131.7881, 70.7663, 6.992782, 472.2944, 175.0647, 10.82055, 110.5317, 191.6788, 316.5678, 380.3815, 109.7564, 512.9966, 990.3912, 692.092, 224.3098, 1873.736, 316.4999, 46.22277, 1342.866, 940.9944, 428.0299, 980.1854, 673.7961
257.1, 65.05257, 123.8649, 66.81816, 6.509316, 534.6403, 167.7612, 10.2807, 104.1633, 183.3039, 302.5576, 361.1881, 103.852, 488.9027, 970.5182, 701.373, 211.7562, 1791.953, 299.165, 43.32058, 1323.6, 1039.629, 405.8299, 924.8585, 683.1585
257.2, 61.61311, 116.4181, 63.09029, 6.059276, 510.5035, 157.5089, 9.767785, 98.16187, 175.2948, 289.1675, 342.9632, 98.26514, 465.9405, 1016.798, 659.3019, 209.7592, 1745.476, 282.7795, 40.60061, 1328.594, 1095.544, 384.7813, 872.6545, 653.2829
257.3, 58.3555, 109.4189, 59.5704, 5.64035, 487.4564, 147.8832, 9.280458, 92.5062, 167.6358, 276.37, 325.6579, 92.97886, 444.0568, 962.3738, 670.7599, 254.9223, 1769.51, 267.2914, 38.05142, 1389.137, 1165.383, 364.8243, 823.3972, 693.2267
257.4, 55.27013, 102.8406, 82.46028, 5.250389, 465.4498, 138.8458, 8.817445, 87.17639, 160.3113, 264.1388, 309.2257, 87.97696, 534.1207, 972.1763, 705.3441, 240.6555, 1692.276, 252.6517, 35.66228, 1327.313, 1104.873, 345.9025, 776.9202, 662.9108
