 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C016, C018, C022, C023, C024, C038, C072, C083, C128, C130
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
339.6, 382.5707, 34.40998, 481.282, 759.9604, 187.7691, 518.4363, 218.7901, 2.521296, 293.99, 100.0512, 1625.078, 378.0992, 570.8853, 363.1128, 279.896, 78.88763, 605.6671, 370.9991, 73.03777, 36.0874, 47.47025
339.7, 363.8905, 32.57036, 499.0093, 815.3904, 175.6193, 487.1598, 206.4105, 2.3937, 413.2905, 94.49567, 1554.017, 358.7112, 547.1758, 764.8284, 267.3262, 74.18137, 577.0263, 351.8228, 69.3284, 34.4733, 45.41224
339.8, 373.0973, 30.82909, 477.17, 775.2086, 382.3497, 457.7702, 225.2516, 2.272562, 394.5576, 89.24862, 1486.063, 427.5586, 555.5871, 722.0618, 255.3209, 69.75588, 549.7399, 333.6378, 65.80742, 32.93139, 43.44344
339.9, 437.5711, 29.18091, 456.2865, 737.007, 357.6093, 430.1537, 355.441, 2.157554, 381.0978, 84.29292, 1479.45, 405.6346, 537.4659, 844.3971, 243.8547, 65.59441, 523.7437, 411.6293, 62.46526, 31.45845, 41.56
340, 416.2052, 27.62084, 436.317, 700.6879, 334.4698, 485.5705, 335.3294, 2.048366, 411.8099, 79.61239, 1598.871, 384.8347, 515.1444, 970.9481, 232.9035, 61.68119, 498.9769, 390.353, 59.29284, 30.05139, 473.6085
340.1, 395.8826, 26.14418, 417.2214, 666.1586, 312.8276, 456.2768, 316.3557, 1.944704, 393.1442, 93.53444, 1594.885, 393.887, 493.7499, 916.6559, 222.4441, 58.00143, 475.3813, 434.8269, 56.28154, 28.70727, 453.0757
340.2, 376.5523, 24.74647, 398.9616, 688.5563, 420.6928, 444.8499, 301.492, 1.846288, 524.8035, 88.34076, 1623.783, 373.6895, 541.2563, 865.3996, 212.4544, 54.54119, 452.9014, 412.3515, 53.42317, 27.42326, 618.8401
340.3, 485.0758, 23.42347, 381.5009, 654.6248, 425.825, 418.0128, 284.433, 1.752852, 593.1714, 83.43547, 1578.336, 354.5278, 557.9789, 817.0093, 202.9133, 51.28739, 431.4846, 391.0378, 50.70997, 26.19668, 592.011
340.4, 496.9161, 22.17121, 364.8044, 669.1055, 398.2715, 392.7947, 268.3391, 1.664145, 634.158, 78.80256, 1647.137, 336.3485, 534.8054, 788.0645, 193.8007, 48.2277, 411.0805, 370.8258, 48.13456, 25.02497, 566.345
340.5, 593.3538, 20.9859, 348.8387, 636.1326, 372.5009, 393.7372, 253.1559, 1.579927, 685.1816, 74.4269, 1580.395, 319.1015, 512.5944, 743.9985, 185.0974, 53.86407, 391.6413, 462.1192, 45.68995, 486.9972, 541.7918
340.6, 564.3813, 19.86395, 442.3819, 604.7845, 415.0433, 369.9837, 238.8318, 1.499971, 654.125, 70.2942, 1634.949, 302.7388, 491.3058, 702.3966, 176.7849, 50.65067, 373.1213, 528.1558, 43.3695, 587.9211, 518.303
340.7, 634.7955, 18.80199, 423.0209, 728.293, 388.1875, 347.6631, 225.3182, 1.424062, 624.4761, 66.39098, 1563.456, 294.6713, 482.1451, 663.1209, 168.8457, 47.62896, 355.4771, 500.8564, 41.16689, 561.6249, 495.8326
340.8, 814.988, 17.7968, 404.5073, 710.0834, 380.1969, 447.6977, 212.5692, 1.351994, 596.171, 62.70449, 1503.499, 279.5614, 462.1211, 626.0414, 161.263, 182.3351, 338.6673, 483.6604, 39.07615, 536.5048, 474.3364
340.9, 797.4491, 16.84535, 386.8039, 675.0911, 451.3313, 478.9102, 200.5416, 1.283573, 569.1489, 59.2227, 1672.666, 265.2262, 482.6163, 591.0352, 154.0209, 171.4574, 420.9734, 458.6609, 37.09159, 575.981, 582.5518
