 , C000, C001, C003, C004, C005, C006, C008, C009, C010, C011, C013, C014, C015, C016, C017, C019, C020, C023, C024, C025, C031, C032, C033, C034, C040, C043, C051, C056, C063, C107, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
415.9, 192.1791, 273.1517, 88.1167, 1057.901, 750.5585, 644.3526, 1516.083, 49.67693, 2904.308, 1020.851, 2508.766, 316.3553, 1445.856, 1107.411, 94.95959, 1389.578, 936.7855, 908.8749, 1923.761, 0.4255806, 9.078421e-05, 144.7968, 19.70828, 1840.62, 109.568, 51.18762, 627.9657, 60.18259, 2832.452, 9.592515e-09, 72.59929
416, 178.0663, 257.3759, 83.88571, 1045.867, 715.5751, 600.6223, 1566.46, 46.91512, 2758.07, 973.415, 2547.598, 318.3433, 1436.438, 1041.627, 90.07903, 1316.141, 934.5872, 852.5634, 1833.325, 0.4056516, 8.672688e-05, 135.9486, 18.63984, 1761.054, 103.9092, 48.65381, 596.5206, 57.30162, 2695.416, 9.149046e-09, 67.98238
416.1, 164.9899, 320.4826, 79.85788, 1099.627, 747.1794, 593.0931, 1595.514, 44.30685, 2724.085, 928.1829, 2479.438, 384.5228, 1371.823, 979.7507, 85.44931, 1264.46, 886.45, 799.7407, 1747.14, 0.3866559, 8.285087e-05, 127.6411, 17.62932, 1873.53, 98.54271, 46.24543, 566.6501, 54.55855, 2619.505, 8.726079e-09, 63.65908
416.2, 171.995, 330.7121, 76.02345, 1039.78, 712.3535, 573.0449, 1585.678, 41.84359, 2714.904, 928.9348, 2614.81, 361.1591, 1470.164, 921.5504, 81.05754, 1197.635, 840.7922, 798.1401, 1752.958, 0.3685497, 7.914809e-05, 119.8413, 16.67358, 1809.861, 93.45335, 43.95626, 538.2754, 51.9468, 2681.302, 8.322666e-09, 59.61072
416.3, 159.3644, 311.6119, 72.37312, 983.1908, 679.1508, 547.0264, 1506.117, 39.51728, 2818.009, 885.7696, 2509.482, 339.2149, 1516.275, 866.8073, 76.89149, 1387.117, 926.7793, 748.6893, 1770.568, 0.3512914, 7.56108e-05, 112.5181, 15.76966, 1918.565, 88.62683, 41.7804, 557.6184, 49.46008, 2652.78, 7.937904e-09, 55.81981
416.4, 147.6614, 293.6148, 68.89808, 986.6392, 647.4957, 509.9013, 1484.642, 37.3203, 2726.098, 860.2694, 2412.381, 415.8993, 1448.069, 815.3161, 72.93957, 1340.018, 939.6551, 764.9191, 1865.205, 0.3348412, 7.22316e-05, 105.6424, 14.91474, 1809.701, 84.04959, 39.71225, 529.6959, 47.09239, 2680.566, 7.570928e-09, 52.26999
416.5, 136.8178, 276.6572, 65.58989, 932.9419, 635.6398, 520.3846, 1410.15, 35.24546, 2676.5, 820.2949, 2603.239, 390.6291, 1533.165, 766.8837, 69.19075, 1286.192, 891.2568, 762.7286, 1911.99, 0.3191614, 6.900341e-05, 99.18681, 14.10617, 1766.717, 79.70875, 37.74648, 503.1717, 44.83805, 2671.429, 7.220919e-09, 48.94591
416.6, 126.7705, 336.7802, 62.44054, 939.7352, 637.3639, 485.0676, 1409.641, 33.28597, 2582.781, 782.1779, 2484.618, 366.8943, 1491.484, 721.3283, 65.63461, 1271.015, 867.6389, 732.145, 2006.911, 0.3042158, 6.591951e-05, 93.12574, 13.34144, 1809.987, 103.4188, 35.87801, 477.9756, 42.69162, 2778.256, 6.88709e-09, 45.83322
416.7, 147.4705, 317.3295, 59.44242, 888.5906, 607.6565, 474.44, 1399.406, 31.43542, 2465.157, 900.7709, 2622.858, 377.7219, 1539.772, 678.4791, 62.26124, 1276.208, 822.95, 686.7831, 2009.12, 0.28997, 6.297343e-05, 87.43505, 12.61816, 1751.03, 98.07758, 34.10203, 454.0412, 40.64795, 2728.711, 6.568695e-09, 42.91848
416.8, 138.7645, 299.0022, 56.58825, 892.0562, 593.1247, 534.29, 1464.844, 29.68775, 2434.457, 867.253, 2561.837, 426.949, 1470.509, 638.1752, 59.06125, 1208.762, 780.5627, 700.3287, 1999.984, 0.2763914, 6.015901e-05, 82.09211, 11.93409, 1744.612, 93.01225, 32.41397, 431.3053, 38.70211, 2706.155, 6.26502e-09, 40.18911
