 , C01, C02, C04, C05, C10, C12, C13, C43, C52, C55, C62
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
251.7, 9.262124, 289.7842, 2.754752, 0.003869189, 29.19128, 307.8155, 666.3891, 2498.169, 790.5812, 2680.5, 2686.582
251.8, 8.753384, 275.3472, 2.594676, 0.003638172, 27.89234, 290.1159, 632.8771, 2536.031, 751.0699, 2583.469, 2669.858
251.9, 8.272587, 261.6295, 2.443902, 0.003420948, 26.65119, 394.1159, 660.7793, 2424.434, 713.5332, 2414.866, 2530.442
252, 7.818199, 248.5951, 2.30189, 0.003216694, 25.46527, 1195.32, 626.9101, 2454.281, 677.8725, 2380.45, 2496.501
252.1, 7.388769, 236.2102, 2.168129, 0.003024635, 24.33213, 2119.891, 594.7769, 2377.217, 904.9731, 2507.186, 2527.818
252.2, 6.982926, 280.8363, 2.042141, 0.002844043, 23.2494, 2531.205, 564.2908, 2251.969, 859.7448, 2823.359, 2520.236
252.3, 6.599375, 266.8451, 1.923475, 0.002674234, 22.21486, 3093.659, 535.3672, 2301.399, 816.7768, 2883.391, 2492.059
252.4, 6.236891, 253.5509, 1.811704, 0.002514564, 21.22635, 2980.563, 507.9261, 2180.146, 775.9562, 2991.02, 2624.591
252.5, 5.894317, 240.9191, 1.706428, 0.002364427, 20.28182, 3090.153, 481.8916, 2141.165, 737.1758, 2795.82, 2810.637
252.6, 5.57056, 228.9165, 1.607269, 0.002223254, 19.37933, 3170.185, 457.1916, 2113.195, 700.3335, 2821.433, 2712.095
252.7, 59.45308, 217.5119, 1.513872, 0.00209051, 18.51699, 3175.271, 433.7575, 2078.657, 665.3325, 2846.308, 2570.474
252.8, 171.3765, 206.6755, 1.425903, 0.001965692, 81.66574, 2992.691, 411.5247, 1969.139, 632.0808, 2660.553, 2496.832
252.9, 187.2586, 196.379, 1.343045, 0.001848327, 236.8107, 2852.164, 390.4314, 1951.198, 600.4909, 2669.232, 2615.966
253, 176.9731, 186.5954, 1.265002, 0.001737969, 226.2731, 2964.856, 370.4192, 1848.396, 570.4798, 2680.78, 2479.364
253.1, 253.1281, 177.2992, 1.191494, 0.0016342, 375.5376, 2878.345, 351.4328, 1898.508, 541.9686, 2505.827, 2511.404
253.2, 404.6265, 168.4662, 1.122258, 0.001536627, 410.7606, 2908.027, 333.4196, 1964.207, 514.8823, 2342.292, 2424.298
253.3, 475.7107, 160.0733, 1.057045, 0.00144488, 392.4827, 2759.118, 316.3297, 1860.719, 489.1497, 2395.75, 2297.706
253.4, 1444.78, 152.0984, 0.9956209, 0.001358611, 395.4648, 2639.699, 300.1158, 1839.128, 464.7032, 2346.332, 2177.723
253.5, 2458.005, 144.5209, 0.9377664, 0.001277492, 410.89, 2647.845, 284.7329, 1813.953, 441.4784, 2337.708, 2164.255
253.6, 2445.204, 137.3209, 0.8832738, 77.01242, 392.6064, 2649.078, 270.1385, 1718.382, 419.4144, 2185.145, 2051.241
253.7, 2518.719, 130.4796, 0.8319477, 72.41425, 440.6599, 2567.365, 256.2921, 1696.217, 398.453, 2192.54, 1944.129
253.8, 2380.373, 123.9791, 0.7836041, 68.09061, 421.0515, 2460.597, 243.1555, 1606.849, 378.5393, 2049.45, 1842.609
253.9, 2249.626, 117.8025, 0.7380698, 64.02513, 407.9969, 2419.235, 230.6922, 1571.68, 359.6208, 2011.953, 2009.884
254, 2126.061, 111.9336, 0.6951813, 60.20239, 389.842, 2280.128, 218.8678, 1488.873, 341.6478, 1880.649, 1904.931
254.1, 2025.187, 106.3571, 0.6547851, 56.60789, 372.4949, 2253.365, 207.6494, 1518.9, 324.5731, 1830.318, 1805.459
254.2, 2204.135, 101.0584, 0.6167362, 53.228, 355.9198, 2244.908, 197.006, 1468.335, 308.3517, 1710.868, 1863.469
254.3, 2147.723, 96.02368, 0.5808983, 50.04992, 340.0822, 2124.867, 186.9082, 1390.973, 292.941, 1978.487, 2327.774
254.4, 2124.598, 91.2398, 0.547143, 47.0616, 324.9493, 2131.67, 177.3279, 1339.486, 278.3005, 1849.367, 2384.759
254.5, 2052.939, 86.69425, 0.5153491, 44.25169, 310.4898, 2045.419, 168.2387, 1268.912, 264.3918, 1892.223, 2392.425
254.6, 2134.699, 82.37516, 0.4854027, 41.60956, 296.6737, 2075.83, 159.6154, 1202.058, 251.1781, 1768.733, 2267.497
254.7, 2131.038, 78.27124, 0.4571965, 91.31535, 297.5125, 2161.098, 151.4341, 1328.868, 238.6248, 1800.26, 2149.092
254.8, 2013.986, 74.37178, 0.4306293, 216.2892, 284.2739, 2087.016, 143.6721, 1258.855, 226.6989, 1682.771, 2211.992
254.9, 1903.364, 70.66659, 0.4056059, 203.3753, 271.6244, 1967.012, 136.308, 1222.954, 215.369, 1806.755, 2212.714
255, 1798.818, 67.14599, 0.3820366, 244.976, 354.9799, 1853.907, 129.3213, 1158.521, 204.6054, 1827.725, 2134.259
255.1, 1866.562, 63.80079, 0.3598368, 230.3492, 444.633, 1752.905, 122.6927, 1152.646, 194.3797, 1708.444, 2120.748
255.2, 1764.037, 60.62224, 0.3389271, 216.5958, 502.673, 1890.624, 116.4039, 1091.917, 184.6651, 1596.948, 2010.006
255.3, 1667.144, 57.60205, 0.3192324, 218.3832, 682.4059, 1781.912, 110.4375, 1034.387, 175.436, 1492.728, 1905.047
255.4, 1575.573, 54.73233, 0.3006822, 205.3442, 1084.745, 1742.556, 104.7768, 979.889, 166.6681, 1395.31, 1876.655
255.5, 1656.882, 52.00557, 0.2832099, 193.0837, 1422.313, 1694.664, 99.40636, 928.2618, 523.6738, 1304.249, 1835.737
255.6, 1651.237, 49.41467, 0.2667528, 186.8409, 1416.148, 1631.408, 94.31113, 910.0751, 497.5018, 1219.131, 1865.14
