 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C019, C020, C024, C037, C040, C041, C051, C052, C062, C074, C084, C088, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
378, 5141.668, 805.9376, 3187.743, 1643.764, 219.9967, 151.1598, 817.5287, 286.3067, 443.9737, 1170.582, 323.3914, 721.9974, 9.530047, 488.8846, 170.8301, 187.3212, 233.3563, 946.032, 29.81844, 279.9466, 2354.07, 98.6241, 3395.708, 3476.214, 19.06395, 831.5159, 1150.791, 134.5483, 3.590435, 31.05578
378.1, 4798.717, 775.7775, 3039.572, 1566.165, 204.6667, 143.4773, 775.1575, 271.8102, 422.0025, 1151.262, 306.3382, 686.8542, 9.092761, 553.7034, 161.6725, 176.2598, 219.5803, 890.444, 28.31917, 264.3949, 2580.649, 93.62926, 3458.168, 3338.09, 18.15214, 783.8784, 1086.479, 128.801, 3.424848, 29.76542
378.2, 4648.365, 736.8492, 3213.954, 1568.36, 242.5398, 136.1852, 734.9822, 258.0478, 401.1186, 1096.028, 290.1843, 942.2216, 8.675539, 546.0764, 153.0058, 165.8516, 206.6176, 838.1222, 26.89528, 249.7072, 2460.45, 88.8874, 3512.364, 3228.206, 17.28395, 738.97, 1025.762, 123.2993, 3.266898, 28.52867
378.3, 4338.317, 903.811, 3144.883, 1557.314, 252.3351, 129.2637, 696.8892, 244.9821, 381.2682, 1144.882, 274.8822, 907.7697, 8.277462, 516.5026, 144.8037, 156.058, 194.4201, 788.8748, 25.54298, 235.8353, 2345.849, 84.38568, 3353.455, 3130.19, 16.45728, 696.6345, 968.4382, 118.0325, 3.116233, 27.34331
378.4, 4202.991, 932.7599, 3249.662, 1583.636, 234.7516, 122.694, 660.7705, 232.578, 362.4001, 1089.953, 260.387, 1249.719, 7.89765, 488.5305, 137.0412, 146.8427, 182.9426, 742.5212, 24.25867, 222.7341, 2346.181, 80.11195, 3244.432, 3014.622, 15.67015, 656.7243, 914.3177, 112.9907, 2.972516, 26.2072
378.5, 3922.65, 885.9543, 3148.678, 1508.875, 218.3934, 116.4582, 626.5237, 220.802, 344.4658, 1092.495, 246.6562, 1399.87, 7.535266, 478.1543, 129.6949, 138.1716, 172.1428, 698.8912, 23.03895, 210.3607, 2236.903, 76.05467, 3204.171, 2874.715, 14.92067, 619.1006, 863.2217, 108.1643, 2.835427, 25.1183
378.6, 3661.008, 876.2224, 3002.323, 1493.914, 240.7384, 110.5393, 594.0519, 209.6222, 327.4189, 1142.528, 233.6495, 1331.732, 7.18951, 452.259, 122.7424, 130.0125, 161.9805, 657.825, 21.88055, 198.6747, 2132.714, 72.20287, 3059.205, 2741.3, 14.20704, 583.6323, 814.9812, 103.5441, 2.704661, 24.07464
378.7, 3416.817, 976.9055, 2862.771, 1537.482, 223.963, 104.9212, 581.7618, 199.0085, 311.2158, 1087.712, 221.3286, 1266.91, 6.85962, 434.2046, 116.1626, 122.3352, 152.4181, 619.1717, 20.78039, 187.6378, 2033.378, 68.54614, 3202.297, 2614.077, 13.52753, 550.196, 769.4365, 99.12115, 2.579925, 23.07435
378.8, 3284.216, 927.8848, 3021.689, 1464.9, 208.3566, 99.58873, 551.61, 188.9321, 295.8144, 1035.527, 209.6574, 1205.243, 6.544866, 410.6895, 109.9355, 115.1112, 143.4202, 582.7897, 19.73555, 177.2141, 2104.282, 65.07461, 3057.417, 2544.21, 12.88053, 518.6754, 726.4371, 94.88718, 2.460942, 22.11561
378.9, 3075.381, 881.3239, 2908.212, 1395.744, 193.8377, 94.52723, 523.0209, 179.366, 370.7116, 985.8452, 198.6017, 1369.798, 6.244554, 388.4479, 104.0422, 108.3139, 134.9535, 730.0186, 18.74324, 335.3369, 2006.271, 61.77889, 2919.091, 2547.628, 12.26447, 488.9605, 685.8406, 90.83405, 2.347447, 21.19672
