 , C01, C02, C05, C13, C15, C18, C21, C22, C23, C33, C42, C45, C46, C53, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
229.1, 140.4508, 2.578082, 996.9554, 247.818, 36.81195, 8.383862, 1242.636, 701.5555, 76.55252, 485.351, 198.2752, 171.5117, 451.2396, 24.81624, 1057.044
229.2, 132.4805, 2.450459, 941.342, 235.5969, 63.98256, 8.005146, 1190.588, 657.038, 71.69534, 458.4018, 184.8589, 159.214, 427.5647, 23.7435, 1009.934
229.3, 124.9625, 2.329153, 888.8309, 223.9785, 60.14736, 7.643538, 1128.798, 615.3454, 67.14633, 432.949, 172.3503, 147.7981, 405.1319, 22.71713, 1055.557
229.4, 117.8712, 2.213853, 839.249, 212.9331, 56.54205, 7.298265, 1179.182, 576.2984, 62.88596, 408.9095, 160.6882, 282.7213, 383.8761, 21.73513, 1043.932
229.5, 111.1823, 2.10426, 899.54, 202.4324, 53.15285, 6.968588, 1142.926, 539.7291, 58.8959, 386.2047, 149.8151, 262.4497, 363.7355, 20.79558, 1114.892
229.6, 104.8729, 2.000093, 1070.944, 192.4495, 49.9668, 6.653804, 1083.61, 655.6961, 55.15901, 441.5726, 139.6778, 243.6317, 344.6516, 19.89664, 1091.319
229.7, 136.2928, 1.901082, 1199.746, 182.9589, 46.97173, 6.353239, 1027.372, 614.0886, 51.65922, 417.0542, 148.5567, 226.1629, 326.569, 19.03656, 1042.681
229.8, 128.5585, 1.806972, 1385.485, 173.9363, 44.15619, 6.066251, 1118.283, 575.1214, 48.38149, 462.2202, 138.5046, 209.9466, 309.4351, 18.21367, 1237.342
229.9, 190.3818, 1.717521, 1308.199, 165.3587, 41.50941, 5.792227, 1151.343, 538.6268, 45.31173, 436.5554, 129.1326, 194.8931, 293.2001, 17.42634, 1182.196
230, 179.5781, 1.632499, 1262.396, 157.2041, 39.02129, 5.530581, 1155.666, 504.4481, 42.43674, 412.3156, 120.3948, 180.919, 277.817, 16.67304, 1129.509
230.1, 188.6716, 1.551685, 1191.976, 149.4516, 36.6823, 5.280754, 1095.688, 472.4381, 39.74417, 389.4217, 112.2482, 167.9468, 263.2409, 15.95231, 1079.169
230.2, 191.81, 1.474872, 1125.484, 142.0814, 34.48352, 5.042212, 1133.511, 442.4594, 37.22243, 437.8788, 104.6529, 155.9047, 249.4296, 15.26274, 1169.311
230.3, 180.9252, 1.401861, 1062.701, 135.0747, 32.41653, 4.814446, 1179.106, 414.3829, 34.86071, 660.8875, 97.57154, 144.7261, 334.9846, 14.60297, 1216.268
230.4, 182.6914, 1.332464, 1028.83, 128.4135, 30.47344, 4.596968, 1117.912, 388.0881, 32.64883, 624.1916, 90.96932, 134.349, 317.4091, 13.97172, 1637.898
230.5, 172.3241, 1.266503, 1072.131, 122.0808, 28.64683, 4.389314, 1059.894, 363.4618, 30.57729, 589.5333, 84.81385, 124.716, 300.7558, 13.36776, 1627.22
230.6, 162.5451, 1.203807, 1057.754, 116.0605, 26.9297, 4.191041, 1019.952, 340.3982, 28.63719, 556.7994, 79.07489, 115.7737, 322.606, 12.78991, 1554.698
230.7, 153.321, 1.144215, 1131.541, 110.337, 25.3155, 4.001723, 979.5071, 318.7981, 26.82018, 525.883, 73.72426, 107.4725, 305.68, 12.23704, 1485.409
230.8, 144.6204, 1.087573, 1068.42, 242.5714, 23.79806, 3.820958, 928.6722, 298.5686, 25.11847, 496.6833, 68.73568, 672.5001, 829.4716, 11.70806, 1489.802
