 , C000, C001, C002, C003, C004, C005, C008, C009, C012, C013, C015, C018, C020, C021, C022, C023, C027, C031, C032, C066, C081
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
6.5, 0, 42.22403, 5.322351, 307.7712, 0.6106843, 442.2404, 3.814697e-06, 158.1067, 60.77434, 216.4761, 463.6075, 1.60289, 376.2332, 47.22126, 129.6039, 76.7431, 843.0172, 344.7288, 100.284, 1190.607, 903.9489
6.6, -1.192093e-07, 40.0328, 5.021779, 294.5967, 0.5711759, 439.4644, 3.814697e-06, 150.7133, 57.39165, 205.5883, 437.7606, 1.517517, 362.3882, 45.09672, 123.9162, 73.31004, 806.0291, 378.3021, 95.59524, 1139.954, 921.6353
6.7, -1.192093e-07, 37.95528, 4.738181, 315.0742, 0.5342236, 460.9868, 5.722046e-06, 143.6656, 54.19723, 195.2481, 413.3547, 1.436692, 347.493, 43.06776, 118.4782, 70.03055, 770.6639, 359.4678, 91.12572, 1119.828, 957.8807
6.8, -1.192093e-07, 35.98557, 4.4706, 301.587, 0.4996619, 436.6211, 3.814697e-06, 136.9475, 51.18061, 246.4722, 390.3094, 1.360171, 333.21, 41.1301, 113.2788, 66.89777, 871.2912, 398.0759, 86.86518, 1268.439, 941.0398
6.9, -1.192093e-07, 34.11809, 4.218129, 288.6772, 0.4673362, 478.2941, 4.768372e-06, 130.5435, 48.33191, 234.0757, 368.549, 1.287726, 319.5141, 39.27961, 108.3076, 63.90512, 833.0626, 378.2571, 82.80385, 1214.475, 1071.31
7, -5.960464e-08, 32.34751, 3.979917, 325.3634, 0.4371018, 453.0137, 3.814697e-06, 124.439, 45.64175, 288.5661, 498.6262, 1.219139, 356.6875, 37.51237, 236.6698, 61.04636, 923.8389, 359.425, 78.9324, 1162.806, 1051.29
7.1, -5.960464e-08, 30.66882, 3.755157, 311.4358, 0.4088234, 429.0695, 3.814697e-06, 118.62, 43.10134, 381.792, 470.8269, 1.154206, 375.8372, 35.82465, 317.5948, 58.31548, 1040.401, 451.8824, 75.24195, 1239.044, 1003.14
7.2, -1.192093e-07, 29.07725, 3.54309, 298.1044, 0.3823745, 406.3909, 3.814697e-06, 113.0731, 40.70232, 362.5895, 444.5775, 1.092731, 360.3892, 34.21286, 303.6573, 55.70676, 994.7527, 429.3848, 71.72405, 1186.33, 957.1965
7.3, -1.192093e-07, 46.68242, 3.342999, 285.3436, 0.3576367, 384.9109, 3.814697e-06, 107.7855, 38.43683, 344.3528, 472.3955, 1.03453, 345.5761, 32.67358, 290.3314, 53.21474, 1097.74, 408.0072, 68.37062, 1167.594, 913.3567
7.4, -1.192093e-07, 69.01632, 3.154208, 273.1291, 0.3344994, 364.5663, 4.768372e-06, 102.7452, 36.29744, 327.0334, 446.0586, 0.9794295, 341.1862, 31.20356, 277.5903, 50.83421, 1049.576, 387.694, 65.17398, 1117.92, 871.5248
