 , C000, C002, C003, C004, C005, C010, C015, C017, C018, C019, C021, C022, C024, C027, C030, C060, C075
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
266.5, 200.6596, 196.2139, 278.1101, 23.89976, 208.1365, 14.58119, 1025.601, 459.4533, 360.7764, 312.1183, 0.09030177, 1079.797, 76.12169, 522.7413, 642.4895, 444.3109, 968.1655
266.6, 187.8165, 187.0792, 258.1706, 22.65412, 195.2709, 13.76396, 969.6232, 434.4794, 345.1041, 628.8003, 0.08512068, 1113.268, 71.08488, 493.9585, 608.5114, 419.6965, 918.5447
266.7, 175.7954, 178.3697, 239.6606, 21.47339, 183.2006, 12.99253, 916.701, 410.8629, 330.1125, 598.8734, 0.08023686, 1060.228, 156.5485, 466.7604, 621.4386, 396.4458, 871.4671
266.8, 164.5437, 170.0657, 222.4778, 20.35421, 171.8764, 12.26434, 1137.126, 388.5302, 315.7722, 674.0163, 0.07563325, 1009.714, 146.19, 441.0599, 630.4085, 374.4831, 826.8024
266.9, 154.0121, 162.1483, 206.527, 19.29335, 161.2522, 11.57696, 1075.062, 367.4113, 302.0549, 641.9374, 0.07129377, 961.6068, 136.5169, 416.7746, 597.0693, 353.7371, 1024.18
267, 144.1546, 154.5995, 201.2253, 18.28779, 151.2847, 10.92811, 1016.385, 347.4404, 288.9334, 611.3853, 0.06720328, 1056.859, 127.4839, 393.8264, 565.4932, 334.1405, 971.6882
267.1, 250.9044, 283.4053, 310.5024, 17.33464, 141.9334, 10.31562, 960.9101, 328.5551, 276.382, 582.2872, 0.06334747, 1044.595, 119.0486, 527.2659, 729.6378, 315.6295, 921.8868
267.2, 234.8454, 270.2114, 288.2404, 16.43117, 133.16, 9.73746, 908.4635, 310.6962, 264.3758, 828.55, 0.0597129, 1059.246, 172.9213, 498.2339, 691.0508, 298.1439, 874.6379
267.3, 219.8142, 257.6317, 267.5746, 15.57478, 124.929, 9.191705, 858.8794, 293.8081, 252.8911, 789.1163, 0.05628686, 1086.939, 182.3681, 470.8004, 746.4019, 281.6271, 829.8107
267.4, 205.7451, 245.6377, 248.3905, 14.76303, 117.2068, 8.676538, 812.0016, 574.6195, 241.9054, 830.0258, 0.05305738, 1208.933, 170.3012, 444.8775, 706.9283, 266.0252, 903.63
267.5, 192.5764, 234.202, 283.5789, 13.99358, 109.9619, 8.190244, 767.6825, 543.3856, 231.3968, 838.4871, 0.0500132, 1224.607, 281.3539, 420.3819, 669.5424, 251.2877, 911.5231
267.6, 180.2507, 223.2988, 299.8884, 13.26424, 103.1648, 7.731205, 725.7823, 513.8495, 480.866, 798.5804, 0.04714368, 1166.262, 262.7373, 397.2351, 634.1335, 237.3667, 864.8054
267.7, 168.7138, 212.9031, 299.6418, 12.57292, 96.78784, 7.297895, 686.169, 485.9188, 627.78, 866.7122, 0.0444388, 1161.427, 245.3525, 375.3628, 600.5973, 224.2168, 1027.443
267.8, 157.9153, 202.9914, 410.6929, 11.91762, 90.80509, 6.88887, 648.7178, 459.5063, 1128.267, 937.3856, 0.04188911, 1106.092, 229.1181, 354.6948, 636.7654, 211.7954, 1142.738
267.9, 147.808, 193.5411, 381.2477, 11.29648, 85.19215, 6.50277, 613.3107, 434.5295, 1104.129, 892.772, 0.03948572, 1105.344, 213.9578, 358.1537, 615.87, 200.0622, 1084.17
268, 138.3476, 184.5308, 353.9135, 10.70771, 79.92616, 6.138309, 579.8361, 410.9104, 1113.4, 850.2817, 0.03722021, 1199.964, 199.8007, 338.4333, 668.5446, 188.9789, 1028.603
268.1, 129.4927, 175.94, 336.3272, 10.14963, 74.98568, 5.794276, 548.1885, 508.9772, 1178.607, 809.8137, 0.03508469, 1142.793, 186.5803, 347.7612, 633.1885, 178.5097, 975.8849
268.2, 121.2046, 167.7491, 407.3863, 9.620636, 136.6031, 5.469524, 518.2683, 481.3114, 1127.407, 771.2717, 0.0330717, 1088.345, 174.2346, 486.5808, 599.7022, 168.6205, 925.8685
268.3, 113.447, 159.9395, 454.1219, 300.3478, 227.1482, 5.162974, 489.9811, 455.1494, 1228.27, 734.5641, 0.0311742, 1064.366, 162.7059, 505.2877, 567.9869, 159.2791, 878.4156
268.4, 218.1793, 152.4936, 421.563, 330.4582, 213.1074, 4.873605, 463.2379, 430.4094, 1368.325, 699.6035, 0.02938558, 1060.377, 151.94, 606.5129, 537.9489, 150.4552, 833.3947
268.5, 238.5888, 145.3942, 695.0817, 392.0117, 199.9346, 4.600454, 437.9543, 510.123, 1683.517, 666.3068, 0.02769957, 1086.34, 141.8865, 615.9827, 509.4994, 142.1201, 790.6813
268.6, 223.318, 138.6254, 645.2468, 371.5802, 187.576, 4.342613, 414.0507, 482.3949, 2062.127, 634.5948, 0.0261103, 1034.582, 132.4981, 695.4338, 482.5544, 134.2468, 750.157
268.7, 209.0246, 132.1717, 647.2816, 352.2136, 175.9814, 4.099223, 391.4517, 456.174, 2518.842, 604.3922, 145.5278, 1243.884, 123.731, 657.1423, 457.0345, 126.8097, 711.7097
268.8, 195.6461, 126.0184, 600.8738, 333.8563, 165.1035, 3.869474, 370.0862, 431.3783, 2769.251, 575.6269, 137.1781, 1184.62, 115.544, 620.9591, 432.8641, 119.7845, 675.2328
268.9, 183.1238, 120.1517, 736.8567, 316.4559, 154.8979, 3.652601, 349.8868, 473.3333, 2995.994, 548.2307, 129.3075, 1128.18, 107.8987, 652.9717, 409.9721, 113.1486, 640.6255
269, 171.4031, 114.558, 753.342, 354.959, 145.3232, 3.447884, 330.79, 447.6049, 2865.846, 718.143, 121.8884, 1074.428, 100.7593, 654.9438, 388.2906, 106.8803, 607.792
269.1, 219.7209, 109.2248, 699.3301, 336.4586, 136.3403, 3.254641, 312.7354, 607.782, 2853.648, 740.1995, 154.0452, 1151.86, 94.09224, 618.8817, 488.0453, 261.9606, 576.6412
269.2, 230.8996, 104.1398, 649.1906, 357.4761, 127.9127, 3.072228, 295.6663, 733.623, 2937.026, 745.8035, 145.2068, 1286.177, 87.86636, 635.8646, 603.1277, 414.7762, 547.087
269.3, 224.658, 99.29157, 602.6459, 338.8446, 120.006, 2.900039, 279.5287, 765.9487, 2921.653, 999.5007, 246.5761, 1304.73, 154.923, 600.853, 891.3195, 391.7981, 519.0475
269.4, 210.2788, 94.66905, 559.4384, 321.1841, 112.5881, 2.737501, 264.272, 724.3149, 2995.694, 951.9308, 232.4287, 1325.548, 144.6721, 567.7692, 882.8077, 456.6306, 492.4451
