 , C000, C002, C003, C005, C006, C009, C010, C011, C012, C014, C015, C020, C022, C023, C026, C027, C028, C030, C031, C032, C040, C043, C044, C045, C058, C061, C083, C095, C099, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
378.7, 1.066656, 436.1229, 9.07332, 11.47115, 471.0598, 1182.046, 132.3738, 0.07351895, 172.6886, 1530.281, 69.73532, 465.1532, 565.6865, 619.4393, 671.7451, 707.6099, 626.3644, 840.4914, 879.6795, 63.79759, 977.993, 1104.146, 969.0034, 369.3618, 1787.261, 836.9513, 364.6333, 1275.983, 1498.164, 711.2614
378.8, 0.9966617, 409.7192, 8.488026, 10.81098, 448.1944, 1215.59, 124.5077, 0.06975106, 163.4702, 1596.1, 66.31307, 437.21, 553.5928, 584.9608, 665.5767, 671.8773, 636.4757, 786.1189, 903.7525, 59.8099, 929.3531, 1051.826, 908.1752, 374.3738, 1785.071, 866.5228, 538.0417, 1325.406, 1477.341, 817.7945
378.9, 0.9312604, 384.9141, 7.940487, 10.1888, 426.4388, 1179.856, 235.1221, 0.06617628, 154.7439, 1505.657, 63.05877, 410.9454, 724.0107, 559.801, 706.5157, 637.9491, 593.6514, 735.2639, 861.7012, 56.07146, 883.1322, 1170.577, 851.1655, 395.8978, 1811.027, 857.4658, 512.3772, 1250.062, 1437.473, 769.384
379, 0.8701507, 361.6107, 7.428268, 9.602421, 405.7393, 1119.026, 418.3549, 0.06278471, 146.4834, 1483.734, 59.96417, 386.2586, 913.1174, 528.642, 681.2566, 720.5708, 580.9149, 687.6987, 940.1547, 52.56669, 839.2101, 1305.054, 797.7344, 369.0988, 1779.945, 981.2179, 487.9368, 1246.353, 1469.218, 723.8392
379.1, 0.8130512, 339.7182, 6.949092, 9.049792, 449.9359, 1089.837, 393.4948, 0.05956696, 138.6638, 1458.934, 57.02144, 514.7299, 874.2719, 562.7001, 671.1118, 699.871, 551.2906, 643.2106, 896.4095, 49.28099, 820.7103, 1243.214, 747.6575, 1046.769, 1652.488, 934.4951, 464.6623, 1323.483, 1395.654, 844.9879
379.2, 0.7596985, 319.1511, 6.500825, 8.528968, 428.0958, 1033.648, 370.1119, 0.05651411, 131.2617, 1492.592, 54.22313, 675.8984, 866.0417, 892.3376, 639.0097, 664.5292, 562.6817, 601.6005, 973.4575, 46.20066, 779.8927, 1402.87, 700.7241, 1671.27, 1651.81, 1006.837, 577.5129, 1248.248, 1325.774, 794.9677
379.3, 0.7098467, 299.8291, 6.081475, 8.038117, 407.3159, 993.4888, 348.1185, 0.05361773, 124.2547, 1440.032, 51.56213, 635.295, 904.3394, 1128.539, 662.2646, 630.972, 524.8225, 562.6821, 960.5299, 43.31287, 758.0486, 1428.324, 656.7369, 1762.721, 1679.968, 1029.175, 549.9656, 1177.289, 1329.608, 793.5978
379.4, 0.6632664, 281.6769, 5.689177, 7.575516, 432.0323, 942.2672, 327.4321, 0.0508698, 117.6218, 1361.825, 49.03173, 597.1309, 1240.669, 1065.724, 630.5858, 655.6158, 489.5106, 526.2815, 915.8367, 233.5297, 828.3611, 1510.118, 615.5109, 1643.4, 1652.016, 1082.229, 523.7323, 1110.365, 1426.543, 812.5997
379.5, 0.6197426, 264.6237, 5.322184, 7.139537, 443.4968, 911.9005, 307.9749, 0.04826269, 111.3429, 1350.93, 46.62551, 644.0961, 1250.671, 1006.405, 638.1247, 622.5088, 456.5746, 492.2357, 1047.71, 296.3674, 787.163, 1438.561, 821.9703, 1570.187, 1608.465, 1089.614, 498.7503, 1047.245, 1481.844, 764.4968
379.6, 0.5790749, 248.6029, 4.978865, 62.97202, 421.9693, 930.0645, 289.6739, 0.0457892, 105.3993, 1274.38, 44.33737, 662.8699, 1197.465, 950.3871, 607.6005, 591.0736, 473.0402, 460.3923, 1017.12, 301.8184, 748.0139, 1625.95, 812.9333, 1497.216, 1531.269, 1101.417, 474.96, 987.7124, 1407.648, 719.2413
