 , C00, C01, C03, C05, C07, C08, C09, C11, C12, C13, C18, C19, C21, C24, C25, C26, C33, C35, C36, C38, C54, C58, C63
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
319, 65.57841, 41.75851, 34.72626, 373.0568, 81.79868, 25.78067, 25.27814, 1575.379, 113.1032, 395.4623, 20.11249, 532.8545, 365.6811, 270.162, 82.91325, 58.26652, 409.9199, 3.527135, 406.0571, 526.7006, 319.2717, 1086.75, 333.7051
319.1, 62.59204, 39.91713, 32.3193, 494.5848, 103.6996, 23.97192, 23.58235, 1541.689, 107.3662, 442.6285, 19.07631, 494.6032, 349.6132, 255.27, 255.3738, 54.64606, 376.2448, 3.361817, 382.644, 500.7457, 302.8887, 1034.926, 317.1375
319.2, 59.74166, 38.15695, 30.07917, 458.4235, 98.5225, 36.26573, 22.00031, 1442.075, 101.9202, 422.7114, 18.09351, 556.027, 334.2513, 241.1989, 243.1417, 51.25057, 345.3362, 3.204247, 360.5809, 489.3977, 287.3463, 999.1091, 326.7751
319.3, 57.02108, 36.47439, 27.99431, 424.9061, 93.60382, 33.72135, 20.52441, 1554.954, 96.75044, 403.6905, 17.16134, 516.1122, 319.5645, 227.9034, 231.4954, 48.06606, 319.1234, 3.054063, 339.79, 505.96, 272.6015, 1018.484, 310.5515
319.4, 54.4244, 34.86602, 26.05396, 393.8393, 155.0077, 31.35548, 19.14752, 1454.482, 106.7867, 511.0892, 16.2772, 551.9412, 310.7914, 215.3408, 220.407, 79.80271, 292.9073, 2.910918, 320.1978, 481.0272, 258.6133, 969.9154, 295.1333
319.5, 51.94596, 33.32858, 24.2481, 365.0439, 147.269, 29.15561, 17.863, 1360.503, 101.3701, 511.2182, 69.17388, 517.6276, 297.1353, 203.4707, 209.8498, 74.84408, 383.3541, 2.774482, 301.7354, 549.6534, 245.3429, 923.6631, 280.4807
319.6, 49.58039, 31.85893, 22.5674, 420.7824, 139.9167, 27.11007, 16.66466, 1272.595, 96.22823, 488.2148, 65.61008, 480.4694, 284.0793, 283.2591, 199.7982, 70.19356, 351.8614, 2.644442, 284.3375, 522.5674, 232.7535, 879.6165, 266.5555
319.7, 47.32255, 30.45408, 21.0032, 390.0172, 132.9314, 25.20804, 15.5467, 1251.501, 91.34718, 466.2464, 62.22989, 445.9786, 271.597, 293.7437, 190.2281, 65.832, 322.9559, 2.520496, 267.9427, 496.8162, 220.8101, 949.2697, 253.3216
319.8, 45.16753, 29.11119, 19.54742, 361.5013, 169.3913, 23.43946, 14.50374, 1244.321, 86.71371, 445.2666, 93.76332, 413.9637, 259.6631, 277.5518, 181.1163, 61.74146, 296.425, 2.402359, 252.4932, 583.4767, 309.6081, 1079.101, 240.7448
319.9, 55.83883, 27.8275, 18.19254, 335.0703, 160.9345, 21.79497, 13.53075, 1297.691, 82.31528, 461.9494, 88.93269, 384.2471, 248.2536, 262.2525, 172.4411, 57.90508, 272.0736, 2.28976, 237.9346, 554.724, 293.7209, 1059.179, 228.7924
320, 53.29599, 26.60043, 16.93157, 471.2743, 152.8999, 20.26585, 12.62304, 1246.625, 78.13995, 441.1629, 84.35094, 356.6637, 237.3455, 247.7965, 164.1813, 54.30709, 249.7227, 2.182438, 224.2154, 527.3882, 282.2092, 1008.67, 257.2672
320.1, 50.86894, 25.42746, 15.758, 436.8173, 145.2665, 18.84401, 11.77621, 1166.075, 74.1764, 527.054, 80.00523, 331.0604, 226.9166, 234.1374, 156.3172, 50.93266, 229.2079, 2.080147, 211.2872, 534.8236, 267.728, 960.5695, 244.4945
320.2, 48.55242, 24.30622, 14.66578, 404.8796, 203.3228, 17.52193, 10.9862, 1144.312, 152.2182, 523.439, 75.88341, 307.295, 298.8922, 221.2311, 148.8298, 47.7679, 210.3784, 62.23967, 199.1045, 577.1135, 253.9899, 914.7628, 232.356
320.3, 46.34139, 23.23441, 13.64926, 427.0617, 193.172, 28.42706, 10.24919, 1070.374, 158.5958, 499.8857, 71.97394, 374.6914, 285.759, 209.0363, 141.701, 44.79979, 193.0957, 59.32247, 187.6242, 548.6743, 240.9567, 1013.475, 294.96
320.4, 44.23105, 22.20987, 12.7032, 395.8373, 183.528, 26.43263, 9.561616, 1028.881, 232.2282, 518.3315, 68.26588, 347.794, 273.2029, 197.5137, 134.9137, 42.0161, 177.2329, 56.54201, 201.8001, 521.6366, 246.5493, 977.0883, 280.3159
320.5, 42.21681, 21.23051, 11.82271, 366.8958, 189.0558, 24.57814, 8.920171, 970.0844, 220.4487, 495.0079, 106.9821, 322.8274, 261.1985, 186.6263, 128.4514, 39.40538, 162.6731, 53.89186, 254.9791, 586.1183, 233.898, 1057.08, 266.3989
320.6, 40.2943, 20.29433, 11.00325, 340.0704, 200.5866, 22.85375, 8.321757, 1011.403, 209.2668, 506.5032, 195.176, 299.653, 249.7215, 255.4916, 122.2988, 36.95689, 175.4806, 51.36593, 283.793, 557.2354, 368.6734, 1006.671, 253.1728
320.7, 89.03394, 19.39944, 10.24059, 315.2064, 196.0136, 21.25035, 7.763488, 946.0519, 198.652, 483.7119, 185.1206, 278.1422, 238.7489, 355.4916, 116.4408, 34.66053, 257.2874, 166.6562, 304.1326, 782.7519, 349.7554, 997.9871, 240.6034
