 , C00, C01, C02, C03, C05, C07, C10, C11, C12, C15, C18, C22, C25, C47
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
372.1, 211.9253, 723.6976, 20.68559, 0.1238728, 328.7657, 1229.983, 13.05417, 125.8849, 2.265507, 205.2652, 69.33834, 1127.37, 616.3182, 919.1131
372.2, 245.0107, 683.3996, 19.67775, 92.90997, 311.2851, 1351.649, 12.48809, 118.5338, 2.103737, 192.0893, 64.56371, 1133.054, 676.2494, 901.9578
372.3, 232.6495, 645.3455, 18.71902, 87.4104, 294.734, 1271.051, 11.94657, 170.1595, 1.953519, 179.7592, 60.11786, 1194.264, 638.0787, 847.6024
372.4, 220.9119, 693.8994, 17.807, 82.23637, 279.0629, 1325.859, 11.42852, 160.2229, 1.814026, 293.7956, 55.97815, 1114.206, 602.0625, 796.5226
372.5, 209.7666, 759.5522, 16.93941, 77.3686, 264.225, 1302.915, 10.93294, 289.4485, 1.684495, 274.937, 52.1235, 1094.594, 568.0793, 785.7498
372.6, 199.1835, 824.6068, 16.1141, 115.566, 250.1761, 1225.223, 10.45885, 272.546, 1.564212, 257.2888, 48.53429, 1093.38, 536.0142, 762.0076
372.7, 189.1344, 778.6898, 15.32899, 108.7254, 242.0197, 1215.589, 10.00532, 256.6304, 1.452519, 596.3492, 60.00768, 1087.894, 505.7591, 716.0861
372.8, 179.5923, 735.3297, 14.58214, 102.2897, 229.1514, 1143.105, 9.571454, 314.9774, 1.348801, 1019.776, 124.1787, 1014.967, 559.1832, 787.116
372.9, 170.5316, 694.3839, 13.87167, 96.23491, 216.9673, 1125.891, 9.156403, 296.5841, 1.252489, 1083.109, 115.6278, 946.9286, 527.6202, 783.2964
373, 219.4238, 655.7182, 13.19582, 91.69292, 205.4311, 1276.841, 8.75935, 279.2649, 1.163054, 1194.25, 123.2573, 883.4512, 501.3967, 874.2913
