 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
94.3, 2.927529, 229.1962, 253.9103, 672.4353, 214.7556, 434.3718, 424.0016, 10.56349, 29.65173, 668.3389, 28.78432, 4.700478, 717.8395, 138.9935, 200.6078, 2.708306, 552.8752, 726.211, 1613.094, 3.889788, 290.2119, 709.1087, 2186.201, 179.9743, 2186.497, 1041.283
94.40000000000001, 2.799959, 217.8959, 277.6466, 676.3947, 204.8359, 412.0685, 471.281, 10.0093, 27.99925, 635.5145, 27.39855, 4.490621, 706.2114, 131.8768, 190.7878, 2.561065, 565.4373, 682.848, 1772.821, 3.707665, 433.3454, 669.9421, 2091.105, 171.0091, 2176.78, 995.3538
94.5, 2.677947, 207.1527, 304.1335, 645.9268, 195.3744, 390.9103, 474.7988, 9.484184, 26.43887, 633.5159, 26.0795, 4.290133, 694.7354, 125.1245, 181.4485, 2.421829, 553.0963, 642.0742, 1767.665, 3.53407, 403.948, 632.9388, 2000.145, 162.4906, 2407.009, 951.4501
94.59999999999999, 2.561253, 196.9392, 287.8731, 644.3915, 186.35, 490.5546, 455.3096, 8.986616, 24.96545, 602.4017, 24.82396, 4.098596, 714.4128, 118.7179, 172.5664, 2.290162, 648.4231, 603.7351, 1702.884, 3.368603, 376.5449, 597.9794, 2140.5, 154.3963, 2386.958, 1000.29
94.7, 2.449643, 187.2293, 359.4852, 615.3652, 177.7424, 465.3665, 431.0648, 8.515152, 23.57414, 572.8156, 23.62886, 3.915611, 727.4499, 112.6393, 164.119, 2.165654, 616.7666, 625.7269, 1731.058, 3.210882, 351.0007, 564.9509, 2197.609, 146.7053, 2321.67, 1162.427
94.8, 2.342897, 177.9981, 340.2655, 587.6464, 169.5323, 441.4716, 408.1111, 8.068422, 22.26037, 544.6826, 22.49129, 3.740795, 828.8837, 106.872, 194.0751, 2.047915, 586.6556, 588.364, 1677.369, 3.060547, 393.8272, 533.7466, 2102.017, 139.3974, 2317.833, 1111.153
94.90000000000001, 2.240803, 282.6667, 457.6987, 561.1761, 161.7015, 476.2673, 386.3796, 7.645129, 21.01981, 517.9313, 21.40849, 3.573783, 877.952, 101.4, 184.5749, 1.936577, 558.0146, 652.1121, 1924.762, 2.91725, 648.8828, 504.2659, 2010.583, 132.4535, 2381.403, 1135.06
95, 2.143157, 354.4917, 433.228, 535.8982, 154.2325, 451.8128, 365.8053, 7.244043, 19.84839, 492.4939, 20.37782, 3.414229, 833.7238, 96.20815, 175.5397, 1.831292, 530.772, 632.6772, 1840.36, 2.780663, 1554.6, 476.4135, 1999.993, 125.8555, 2581.599, 1084.994
95.09999999999999, 2.049767, 337.0138, 603.1264, 530.8215, 147.1084, 428.614, 346.3265, 6.863999, 18.74225, 468.5663, 19.39677, 3.261797, 791.7236, 91.28213, 166.9468, 1.731731, 504.8593, 594.8992, 1753.079, 2.65047, 1926.829, 450.0995, 2087.246, 119.5862, 2472.206, 1090.357
95.2, 1.960446, 320.3976, 570.8805, 506.9109, 140.3134, 418.8384, 327.885, 6.503894, 17.69776, 492.9025, 18.46295, 3.116172, 751.8392, 86.60833, 158.7746, 1.637583, 696.8467, 559.377, 1710.453, 2.526373, 1878.695, 425.239, 2091.068, 113.6292, 2638.572, 1042.263
