 , C09, C12, C15, C19, C21, C24, C25, C29, C34, C37, C39, C45, C57, C63, C72, C92
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
8.1, 0, 637.3362, 2663.128, 14.19593, 208.278, 1574.64, 489.7142, 0, 770.28, 1349.942, 1453.433, 1528.425, 1026.372, 998.2726, 950.0938, 677.49
8.199999999999999, 0, 602.7059, 2622.933, 13.31227, 195.0136, 1521.947, 568.4893, 0, 741.5645, 1269.082, 1430.344, 1507.756, 1043.429, 947.5098, 896.5696, 643.139
8.300000000000001, 0, 569.9574, 2585.132, 12.48362, 182.594, 1510.92, 534.0419, 0, 716.7705, 1193.066, 1385.476, 1539.131, 1126.782, 916.4301, 846.0609, 610.5297
8.4, 0, 547.176, 2461.272, 11.70655, 170.9654, 1539.335, 501.6819, 0, 846.8824, 1296.977, 1321.728, 1442.515, 1100.101, 927.5658, 798.3975, 579.5739
8.5, 0, 517.4447, 2838.687, 10.97785, 160.0773, 1465.435, 471.2827, 0, 791.5388, 1301.774, 1484.492, 1410.856, 1040.573, 880.3985, 753.4193, 550.1876
8.6, 0, 489.3289, 3322.951, 10.2945, 149.8826, 1395.083, 442.7255, 0, 739.8118, 1223.799, 1416.188, 1583.979, 1005.402, 835.6296, 710.9749, 522.2912
8.699999999999999, 0, 462.7408, 3163.741, 9.653699, 140.3372, 1376.341, 415.8988, 0, 691.4653, 1320.163, 1351.027, 1567.848, 1005.221, 793.1373, 670.9217, 495.8094
8.800000000000001, 0, 437.5974, 3069.104, 9.052782, 131.3997, 1375.204, 411.9014, 0, 646.2781, 1241.087, 1487.005, 1469.429, 1007.567, 752.8058, 633.1249, 470.6702
8.9, 0, 413.8202, 3061.527, 8.489271, 123.0314, 1309.184, 484.899, 0, 604.044, 1166.748, 1418.586, 1377.189, 953.0463, 714.5251, 597.4574, 446.8056
9, 0, 427.0831, 3102.353, 7.960838, 115.1961, 1246.333, 1222.529, 0, 564.5698, 1206.343, 1353.315, 1290.738, 1050.589, 678.1911, 563.7993, 424.1511
9.1, 0, 403.8771, 2994.827, 7.465297, 107.8597, 1186.499, 1282.82, 0, 527.6753, 1201.236, 1291.047, 1209.714, 993.7401, 643.7047, 532.0372, 402.6453
9.199999999999999, 0, 417.017, 2851.339, 7.000603, 100.9906, 1280.384, 1205.089, 0, 493.1918, 1191.707, 1338.032, 1133.776, 939.9676, 610.9718, 502.0646, 588.1309
9.300000000000001, 0, 394.358, 2714.725, 67.62825, 94.55892, 1227.139, 1199.457, 0, 460.9618, 1120.326, 1299.632, 1062.606, 889.1047, 579.9035, 473.7805, 558.3107
9.4, 0, 372.9302, 2942.286, 63.41858, 140.4555, 1168.226, 1194.737, 0, 430.838, 1053.22, 1393.155, 1250.337, 840.9941, 550.415, 715.6068, 570.4985
9.5, 0, 442.3871, 2860.807, 120.485, 175.1328, 1217.498, 1142.05, 0, 402.6829, 1091.662, 1425.02, 1171.85, 795.4868, 522.4261, 1154.769, 541.5723
9.6, 0, 449.3065, 2723.74, 112.9852, 194.9026, 1221.378, 1072.848, 0, 376.3676, 1026.273, 1376.767, 1098.289, 752.442, 562.2271, 1136.338, 618.9012
9.699999999999999, 0, 450.1838, 2593.24, 105.9522, 182.4901, 1162.742, 1044.323, 0, 351.7721, 1182.797, 1413.489, 1029.346, 711.7264, 596.4695, 1072.321, 587.5209
9.800000000000001, 0, 425.7227, 2725.279, 99.35692, 170.8681, 1145.452, 1072.259, 0, 328.7838, 1111.949, 1348.453, 1115.574, 673.2139, 640.1237, 1106.534, 652.8911
9.9, 0, 402.5906, 2661.524, 93.17222, 192.4607, 1090.462, 1074.436, 0, 307.2979, 1235.304, 1286.408, 1152.237, 636.7854, 607.5729, 1044.196, 619.7873
10, 0, 445.5029, 2534.004, 87.3725, 193.9182, 1038.111, 1009.331, 0, 287.216, 1255.507, 1311.899, 1079.908, 602.3282, 576.6775, 1595.179, 645.2473
