 , C00, C01, C02, C03, C04, C05, C06, C09, C10, C11, C14, C15, C16, C17, C18, C21, C29, C32, C33, C34, C37, C39, C53, C58, C67, C68, C71, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
214.8, 70.58001, 100.7869, 1069.072, 261.25, 359.4939, 1313.541, 480.7267, 1597.443, 652.8477, 154.9371, 1139.295, 11.17564, 68.32923, 14.9822, 167.599, 1498.463, 1176.974, 0.1406696, 1259.349, 441.9984, 222.289, 5.092808, 144.853, 1913.18, 740.3069, 1995.447, 369.0482, 601.8837
214.9, 65.45732, 95.04977, 1091.423, 270.2294, 337.8482, 1253.173, 450.2075, 1741.811, 618.6014, 146.9103, 1087.364, 10.63693, 64.8682, 14.23418, 275.5219, 1424.132, 1112.883, 0.1341436, 1305.213, 419.8325, 211.3867, 4.87567, 137.2176, 1888.854, 839.0905, 2042.603, 352.6295, 568.3154
215, 60.70644, 127.1739, 1105.237, 310.168, 317.5059, 1257.608, 495.6003, 1724.748, 586.1517, 139.2993, 1124.721, 10.12419, 61.58249, 13.5235, 258.1175, 1353.488, 1052.282, 0.1279204, 1235.596, 398.7781, 201.019, 4.667791, 129.9847, 1962.489, 796.9353, 2029.378, 336.9413, 536.6192
215.1, 56.30037, 119.9348, 1052.585, 296.034, 298.3883, 1199.81, 503.1644, 1711.497, 641.7002, 132.0826, 1109.669, 9.636169, 58.4632, 12.84831, 241.8124, 1286.348, 1079.848, 0.1219859, 1245.676, 413.8659, 191.1599, 4.468774, 123.133, 1893.55, 756.898, 2107.088, 321.951, 506.6908
215.2, 54.01952, 113.1078, 1033.032, 320.6735, 280.4219, 1255.465, 562.0073, 1631.262, 608.0388, 125.2397, 1059.088, 9.17167, 55.50191, 12.20683, 294.5859, 1310.222, 1021.046, 0.1163266, 1179.235, 404.9396, 181.7842, 4.278243, 116.6425, 1899.49, 718.8721, 2192.683, 307.6276, 478.4316
215.3, 50.09879, 106.6694, 1143.465, 330.132, 263.5373, 1227.839, 526.3279, 1584.803, 576.1431, 118.7514, 1010.812, 8.729562, 52.69061, 11.59737, 318.844, 1253.46, 1009.155, 0.11093, 1192.211, 403.4478, 172.8685, 4.095836, 110.4941, 1804.783, 682.7567, 2061.949, 293.9414, 567.6428
215.4, 46.46263, 170.3804, 1124.028, 384.5468, 323.7224, 1197.591, 492.9137, 1521.579, 545.9205, 112.5992, 964.7375, 8.308764, 50.02172, 11.01834, 298.7029, 1254.326, 1071.141, 0.1057837, 1128.622, 383.2152, 164.39, 3.921205, 104.6698, 1714.799, 648.4556, 2018.974, 280.8642, 575.6431
215.5, 43.09038, 160.6818, 1119.4, 367.0235, 304.2305, 1232.133, 461.6208, 1532.046, 583.4198, 106.7658, 958.9039, 7.908251, 47.48801, 10.46823, 279.8342, 1192.105, 1012.813, 0.1008761, 1068.424, 419.5485, 156.3273, 3.75402, 99.15251, 1676.388, 615.8777, 1898.597, 268.3687, 543.5383
215.6, 39.96288, 151.5353, 1066.073, 350.2986, 365.7949, 1175.506, 432.3145, 1629.982, 552.8156, 101.2346, 951.6162, 7.527044, 45.08263, 9.945575, 262.1573, 1132.971, 957.6617, 0.09619623, 1011.438, 442.6043, 148.6601, 3.593964, 93.92604, 1624.069, 584.9366, 1875.826, 256.4292, 513.224
215.7, 37.06238, 142.9095, 1015.286, 334.3359, 515.7695, 1121.483, 524.3968, 1553.568, 523.8167, 95.98988, 936.0126, 7.164213, 42.7991, 9.449018, 262.4501, 1163.051, 905.5133, 0.09173346, 978.831, 420.408, 141.3689, 3.440731, 88.97507, 1624.771, 555.5499, 1763.984, 245.0208, 484.6004
215.8, 88.6001, 134.7747, 1045.031, 319.1006, 484.7143, 1069.941, 491.1051, 1480.737, 496.339, 91.01692, 893.3472, 6.818871, 40.63123, 8.977253, 445.5098, 1178.798, 856.2046, 0.08747773, 955.1367, 399.3248, 134.4354, 3.294032, 84.28506, 1543.762, 527.6396, 1658.81, 234.12, 457.5732
215.9, 82.16952, 127.1029, 1258.045, 304.5596, 455.5289, 1134.851, 459.927, 1411.32, 470.3027, 86.30159, 852.6265, 178.3977, 38.57317, 183.9547, 417.3673, 1256.021, 809.5809, 0.08341943, 904.1923, 379.2989, 490.2317, 3.153587, 79.84228, 1497.822, 501.1315, 1559.908, 223.7041, 432.0534
216, 76.20567, 148.4745, 1198.114, 290.6812, 428.1008, 1118.682, 430.7283, 1466.819, 481.0561, 81.83055, 813.762, 169.7982, 36.61935, 174.7704, 391.0026, 1262.405, 908.6016, 0.0795494, 855.9651, 360.2773, 466.1878, 3.01913, 75.63367, 1514.967, 475.9551, 1466.902, 213.7517, 475.0851
216.1, 76.2585, 140.0229, 1190.446, 277.4352, 402.3242, 1233.598, 403.3832, 1398.054, 694.0016, 77.59114, 776.669, 235.5722, 34.7645, 166.0445, 401.9628, 1340.191, 939.5613, 0.07585891, 810.3102, 397.4895, 443.3232, 2.890406, 71.64692, 1514.566, 452.0435, 1596.337, 204.242, 448.5886
216.2, 70.72367, 151.715, 1133.734, 264.7928, 378.0996, 1296.97, 377.7742, 1332.514, 657.5966, 73.57137, 789.0036, 224.2167, 33.0036, 157.7543, 376.5712, 1411.048, 888.3986, 0.07233964, 839.2006, 419.6863, 421.58, 2.767171, 67.87031, 1613.764, 625.0273, 1501.159, 195.1554, 423.5699
216.3, 65.59055, 143.079, 1209.192, 252.7265, 355.3336, 1237.364, 353.791, 1270.045, 623.1013, 69.75984, 801.0179, 213.4086, 31.3319, 149.8781, 352.7835, 1438.294, 891.358, 0.06898363, 794.4399, 488.3943, 400.9032, 2.649189, 64.29277, 1553.798, 593.6265, 1411.656, 186.4731, 474.5715
216.4, 60.83, 134.9345, 1151.587, 295.2745, 333.9385, 1320.027, 331.3303, 1254.599, 590.4155, 66.14578, 764.5058, 203.1216, 29.74487, 142.3951, 330.4985, 1408.788, 842.8201, 0.06578331, 977.3899, 463.9017, 381.2405, 2.536238, 60.90381, 1501.348, 649.4947, 1529.255, 178.177, 448.1036
216.5, 56.41497, 127.2536, 1096.727, 281.8192, 452.5179, 1259.362, 310.2956, 1471.558, 559.4442, 62.71896, 807.2859, 244.3201, 28.23823, 135.2856, 394.0051, 1338.905, 894.024, 0.06273147, 925.2586, 466.9372, 453.1205, 2.428103, 57.69348, 1426.493, 616.8647, 1838.562, 170.2501, 669.5405
216.6, 52.32038, 120.01, 1125.77, 310.9534, 425.2711, 1201.484, 290.5963, 1402.572, 530.0977, 122.9732, 770.4881, 295.5276, 26.8079, 128.5312, 369.1161, 1329.416, 949.2177, 0.0598212, 875.9078, 612.7172, 430.8968, 2.324578, 54.65237, 1549.086, 585.874, 1932.832, 162.6758, 860.2427
216.7, 48.52298, 113.1787, 1072.14, 296.7836, 399.6649, 1347.051, 272.1476, 1336.819, 502.2905, 159.6132, 735.3676, 348.1602, 25.45002, 122.1139, 420.4901, 1358.739, 897.5291, 0.05704596, 829.1893, 918.5419, 409.763, 2.225467, 51.77157, 1471.85, 556.4402, 1845.457, 155.4384, 812.2651
216.8, 45.00119, 106.7362, 1163.96, 283.2596, 472.6149, 1285.143, 254.8701, 1460.068, 475.942, 151.3441, 701.848, 331.3776, 24.16092, 116.0171, 866.0996, 1442.412, 913.6017, 0.05439946, 784.9626, 893.5004, 470.7866, 2.130582, 49.04261, 1398.466, 684.3729, 1735.426, 148.5231, 880.0812
216.9, 41.73501, 100.6605, 1108.511, 270.3517, 444.158, 1283.538, 238.6896, 1391.62, 450.9757, 143.5034, 709.9153, 315.404, 22.93711, 110.2247, 1229.551, 1370.861, 863.8525, 0.05187574, 743.0948, 861.9946, 489.5399, 2.039742, 46.45751, 1399.793, 649.9907, 1740.896, 141.9154, 830.9973
