 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C010, C011, C012, C015, C016, C017, C018, C019, C021, C023, C024, C025, C032, C033, C034, C038, C039, C040, C042, C045, C047, C049, C056, C068, C083, C086
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
86.7, 47.51052, 106.7191, 32.07144, 300.4611, 324.1125, 10.9512, 56.73914, 33.87761, 211.784, 28.0754, 81.2627, 7.599628, 224.6097, 122.9451, 423.6665, 327.1504, 146.4192, 404.2714, 3.919703, 211.0897, 57.63533, 220.4421, 320.7825, 251.7136, 11.09742, 74.92733, 200.3392, 18.73414, 665.8577, 540.1922, 843.4652, 869.0941, 780.7834, 187.1091, 2.971842
86.8, 44.04081, 110.6931, 30.4336, 281.8826, 369.5746, 10.4379, 53.85105, 31.94944, 201.8115, 26.00752, 76.56502, 7.211101, 211.4155, 135.0819, 401.6716, 311.2845, 138.1172, 376.4252, 3.69088, 200.7441, 54.10159, 205.2036, 303.5019, 237.002, 171.4327, 107.4085, 189.8613, 17.74645, 628.4489, 752.6902, 940.9457, 830.1234, 861.1252, 177.0521, 2.775659
86.90000000000001, 40.82449, 103.0656, 28.8794, 264.453, 412.1718, 9.948654, 51.10997, 30.13101, 192.3085, 57.42485, 72.1389, 6.842437, 198.9963, 179.3365, 380.8185, 296.1881, 130.2859, 350.497, 3.475415, 190.9055, 228.9189, 191.0185, 287.1521, 223.1502, 162.1318, 100.3536, 263.0372, 16.81083, 593.1417, 1168.446, 904.3011, 792.9003, 846.8746, 167.5357, 2.592427
87, 37.84306, 95.96371, 27.40457, 248.101, 389.1977, 9.482345, 48.50841, 28.41608, 183.2531, 53.19526, 67.96865, 6.49262, 187.3067, 168.1482, 361.048, 281.8239, 122.8986, 326.3548, 3.272529, 181.5492, 214.8834, 238.9407, 271.6832, 210.108, 153.3355, 93.76199, 249.2801, 15.92454, 559.8181, 1208.966, 853.8801, 757.3462, 805.818, 158.5307, 2.421291
87.09999999999999, 35.07936, 89.35119, 26.00506, 232.7602, 367.5041, 9.037891, 46.03928, 26.79875, 174.624, 97.61922, 64.03947, 6.160688, 346.6445, 157.6579, 342.3039, 268.1562, 115.9302, 378.2115, 3.081486, 268.6171, 201.7084, 222.4235, 257.0475, 197.8281, 145.0164, 87.60337, 456.4297, 15.08498, 528.3666, 1171.855, 1159.386, 836.4136, 973.3879, 150.0098, 2.261452
87.2, 32.5175, 83.19431, 24.67702, 218.3679, 347.0197, 8.61427, 120.8718, 25.27348, 166.4012, 264.3129, 60.33744, 5.845726, 326.2816, 147.822, 324.533, 255.1515, 109.357, 352.1602, 2.901596, 255.4521, 189.3412, 207.048, 294.8969, 186.2659, 137.1487, 81.84927, 432.558, 14.28967, 498.6822, 1092.412, 1094.742, 798.9084, 1078.248, 141.9469, 2.112164
87.3, 30.14273, 77.46167, 23.4168, 204.8656, 327.6771, 8.210505, 114.7193, 23.83502, 158.5657, 244.8451, 56.84941, 143.4892, 307.1149, 138.5998, 307.6846, 242.7774, 103.1564, 347.615, 2.732208, 242.9323, 177.7323, 211.6201, 373.7642, 175.3795, 129.7078, 76.47312, 409.9348, 13.5363, 470.6655, 1088.23, 1033.703, 804.0796, 1025.974, 134.3173, 1.972732
87.40000000000001, 27.94139, 72.12405, 22.22094, 294.5664, 356.1709, 7.825665, 138.337, 22.47843, 151.0991, 226.8112, 53.56303, 177.6929, 289.0741, 129.9529, 291.7109, 231.0034, 97.30739, 344.1218, 2.572708, 231.0261, 166.8351, 196.9914, 353.6294, 165.1293, 122.6707, 145.2034, 388.4949, 12.82265, 444.2228, 1014.456, 976.0666, 768.0242, 976.2349, 127.0978, 344.8833
87.5, 25.90082, 67.15424, 21.08615, 276.3525, 336.3182, 7.458864, 131.2955, 21.19905, 143.9841, 305.685, 50.46662, 168.6084, 272.093, 175.5454, 276.5665, 219.8004, 91.79003, 431.2896, 2.422519, 243.4153, 198.9477, 284.3656, 334.5793, 155.4782, 116.0153, 135.6659, 368.1763, 12.14662, 419.2657, 1009.769, 921.6442, 733.5856, 928.9069, 120.2664, 510.7719
87.59999999999999, 67.50986, 62.52687, 20.00931, 259.2648, 340.4254, 7.109254, 156.554, 19.99249, 137.2041, 695.1415, 47.54921, 159.9884, 256.1095, 164.5936, 262.2083, 209.1407, 86.58551, 401.5824, 2.281098, 231.4855, 254.4823, 264.7083, 343.7256, 146.3911, 109.721, 126.7549, 348.9203, 11.50624, 395.7108, 1370.361, 870.2562, 700.6913, 883.8733, 113.8022, 535.3483
