 , C000, C003, C004, C007, C009, C010, C011, C016, C017, C020, C022, C026, C031, C033, C036, C044, C050
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
196.6, 41.43132, 4.984923, 368.4722, 750.1098, 1727.754, 317.6957, 280.7296, 571.1227, 32.77438, 203.9122, 462.6335, 401.6289, 1305.388, 549.5118, 1637.393, 1213.953, 239.194
196.7, 38.20377, 4.711861, 340.1856, 740.7398, 1608.516, 301.3569, 266.911, 534.6876, 108.5787, 190.8316, 447.0374, 375.8947, 1297.296, 516.1307, 1561.478, 1151.389, 225.2093
196.8, 35.22765, 4.453755, 314.0705, 706.3705, 1497.508, 356.0913, 253.7726, 512.2711, 102.6188, 178.5901, 414.9353, 351.8094, 1214.574, 484.7774, 1584.135, 1092.05, 212.0422
196.9, 32.48338, 4.209789, 355.183, 673.5959, 1573.154, 337.7779, 241.2809, 557.5793, 179.0706, 167.1339, 385.1384, 329.2673, 1137.126, 536.0385, 1518.653, 1108.328, 289.5484
197, 29.95289, 3.979186, 327.9166, 642.342, 1464.586, 320.4063, 229.4042, 522.0082, 418.8277, 412.7722, 357.4813, 308.1696, 1135.243, 503.4758, 1448.243, 1051.208, 278.886
197.1, 27.61952, 3.761215, 302.7433, 707.4989, 1363.51, 393.0954, 218.112, 488.7065, 464.1687, 822.801, 460.4148, 1101.114, 1223.041, 472.8912, 1508.99, 997.0323, 322.3719
197.2, 25.46793, 3.555184, 279.5025, 686.6033, 1269.411, 372.8789, 207.3757, 584.497, 438.6904, 1304.108, 427.352, 1243.167, 1145.054, 444.1646, 1475.363, 945.6483, 441.631
197.3, 23.48395, 3.360439, 258.0459, 654.7458, 1181.805, 353.7021, 197.1679, 595.8696, 414.6107, 1397.431, 396.6635, 1267.936, 1072.04, 417.183, 1707.315, 1034.028, 485.5994
197.4, 21.65453, 3.176362, 238.2364, 624.3666, 1102.285, 339.2714, 187.4625, 614.9907, 391.8526, 1307.788, 368.1787, 1186.693, 1130.539, 489.8533, 1628.158, 1025.39, 457.2084
197.5, 19.96761, 3.002368, 219.9477, 595.3969, 1026.213, 365.026, 178.2349, 575.757, 370.3438, 1223.896, 341.7395, 1110.656, 1324.877, 460.0962, 1552.671, 1125.406, 430.4772
197.6, 18.41211, 2.837905, 203.0629, 607.2388, 1231.461, 346.2531, 169.4615, 539.0263, 350.0155, 1145.385, 317.1989, 1039.492, 1240.396, 460.1383, 1577.565, 1154.132, 444.4811
197.7, 16.97779, 2.682451, 244.8914, 657.1972, 1160.458, 328.4456, 208.0021, 504.6389, 330.8031, 1071.911, 294.4206, 972.8865, 1274.33, 432.1863, 1569.675, 1094.651, 418.4941
197.8, 15.6552, 2.535513, 226.0917, 626.7042, 1080.371, 311.554, 274.8156, 513.791, 312.6453, 1003.15, 273.278, 910.5492, 1193.072, 410.1352, 1561.246, 1038.236, 394.0264
197.9, 14.43564, 2.396623, 208.7353, 597.626, 1005.812, 295.5311, 261.2881, 481.0134, 295.4841, 938.7993, 253.6537, 852.2061, 1170.445, 405.3626, 1493.829, 984.7287, 370.9893
198, 13.31109, 2.265342, 237.2036, 569.897, 979.2352, 280.3322, 253.7194, 450.3269, 279.265, 878.577, 235.4386, 797.6013, 1095.812, 380.7381, 1424.57, 997.5486, 349.299
198.1, 12.27414, 2.141251, 218.9941, 543.4546, 1066.03, 265.915, 241.2303, 421.5981, 263.9361, 822.2179, 218.5316, 746.4953, 1025.937, 357.6095, 1388.421, 946.1379, 328.8769
198.2, 11.31797, 2.023958, 202.1826, 518.2391, 992.4604, 252.2393, 543.5148, 394.702, 388.6225, 806.5491, 202.8386, 698.6639, 960.5181, 335.8858, 1334.041, 897.3767, 336.1513
198.3, 10.43629, 1.913091, 186.6616, 494.1935, 1071.885, 239.2669, 654.4113, 369.5218, 461.5244, 754.8105, 339.934, 800.7806, 899.2706, 425.7664, 1510.171, 1100.949, 316.4979
198.4, 9.62329, 1.808296, 172.3321, 471.2636, 997.9115, 226.9616, 628.91, 356.8544, 514.1746, 706.3907, 499.2963, 749.4708, 1069.981, 668.3854, 1572.072, 1044.21, 337.0933
