 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C021, C022, C023, C026, C028, C029, C033, C036, C040, C046, C050, C051, C052, C054, C057, C058, C060, C061, C066, C067, C068, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
158.1, 927.3163, 3014.98, 357.2503, 2418.845, 1419.062, 174.1791, 767.0292, 3195.375, 220.0158, 1553.277, 2527.832, 302.4909, 378.8269, 1808.971, 2648.639, 2179.676, 753.3098, 2580.842, 2350.954, 2124.96, 1233.278, 458.5274, 1331.599, 3014.643, 999.1688, 436.4318, 144.3434, 580.2974, 2985.379, 123.8311, 4300.795, 2054.79, 1052.903, 760.4753, 1105.562, 3326.325, 1549.551, 711.6982, 858.7904, 490.1624, 3.237631
158.2, 874.5696, 2893.914, 370.7119, 2526.523, 1369.836, 166.3671, 956.1704, 3312.361, 311.8256, 1569.547, 2570.055, 289.6909, 360.4657, 1806.265, 2756.356, 2282.143, 761.2931, 2887.635, 2284.135, 2152.41, 1360.16, 447.9049, 1269.282, 3198.753, 1121.964, 442.1884, 135.588, 617.1584, 2860.514, 117.9422, 4229.784, 2093.525, 1160.934, 716.7247, 1155.12, 3378.415, 1476.838, 673.5408, 820.5907, 515.3753, 3.059596
158.3, 1168.957, 3050.88, 363.6871, 2409.857, 1306.781, 158.9056, 996.3796, 3451.902, 349.8778, 1492.172, 2519.248, 280.0275, 342.9944, 1937.478, 2728.528, 2249.537, 721.9256, 2994.314, 2434.855, 2253.134, 1307.318, 423.6103, 1314.392, 3049.041, 1231.395, 416.3463, 127.3637, 583.7011, 2865.755, 112.3333, 4093.22, 1998.531, 1557.909, 675.4911, 1099.372, 3334.151, 1591.858, 660.0248, 784.0901, 481.8305, 2.891351
158.4, 1111.377, 3002.523, 343.9397, 2496.909, 1340.002, 151.7786, 1118.339, 3300.624, 364.7268, 1418.612, 2483.747, 268.178, 326.3698, 1926.801, 2668.985, 2228.114, 684.5939, 3061.128, 2637.295, 2381.917, 1239.684, 400.6333, 1319.984, 2985.133, 1155.956, 412.013, 119.6383, 552.0576, 2745.894, 106.9912, 4169.925, 1907.847, 1569.196, 636.6296, 1085.418, 3468.353, 1532.392, 624.6378, 749.2132, 493.4919, 2.732358
158.5, 1068.089, 2986.124, 325.2645, 2497.925, 1330.071, 144.9713, 1061.789, 3179.541, 342.8306, 1380.61, 2508.609, 256.83, 310.5511, 1839.529, 2628.502, 2155.42, 649.1926, 3218.895, 2516.603, 2276.981, 1355.506, 378.9027, 1258.21, 3074.836, 1085.139, 387.9343, 112.3814, 735.2367, 2790.468, 101.9031, 4118.789, 1976.79, 1623.806, 600.0039, 1285.758, 3323.3, 1460.484, 884.7928, 715.8876, 622.6497, 2.582108
158.6, 1007.335, 3024.482, 307.6033, 2397.399, 1268.847, 138.4694, 1063.803, 3142.39, 322.2488, 1529.678, 2453.158, 265.7839, 295.4991, 1877.07, 2506.031, 2145.999, 658.831, 3083.494, 2401.434, 2220.103, 1285.379, 358.3508, 1345.256, 2930.923, 1018.661, 365.2629, 105.5648, 705.9833, 2673.756, 97.05697, 4145.215, 1887.093, 1533.897, 565.4853, 1260.411, 3244.239, 1413.445, 837.355, 684.0443, 582.1226, 2.44012
158.7, 950.0369, 3116.178, 290.9011, 2385.137, 1210.441, 132.259, 1181.008, 3004.676, 302.9027, 1454.268, 2413.698, 254.5372, 281.1766, 1880.701, 2538.964, 2057.543, 624.762, 3005.409, 2411.525, 2179.182, 1218.88, 383.5922, 1282.3, 2958.208, 956.2545, 343.9164, 99.16156, 667.7106, 2675.963, 92.44131, 4239.083, 1801.466, 1448.966, 532.9526, 1300.411, 3216.555, 1387.849, 792.4606, 653.6175, 544.2334, 2.30594
158.8, 991.9283, 2984.711, 275.1058, 2334.099, 1261.863, 126.3272, 1121.289, 3136.598, 284.718, 1475.235, 2471.438, 243.7664, 267.5483, 1795.517, 2520.98, 1965.36, 592.4547, 3011.632, 2466.905, 2230.92, 1155.822, 362.7859, 1222.29, 2908.575, 897.6717, 323.8174, 93.14676, 729.8885, 2587.986, 88.04516, 4067.54, 1837.173, 1368.737, 666.4188, 1248.632, 3318.251, 1427.824, 749.9732, 624.5441, 508.8103, 2.179138
158.9, 935.5065, 2973.168, 260.1682, 2226.319, 1331.602, 120.6614, 1064.59, 3083.226, 267.625, 1402.51, 2428.922, 361.9087, 254.5805, 1714.192, 2403.519, 2063.272, 604.7966, 2875.165, 2354.011, 2132.637, 1187.888, 343.1082, 1165.089, 2918.405, 979.1009, 386.9769, 87.4968, 690.3199, 2529.415, 83.85807, 4094.631, 1859.072, 1329.411, 628.0793, 1222.633, 3257.136, 1668.471, 709.7637, 596.7639, 475.6928, 2.059309
159, 1028.408, 2966.653, 420.8944, 2276.641, 1393.978, 115.2497, 1010.758, 2948.105, 251.5582, 1333.37, 2317.559, 346.5944, 242.2413, 1750.736, 2374.027, 2107.198, 573.5218, 2911.185, 2422.603, 2183.895, 1179.074, 324.4977, 1110.564, 2788.7, 919.1185, 364.3614, 82.18954, 680.3362, 2622.38, 79.8701, 3928.933, 1899.664, 1255.802, 641.3993, 1248.076, 3338.813, 1590.177, 751.0201, 570.2193, 506.5346, 1.94607
