 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
15.28823719474755, 212.8962, 65.06499, 7.370474, 56.93892, 5.251501, 0, 18.44258, 31.17986, 104.4133
15.38816031366747, 224.0903, 84.93875, 7.03689, 56.89074, 12.85848, 0, 28.53713, 53.30315, 101.1696
15.48808343258739, 255.5845, 80.87971, 6.718405, 71.26485, 12.30117, 0, 27.38185, 51.01829, 118.2914
15.58800655150731, 258.9992, 77.01463, 19.16313, 77.40783, 11.76802, 30.78166, 26.27334, 48.83137, 120.4772
15.68792967042722, 346.8102, 73.33427, 25.41517, 87.42929, 15.20208, 29.379, 25.2097, 46.73819, 157.6156
15.78785278934714, 372.0194, 69.82977, 24.26489, 84.79263, 14.54319, 28.04025, 25.83502, 54.55022, 150.553
15.88777590826706, 414.3436, 66.49275, 23.16668, 105.7848, 13.91286, 26.76251, 24.78913, 74.01594, 163.8125
15.98769902718698, 463.487, 83.14149, 22.11817, 100.297, 23.65566, 33.28362, 23.78558, 70.84322, 161.1778
16.0876221461069, 455.5182, 79.16833, 21.11711, 97.47582, 22.63039, 31.76694, 28.54779, 81.86987, 155.769
16.18754526502682, 459.9218, 100.7232, 20.16136, 98.04172, 21.64955, 30.31938, 27.39208, 93.53022, 149.9783
16.28746838394673, 440.4965, 95.90988, 19.24887, 92.95559, 36.96517, 28.93779, 26.28316, 89.52101, 146.76
16.38739150286666, 476.0418, 91.32655, 23.59447, 114.442, 35.36304, 41.28604, 25.21913, 101.4601, 174.9536
16.48731462178657, 521.531, 86.96224, 29.47366, 129.0367, 40.45815, 39.40471, 24.19817, 97.11092, 167.1142
16.58723774070649, 509.7387, 82.8065, 28.13969, 122.3427, 38.70462, 37.60912, 32.285, 105.9277, 189.5542
16.68716085962641, 541.2823, 102.7652, 48.18517, 130.8412, 45.87255, 35.89534, 30.97799, 101.3871, 181.0605
16.78708397854633, 548.9258, 97.85429, 46.00433, 141.0635, 43.88436, 44.56878, 29.7239, 118.7569, 175.1099
16.88700709746625, 536.0966, 93.17804, 55.55075, 133.7456, 43.77553, 58.4583, 28.52057, 120.3121, 167.2634
16.98693021638617, 531.6058, 93.9528, 53.03655, 126.8072, 41.87823, 55.79446, 27.36596, 133.1013, 164.2188
17.08685333530608, 519.1056, 89.463, 54.29117, 142.6729, 40.06315, 57.80494, 26.25809, 127.3959, 177.9044
17.186776454226, 517.9707, 85.18775, 51.83398, 145.418, 38.32675, 55.17088, 26.24063, 152.7765, 169.9327
