 , C03, C06, C08, C09, C11, C12, C14, C18
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
15.58803905147192, 0.368423, 14.25688, 405.6604, 43.90891, 29.5728, 274.3916, 3.410709, 47.9606
15.68796237872494, 0.3518408, 13.67909, 401.5013, 42.14139, 28.26744, 274.7347, 3.262686, 46.00772
15.78788570597797, 0.3360049, 13.12471, 407.8983, 47.38503, 27.0197, 263.5299, 3.121087, 44.13437
15.88780903323099, 0.3208817, 12.59279, 403.3676, 45.47758, 30.70157, 263.6237, 2.985633, 42.3373
15.98773236048402, 0.3064392, 12.08244, 386.9741, 43.64691, 29.34639, 267.0036, 2.856058, 40.6134
16.08765568773704, 0.2926467, 11.59277, 382.1438, 41.88994, 28.05102, 258.9233, 2.732106, 38.95969
16.18757901499007, 0.2794751, 11.12294, 394.462, 40.20369, 26.81284, 248.3633, 2.613534, 37.37332
16.28750234224309, 0.2668962, 10.67215, 386.9728, 38.58532, 25.6293, 238.234, 2.500108, 35.85154
16.38742566949612, 0.2548836, 12.1874, 381.1442, 42.41812, 35.34825, 244.4281, 2.391605, 34.39173
16.48734899674914, 0.2434116, 11.69347, 381.2042, 40.71061, 33.78796, 234.4593, 2.28781, 32.99136
16.58727232400217, 0.2324559, 11.21956, 387.2623, 39.07183, 32.29654, 242.7954, 2.18852, 31.648
16.68719565125519, 0.2219933, 10.76486, 371.5234, 37.49903, 30.87096, 240.53, 2.093539, 34.95082
16.78711897850822, 0.2120017, 10.36645, 367.5416, 35.98954, 29.5083, 230.7202, 2.002681, 33.52769
16.88704230576124, 0.2024598, 14.22346, 364.4906, 34.5408, 28.20579, 221.3104, 1.915765, 32.1625
16.98696563301427, 0.1933473, 13.64702, 371.3345, 33.15039, 26.96077, 220.2598, 1.832622, 40.38538
17.08688896026729, 0.184645, 13.09394, 356.2429, 31.81595, 30.53097, 240.701, 1.753087, 40.50089
17.18681228752032, 0.1763343, 12.56328, 359.3002, 35.11158, 29.18332, 230.8842, 1.677004, 38.85177
17.28673561477334, 0.1683977, 12.05412, 347.1975, 33.69819, 27.89515, 227.6406, 1.604223, 37.26979
17.38665894202637, 0.1608184, 11.56559, 366.0026, 32.3417, 26.66385, 218.3565, 1.5346, 35.75223
17.48658226927939, 0.1535801, 11.09687, 351.1277, 31.03981, 25.48689, 219.9745, 1.467999, 34.29646
17.58650559653242, 0.1466677, 10.64714, 353.8871, 29.79033, 24.36189, 230.9691, 1.404289, 32.89997
17.68642892378544, 0.1400663, 10.21564, 364.6382, 28.59114, 23.28654, 226.4103, 1.343343, 37.23283
17.78635225103847, 0.1337621, 9.801621, 349.8187, 27.44023, 41.28449, 230.7729, 1.285043, 35.71678
17.88627557829149, 0.1277416, 9.404386, 353.0631, 35.77515, 39.46217, 222.0773, 1.229273, 34.26245
17.98619890554452, 0.1219921, 9.023249, 345.8637, 34.33505, 43.11747, 220.4991, 11.33332, 36.1264
18.08612223279754, 0.1165014, 8.657558, 339.6204, 32.95292, 41.21424, 211.5062, 10.84146, 34.6554
18.18604556005057, 0.1112578, 8.306688, 351.5864, 31.62642, 39.39502, 202.8801, 10.37094, 33.24429
18.28596888730359, 0.1062503, 12.80335, 337.2973, 30.35333, 37.65611, 199.0248, 9.920851, 31.89064
18.38589221455662, 0.1014681, 12.28446, 331.9936, 29.13148, 35.99395, 213.9334, 9.490291, 43.59006
18.48581554180964, 0.09690111, 11.7866, 337.737, 27.95881, 34.40516, 207.5998, 9.078417, 41.81515
18.58573886906267, 0.09253971, 11.30892, 333.0339, 34.73237, 32.88649, 199.133, 8.684418, 44.28614
18.68566219631569, 0.08837461, 10.85059, 339.1112, 34.01918, 31.43487, 197.6212, 8.307518, 42.48288
18.78558552356872, 0.08439698, 10.41084, 325.3292, 33.19009, 30.04732, 193.0014, 7.946976, 40.75306
18.88550885082174, 0.08059838, 9.988918, 328.9925, 38.20771, 61.31686, 195.7644, 20.59009, 39.09366
18.98543217807477, 0.07697074, 9.584091, 315.6217, 42.58148, 59.58485, 192.8827, 19.69649, 37.50183
19.08535550532779, 0.07350639, 9.292091, 320.1271, 49.24535, 60.87153, 185.0161, 18.84167, 37.71611
19.18527883258082, 0.07019795, 9.107994, 326.5031, 65.6857, 80.49949, 177.4704, 18.02395, 36.18037
19.28520215983384, 0.06703843, 11.15984, 313.7885, 71.0449, 76.9462, 170.2324, 36.56769, 39.99384
19.38512548708687, 0.06402111, 10.70756, 318.0913, 68.18504, 75.33718, 187.7604, 36.22661, 38.36536
19.48504881433989, 0.0611396, 10.2736, 315.961, 76.71191, 72.01176, 183.8136, 34.6544, 36.80319
19.58497214159292, 1.074873, 11.83921, 322.9012, 73.62394, 68.83312, 200.3699, 33.15041, 35.30463
19.68489546884594, 41.05666, 13.37384, 317.4095, 70.66026, 65.79479, 208.5497, 31.7117, 39.3781
19.78481879609897, 39.20875, 12.83183, 333.6791, 67.81589, 71.61366, 219.3065, 39.73215, 49.71218
19.88474212335199, 37.44401, 12.31178, 331.0901, 65.08601, 71.60762, 224.2048, 38.0078, 54.87486
19.98466545060502, 58.32685, 18.17834, 317.8738, 62.46602, 74.14761, 247.3732, 36.35828, 68.77657
20.08458877785804, 70.07323, 17.44161, 316.8906, 59.9515, 70.8747, 256.6693, 34.78035, 72.26523
20.18451210511107, 74.45547, 26.36545, 347.6408, 57.5382, 67.74625, 255.4719, 33.2709, 69.32272
20.28443543236409, 76.68169, 25.29692, 345.2995, 67.0643, 85.93338, 254.0235, 31.82696, 66.50002
20.38435875961712, 73.23034, 30.65879, 331.266, 64.36468, 85.70973, 262.1992, 37.19218, 71.31596
20.48428208687015, 69.93433, 29.43941, 337.5114, 61.77373, 89.30592, 269.1173, 35.57806, 78.85298
20.58420541412317, 66.78667, 28.24631, 323.7945, 61.52103, 85.36391, 292.1694, 34.03399, 79.41755
20.6841287413762, 109.3007, 39.713, 332.4893, 59.04456, 81.5959, 290.4229, 32.55693, 76.18381
20.78405206862922, 104.3812, 38.10353, 326.5125, 63.94245, 77.99422, 306.9694, 31.14397, 94.17432
20.88397539588225, 105.239, 36.55929, 338.6511, 61.36849, 74.55151, 297.4556, 31.56785, 92.62488
20.98389872313527, 100.5023, 36.80667, 330.2752, 58.89815, 85.06705, 313.2814, 30.19782, 90.36658
21.0838220503883, 103.1877, 35.31498, 335.72, 69.22672, 81.31215, 311.6131, 32.60406, 88.59439
21.18374537764132, 98.54339, 44.01298, 335.0607, 66.44006, 88.29031, 334.6071, 31.18906, 84.98698
21.28366870489435, 100.774, 42.22924, 345.2487, 69.02316, 91.30003, 349.2055, 29.83547, 94.05036
21.38359203214737, 96.23825, 40.51779, 339.9969, 66.24468, 87.27, 355.2903, 28.54062, 91.74539
21.4835153594004, 91.90668, 38.8757, 326.1789, 63.57805, 113.3004, 374.5403, 59.71514, 88.00968
21.58343868665342, 109.3404, 48.93575, 329.4774, 61.01876, 108.2993, 361.4738, 57.12353, 93.01845
21.68336201390645, 115.1174, 61.83814, 335.8924, 58.5625, 103.5189, 377.4963, 54.6444, 101.6676
21.78328534115947, 109.9361, 59.33199, 345.4917, 59.71463, 98.94951, 379.5443, 52.27286, 110.7979
21.8832086684125, 121.0227, 56.92741, 331.4504, 57.42645, 94.58183, 403.3344, 50.00424, 120.3237
21.98313199566552, 127.8506, 54.62028, 353.8326, 56.24685, 90.40694, 386.8847, 47.83408, 120.7067
22.08305532291855, 122.0962, 63.64853, 360.4455, 53.98267, 86.41633, 393.1295, 45.75811, 115.7917
22.18297865017157, 120.7715, 61.06901, 358.5193, 51.80964, 82.60187, 412.5262, 43.77223, 112.7945
22.2829019774246, 115.3357, 59.79573, 362.3972, 55.1433, 78.95578, 397.6685, 41.87254, 123.2109
22.38282530467762, 119.5973, 57.37235, 363.0488, 52.92355, 75.47063, 410.8371, 40.05529, 118.194
22.48274863193065, 114.2144, 55.04719, 358.1196, 50.79315, 72.13932, 413.3928, 38.31691, 117.8236
22.58267195918367, 112.5986, 56.26382, 360.3166, 48.74851, 80.78026, 408.8919, 36.65397, 134.11
22.6825952864367, 107.5307, 60.11125, 361.2327, 47.484, 85.5891, 412.2393, 35.06321, 136.062
22.78251861368972, 107.8287, 57.67508, 370.4139, 45.57257, 81.81116, 433.3174, 33.54148, 130.5217
22.88244194094275, 125.4677, 55.33765, 371.8752, 47.58353, 95.99461, 435.8281, 32.0858, 130.6905
22.98236526819577, 119.8205, 53.09495, 363.5511, 45.76725, 112.6027, 452.3174, 41.6803, 134.2659
23.0822885954488, 114.4276, 50.94314, 373.904, 43.92493, 107.6324, 440.0306, 39.8714, 128.7989
23.18221192270182, 109.2773, 56.58695, 363.0823, 45.82392, 102.8814, 459.2887, 38.141, 130.4547
23.28213524995485, 114.5996, 54.29362, 366.3744, 45.62395, 98.34018, 453.2921, 36.48569, 152.0945
23.38205857720788, 125.3659, 61.97247, 379.781, 43.78739, 93.99939, 445.2052, 34.90223, 149.6958
23.4819819044609, 125.8551, 66.75597, 375.8234, 42.02477, 89.8502, 466.0583, 33.38749, 143.9695
23.58190523171393, 129.0708, 78.23119, 378.984, 40.39418, 85.88417, 476.7915, 31.93849, 161.656
23.68182855896695, 133.0913, 81.34454, 399.077, 41.12543, 82.0932, 471.6532, 30.55238, 158.5604
23.78175188621998, 127.101, 78.04784, 399.136, 39.46996, 78.46957, 452.4172, 29.22642, 170.5818
23.881675213473, 149.2612, 74.88475, 393.6667, 37.88113, 76.57217, 471.9971, 27.95801, 167.353
23.98159854072603, 142.5432, 77.65891, 402.9644, 36.35625, 74.28152, 484.5119, 26.74464, 160.5386
24.08152186797905, 136.1275, 77.51867, 399.4905, 34.89276, 78.57053, 468.6792, 25.58394, 171.8782
24.18144519523208, 130.0005, 84.40176, 411.4965, 43.41342, 75.10239, 465.6804, 24.47361, 164.8796
24.2813685224851, 124.1494, 83.63274, 399.9651, 41.66585, 71.78733, 469.9924, 23.41147, 167.7554
24.38129184973813, 118.5616, 80.24331, 399.2664, 39.98862, 68.6186, 450.8241, 22.39542, 164.6378
24.48121517699115, 113.2253, 78.43291, 412.8004, 38.37891, 65.58974, 445.9543, 21.42347, 180.9844
24.58113850424418, 108.1291, 75.25422, 396.0235, 36.834, 62.69457, 459.8114, 20.4937, 173.615
24.6810618314972, 103.2624, 85.28036, 396.7921, 35.35127, 70.54149, 452.2108, 19.60429, 166.5457
24.78098515875023, 98.61465, 81.82416, 399.373, 34.71082, 67.42775, 433.7677, 18.75347, 159.7643
24.88090848600325, 94.17613, 78.50803, 386.1625, 42.10802, 69.2795, 441.4611, 17.93958, 166.0146
