 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C029, C030, C033, C040, C047, C074, C081, C083, C093, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
97.2, 457.1807, 974.872, 101.263, 28.35749, 2941.004, 223.8162, 586.8265, 70.15616, 522.3002, 1705.56, 463.0858, 225.186, 143.9638, 1297.545, 664.6013, 601.8032, 406.5331, 206.2608, 364.8814, 699.152, 221.1299, 301.8604, 1010.586, 478.5047, 874.3748, 318.5667, 560.0739, 0.611858, 166.8041, 467.9846, 866.7484, 284.7597, 1240.565, 1168.495, 1640.47, 286.2582, 446.1159, 899.0173
97.3, 436.5148, 914.2261, 96.94736, 27.10383, 2882.767, 213.4432, 557.4456, 66.89995, 489.6593, 1612.299, 437.8556, 214.4635, 135.1504, 1311.672, 630.6405, 571.7957, 428.9632, 197.6161, 346.3649, 658.5018, 205.2476, 283.4741, 948.4112, 450.2344, 836.8427, 298.7773, 531.5762, 0.5870535, 159.9671, 447.2095, 900.6822, 272.9008, 1230.401, 1137.462, 1593.497, 272.5755, 425.4674, 862.434
97.40000000000001, 416.7831, 1028.358, 114.54, 25.90559, 2855.926, 246.0045, 529.5357, 63.79487, 459.0583, 1707.177, 413.9999, 204.2515, 126.8765, 1246.796, 598.4152, 543.2844, 409.0959, 253.55, 328.788, 678.1777, 190.506, 266.2076, 968.8494, 448.5991, 800.9217, 280.2171, 504.5284, 0.5632545, 153.4105, 442.8569, 901.3031, 453.6996, 1170.972, 1116.751, 1517.128, 259.5468, 405.7747, 888.4285
97.5, 397.9433, 1094.484, 109.6585, 24.76032, 2720.964, 249.6483, 503.0232, 60.83391, 430.3697, 1696.035, 391.444, 194.5257, 119.1092, 1306.779, 567.8365, 516.1948, 390.1487, 242.9234, 312.103, 638.7469, 176.8232, 249.9929, 909.2421, 513.1822, 953.9852, 262.81, 478.8569, 0.5404204, 147.1225, 423.1973, 864.4283, 434.8051, 1114.414, 1070.608, 1444.419, 247.1409, 386.9935, 884.4915
97.59999999999999, 379.9551, 1026.398, 104.985, 23.66569, 2675.194, 238.0781, 477.8381, 58.01038, 620.6249, 1697.647, 370.1169, 185.2631, 111.8174, 1282.214, 711.1197, 490.456, 389.9054, 232.7422, 296.2648, 670.9265, 177.4303, 234.7657, 978.6244, 482.8631, 994.9937, 246.4841, 454.4917, 0.5185119, 141.0923, 404.4103, 893.566, 435.8173, 1060.587, 1038.732, 1406.784, 333.5339, 369.0815, 936.5395
97.7, 362.78, 1000.646, 100.5107, 22.61945, 2647.406, 227.0442, 453.914, 55.31789, 581.8393, 1603.322, 349.9519, 176.4415, 104.972, 1239.883, 674.7819, 527.9225, 448.7541, 222.9877, 281.2303, 700.64, 164.6866, 285.4095, 918.4158, 454.3354, 952.2841, 231.1725, 431.3661, 0.4974916, 135.3093, 397.0168, 857.0077, 483.9025, 1009.361, 1172.071, 1484.228, 317.5915, 351.9986, 898.4293
97.8, 346.3813, 938.3964, 237.9615, 21.61946, 2708.563, 216.5216, 431.1877, 52.75038, 545.4775, 1523.778, 330.8855, 168.04, 98.54568, 1190.543, 640.3009, 577.1171, 427.9702, 213.642, 266.9588, 705.3395, 190.1505, 268.0252, 928.6703, 427.493, 911.4078, 396.8596, 409.4173, 0.4773234, 129.7633, 379.3921, 821.9451, 473.3781, 1131.99, 1111.189, 1476.472, 302.4112, 335.7064, 861.87
97.90000000000001, 330.7238, 880.0196, 233.0314, 20.66368, 2610.886, 206.4867, 409.5992, 50.30204, 511.3882, 1439.114, 312.8578, 160.0385, 92.51276, 1131.659, 607.5819, 548.3405, 408.1489, 204.688, 253.4115, 664.3295, 176.4932, 251.6997, 917.0943, 402.2365, 872.2861, 373.7815, 388.5853, 0.4579729, 124.4446, 362.5498, 788.317, 472.9633, 1207.236, 1053.469, 1405.711, 380.2694, 320.1682, 826.7983
98, 315.7742, 825.2744, 223.1, 19.75015, 2582.497, 196.9168, 389.0916, 47.96733, 566.5248, 1433.213, 335.4654, 152.418, 86.84917, 1155.311, 576.5349, 520.9987, 389.2456, 196.1093, 240.5517, 658.4078, 163.8168, 277.3999, 860.6712, 378.4722, 1009.804, 350.5621, 368.8132, 0.4394068, 119.3439, 395.1328, 756.0648, 528.9574, 1148.926, 1061.263, 1460.631, 362.0932, 305.3492, 842.5966
98.09999999999999, 301.5002, 773.9349, 213.5918, 18.87701, 2483.605, 187.7905, 369.6108, 45.74098, 531.1202, 1353.58, 317.1882, 145.1604, 81.5323, 1114.578, 547.0743, 495.0203, 371.2178, 187.8901, 228.3444, 620.1266, 152.0509, 260.5034, 807.7195, 356.1119, 966.4589, 397.1904, 350.0472, 0.4215934, 114.4522, 418.2066, 902.1998, 506.9288, 1162.844, 1097.648, 1390.63, 344.7857, 291.2162, 827.5663
98.2, 287.8716, 725.7891, 204.4889, 18.04247, 2446.762, 179.0872, 351.1054, 43.61797, 497.9281, 1523.42, 299.9069, 138.2484, 76.54093, 1103.888, 519.1191, 470.3373, 372.278, 180.0154, 297.0678, 605.1312, 141.1301, 244.6361, 758.0256, 401.352, 924.9741, 379.0242, 332.236, 0.4045022, 109.7611, 399.6412, 865.2883, 485.8175, 1106.678, 1172.37, 1339.899, 328.3055, 277.7373, 813.569
98.3, 274.8589, 680.6384, 195.7739, 17.24483, 2475.16, 170.7872, 333.5264, 41.59349, 466.8104, 1537.425, 304.2721, 131.6655, 71.85513, 1187.418, 492.5924, 484.4081, 355.036, 172.4708, 281.9926, 630.3712, 179.5351, 229.7353, 711.389, 572.8396, 885.2701, 355.4791, 381.4991, 0.3881038, 105.2623, 381.9, 829.8869, 490.2152, 1053.225, 1111.472, 1275.684, 365.5081, 286.4781, 780.4629
98.40000000000001, 262.4345, 638.2966, 187.4303, 16.48245, 2457.602, 194.3059, 316.8276, 39.66298, 550.1298, 1452.003, 456.3186, 125.396, 67.4562, 1128.688, 467.4212, 543.1125, 338.5926, 165.2423, 350.8706, 593.72, 166.6402, 243.3955, 835.9592, 538.996, 1047.211, 333.3966, 486.7095, 16.34531, 100.9478, 408.1171, 795.9339, 469.8, 1002.354, 1053.738, 1344.517, 348.0374, 302.0718, 869.1392
