 , C001, C002, C011, C012, C014, C016, C017, C021, C022, C023, C025, C026, C028, C031, C035, C036, C039, C040, C042, C044, C049, C050, C051, C055, C058, C059, C061, C064, C069, C075, C079, C080, C081, C084, C085, C088, C094, C099, C100, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
191.2, 875.1257, 1058.462, 2292.123, 19.34108, 1296.706, 357.3878, 2633.34, 2410.272, 0.2936782, 580.624, 1646.852, 7877.454, 3112.712, 7346.028, 1028.443, 966.2933, 41.86345, 99.06692, 8.974493e-08, 1330.863, 1975.718, 46.16127, 1312.673, 8.195797, 631.4017, 17.91113, 0.5106329, 517.811, 918.4459, 0.01487925, 1435.942, 462.2242, 626.2853, 1043.148, 47.59822, 869.9642, 352.6803, 1686.42, 2903.615, 3.874498
191.3, 926.8531, 1370.718, 2436.528, 18.50023, 1234.713, 342.0028, 2768.101, 2391.58, 0.2809463, 611.0137, 1575.443, 7987.63, 3229.279, 7418.122, 1043.663, 924.2453, 39.62958, 94.57406, 8.591832e-08, 1598.031, 1893.922, 43.9847, 1420.213, 7.844477, 647.5906, 17.09794, 0.48724, 586.1032, 877.8759, 0.01423551, 1473.487, 493.7328, 675.1731, 1144.342, 45.39576, 828.4368, 338.0956, 1674.718, 3038.008, 3.706695
191.4, 1014.62, 1310.645, 2486.839, 17.69594, 1175.684, 327.28, 2653.957, 2555.019, 0.2687664, 585.2637, 1721.695, 8108.939, 3196.908, 7516.694, 1064.863, 968.1485, 37.51491, 90.28496, 8.225488e-08, 1529.043, 1835.744, 41.91075, 1406.805, 7.508216, 736.7535, 16.32166, 0.4649188, 559.3966, 896.1348, 0.01361963, 1403.127, 471.3647, 645.3323, 1141.563, 43.29522, 788.8917, 324.1141, 1810.56, 2945.037, 3.546158
191.5, 1163.015, 1482.271, 2721.868, 16.92662, 1119.477, 313.191, 2849.471, 2444.179, 0.2571145, 626.6696, 1647.04, 7987.101, 3203.993, 7348.454, 1017.245, 972.2892, 153.1403, 86.19038, 7.874764e-08, 1636.118, 1980.649, 39.93459, 1369.596, 7.186369, 700.5764, 15.58064, 0.4436201, 533.9069, 957.5161, 0.01303039, 1449.142, 450.01, 663.4448, 1092.3, 41.29187, 751.2343, 310.7107, 1819.086, 3075.5, 3.392575
191.6, 1113.051, 1436.974, 2607.127, 16.19074, 1213.846, 299.7086, 2802.684, 2348.22, 0.2459678, 648.433, 1729.385, 8014.642, 3356.604, 7461.153, 1206.07, 929.9803, 273.4508, 82.28149, 7.538995e-08, 1631.856, 1909.361, 38.05161, 1323.312, 6.878319, 666.1757, 14.87325, 0.4232972, 509.5787, 962.6449, 0.01246664, 1418.701, 429.6227, 634.1224, 1136.668, 39.38121, 715.3744, 297.8616, 1744.406, 3127.77, 3.245643
191.7, 1133.222, 1395.333, 2569.443, 15.48685, 1264.693, 286.8065, 2924.952, 2499.852, 0.2353043, 621.106, 1745.148, 8192.102, 3423.939, 7473.583, 1177.057, 889.5125, 258.8592, 78.54989, 7.217542e-08, 1774.438, 1830.312, 36.25742, 1295.642, 6.583473, 633.4642, 14.19798, 0.4039053, 627.7535, 965.9357, 0.01192729, 1350.958, 410.1591, 740.2872, 1087.615, 37.55897, 681.2263, 285.5439, 1827.943, 3080.239, 3.105075
191.8, 1180.559, 1440.626, 2915.988, 14.81357, 1204.23, 274.4599, 3001.628, 2450.402, 0.2251031, 594.9307, 1669.476, 8076.385, 3548.781, 7344.12, 1160.998, 929.9903, 245.0463, 74.98751, 6.909796e-08, 1697.835, 2003.931, 34.54782, 1342.198, 6.301267, 602.3589, 13.55337, 0.3854018, 599.1491, 923.2679, 0.01141127, 1335.956, 391.5772, 780.8779, 1109.583, 35.82105, 648.7082, 273.7355, 1854.452, 3057.353, 2.970595
191.9, 1132.805, 1566.73, 2793.063, 14.16955, 1237.543, 262.6447, 2998.133, 2428.52, 0.2153441, 602.134, 1665.144, 8209.703, 3609.385, 7370.533, 1156.563, 948.1545, 231.9704, 71.58669, 6.615172e-08, 1624.539, 2008.696, 32.91884, 1367.33, 6.031157, 572.781, 12.93803, 0.3677459, 571.848, 1122.219, 0.01091757, 1409.455, 373.8372, 779.5889, 1091.892, 34.16354, 617.7424, 262.4155, 1778.32, 3153.85, 2.841939
192, 1084.138, 1721.927, 2793.712, 13.55354, 1178.379, 291.4009, 3001.452, 2356.565, 0.2060083, 597.3277, 1592.941, 8397.202, 3679.982, 7571.879, 1168.027, 941.8621, 219.5922, 68.34011, 6.33311e-08, 1647.886, 2007.75, 31.36667, 1402.172, 5.772626, 544.6555, 12.35062, 0.3508989, 588.8228, 1153.518, 0.01044523, 1342.153, 456.3787, 745.1332, 1075.058, 32.58273, 588.2547, 251.5636, 1823.272, 3098.354, 2.718855
192.1, 1077.371, 1646.462, 2813.643, 12.9643, 1216.613, 278.8565, 2877.686, 2562.039, 0.1970772, 572.1544, 1645.057, 8316.179, 3690.531, 7459.934, 1175.51, 900.8773, 244.7081, 65.24077, 6.063075e-08, 1626.912, 1948.441, 29.88768, 1502.145, 5.525177, 517.9111, 11.78989, 0.3348237, 561.9922, 1102.564, 0.009993332, 1482.98, 435.7029, 751.0956, 1101.865, 31.07507, 560.1746, 241.1605, 1865.691, 3103.38, 2.601102
