 , C000, C001, C003, C004, C005, C006, C007, C008, C010, C012, C013, C015, C016, C018, C021, C026, C029, C032, C033, C034, C037, C038, C040, C041, C042, C043, C044, C047, C050, C051, C053, C054, C061, C062, C065, C066, C068, C070, C071, C074, C076, C084, C086, C093, C100, C108, C111, C122
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
193.2, 530.2399, 1636.497, 3221.763, 47.7319, 1258.235, 0.08968648, 495.732, 396.4164, 992.6932, 1738.795, 463.9681, 439.2124, 2210.477, 3536.366, 154.8289, 648.3278, 832.0569, 3831.663, 3303.199, 1655.658, 611.4814, 4266.931, 2294.139, 4744.209, 1018.217, 2053.739, 3232.247, 6.113349, 4528.95, 1193.334, 2507.786, 2758.97, 8035.519, 1693.291, 3535.812, 711.7463, 972.8744, 2398.819, 1969.358, 2076.927, 1085.51, 3023.36, 2025.084, 870.631, 1187.348, 0.005461592, 0.02163422, 57.6793
193.3, 505.7049, 1985.967, 3129.449, 45.6548, 1191.706, 0.08561652, 473.4314, 457.9085, 962.9704, 1887.745, 441.8404, 463.1123, 2325.349, 3533.09, 147.3716, 644.2115, 847.0037, 3669.526, 3300.649, 2047.045, 671.8924, 4190.817, 2326.082, 4944.431, 969.7982, 1962.671, 3271.594, 5.82273, 4511.864, 1178.75, 2452.556, 2877.947, 7905.735, 1780.174, 3684.211, 836.7969, 929.1663, 2295.824, 1970.736, 2088.445, 1147.411, 3170.017, 2257.577, 831.6646, 1132.957, 0.005212252, 0.02067177, 55.10329
193.4, 660.4261, 2363.762, 2994.327, 43.66808, 1157.246, 0.08173125, 452.1339, 678.9055, 936.6299, 2059.337, 513.2561, 491.3558, 2221.245, 3373.96, 140.2735, 673.0555, 819.631, 3514.25, 3601.426, 2030.502, 643.1641, 4017.5, 2282.781, 4966.748, 923.6817, 1875.641, 3426.14, 5.545926, 4784.25, 1194.488, 2434.387, 2755.282, 7952.958, 1700.803, 3743.932, 798.3644, 1044.48, 2197.251, 2138.27, 2049.714, 1097.399, 3131.879, 2245.044, 794.4421, 1081.058, 0.004974295, 0.01975214, 52.64234
193.5, 629.8671, 2491.143, 3195.09, 41.76782, 1234.809, 0.0780223, 431.7946, 645.9564, 1026.942, 2186.433, 488.7778, 466.8282, 2121.802, 3363.924, 133.5173, 643.4445, 784.1184, 3972.399, 3450.938, 2138.918, 615.6641, 4131.953, 2185.422, 4763.118, 879.7582, 1792.47, 3284.912, 5.282281, 4586.109, 1144.146, 2327.028, 2637.846, 8174.826, 1763.73, 3820.167, 761.6971, 1160.129, 2267.735, 2120.03, 2231.917, 1310.671, 3199.891, 2221.46, 758.8856, 1075.296, 0.004747203, 0.01887342, 50.29129
193.6, 645.3523, 2375.997, 3563.999, 39.95025, 1169.518, 0.07448166, 412.3702, 614.6065, 979.8458, 2259.24, 465.4669, 500.1465, 2075.737, 3424.673, 127.0864, 743.3958, 750.1445, 3944.537, 3306.738, 2094.656, 589.3399, 4120.571, 2249.249, 4844.017, 945.7828, 1893.676, 3144.583, 5.03117, 4637.66, 1173.857, 2393.791, 2759.174, 8087.268, 1685.092, 3660.613, 775.9347, 1108.008, 2170.369, 2029.625, 2138.11, 1253.543, 3124.658, 2236.993, 724.9204, 1170.198, 0.004530477, 0.01803379, 48.04524
193.7, 615.4908, 2352.497, 3487.849, 38.21177, 1120.147, 0.07110169, 393.8196, 665.9085, 934.9091, 2174.632, 617.0396, 475.1801, 2202.05, 3353.658, 120.9654, 766.6392, 717.6425, 3932.832, 3361.068, 1982.815, 564.1413, 4193.021, 2153.321, 4823.663, 921.9407, 1842.13, 3278.923, 90.4314, 4737.808, 1124.385, 2373.044, 2948.41, 7922.976, 1609.961, 3707.479, 781.4182, 1135.036, 2323.495, 2113.442, 2239.867, 1198.905, 2991.205, 2140.22, 692.4755, 1116.593, 0.004323646, 0.01723152, 45.8995
193.8, 620.9296, 2300.143, 3568.721, 36.54895, 1060.919, 0.0678751, 376.1036, 633.5903, 892.0332, 2230.311, 587.6116, 451.4599, 2261.578, 3227.033, 115.1391, 732.9109, 740.4951, 3766.414, 3230.962, 1876.947, 540.0201, 4114.452, 2295.307, 4994.204, 878.1, 1970.903, 3333.737, 86.13243, 4680.477, 1076.998, 2511.572, 2822.742, 8172.766, 1639.217, 3799.136, 745.5292, 1236.985, 2332.411, 2145.042, 2145.726, 1146.648, 2911.793, 2218.683, 776.3516, 1089.799, 0.004126257, 0.01646494, 43.84959
193.9, 622.0561, 2193.826, 3669.567, 34.95848, 1155.754, 0.06479494, 359.1845, 602.8405, 914.8336, 2217.603, 559.587, 461.274, 2274.144, 3318.937, 109.5935, 700.6666, 708.4112, 3648.556, 3144.462, 1851.257, 516.9303, 3950.765, 2249.314, 4789.448, 959.72, 1967.493, 3394.938, 82.03783, 4771.061, 1091.767, 2400.808, 2825.868, 8176.856, 1722.965, 3791.32, 711.2885, 1252.693, 2373.376, 2148.747, 2157.384, 1096.669, 3114.771, 2122.701, 950.588, 1039.876, 0.00393788, 0.01573246, 41.89124
194, 650.722, 2178.504, 3674.912, 33.43723, 1094.643, 0.06185455, 343.0265, 573.5831, 916.2563, 2114.228, 589.5803, 533.1129, 2172.333, 3286.793, 104.3149, 802.3162, 677.7175, 3769.727, 3356.174, 2177.306, 494.8277, 4249.984, 2466.146, 4664.513, 1000.008, 2085.256, 3249.909, 78.13788, 4638.758, 1045.755, 2294.929, 2989.541, 7975.639, 1771.569, 3780.114, 678.6204, 1196.413, 2353.758, 2089.283, 2180.661, 1048.868, 2998.899, 2030.872, 1091.997, 1025.39, 0.003758103, 0.01503256, 40.02034
194.1, 620.612, 2077.81, 3956.531, 31.98217, 1036.763, 0.0590476, 327.5954, 677.9821, 1148.242, 2233.698, 717.3377, 506.5008, 2226.154, 3152.048, 99.29064, 767.0183, 648.3536, 3724.133, 3215.934, 2061.053, 473.6702, 4139.608, 2395.801, 4799.455, 1218.765, 2087.145, 3175.586, 74.42332, 4661.108, 1100.501, 2278.02, 2906.373, 8208.425, 1692.581, 3781.771, 917.0033, 1412.799, 2252.698, 2000.189, 2187.706, 1250.866, 2990.978, 1986.723, 1157.325, 1052.642, 0.003586533, 0.01436381, 38.233
