 , C000, C003, C005, C006, C007, C012, C013, C014, C015, C016, C018, C019, C020, C021, C022, C023, C024, C027, C028, C029, C030, C034, C035, C036, C039, C040, C042, C043, C053, C057, C058
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
209.3, 338.31, 325.6345, 1288.263, 655.4602, 456.2014, 1154.397, 1715.678, 549.5095, 588.4605, 1420.284, 949.7114, 3591.013, 587.2762, 549.9999, 959.6841, 3005.375, 382.3957, 1501.389, 2974.09, 754.0461, 531.1772, 897.5057, 929.1265, 1141.811, 847.8225, 519.7403, 500.0865, 763.2816, 1288.389, 443.1436, 531.7168
209.4, 324.0607, 309.6203, 1231.517, 624.8382, 435.1995, 1099.292, 1661.271, 536.744, 664.7261, 1344.222, 900.0853, 3647.609, 861.4966, 516.4947, 916.5278, 3028.162, 363.093, 1437.123, 2889.828, 715.6503, 502.243, 844.5879, 874.2512, 1078.991, 805.6096, 493.9492, 473.8484, 717.9547, 1524.004, 422.5642, 502.0274
209.5, 310.6615, 294.3937, 1177.271, 595.6468, 415.1644, 1046.817, 1588.301, 510.073, 632.8619, 1272.233, 853.0524, 3488.746, 790.8566, 485.0306, 875.3123, 2901.452, 344.7648, 1375.608, 2985.442, 679.2097, 474.8848, 794.7902, 862.6265, 1019.627, 842.5253, 469.4379, 448.987, 675.3196, 1857.998, 402.9406, 473.9958
209.6, 297.5767, 279.9159, 1125.415, 567.8192, 396.0517, 996.8475, 1518.537, 484.7272, 675.6189, 1285.668, 808.4772, 3434.912, 726.0089, 455.4832, 885.535, 2852.078, 327.3617, 1367.649, 3050.151, 644.6245, 449.0168, 747.9286, 811.6787, 963.5294, 800.576, 446.1429, 460.1306, 635.2163, 1871.892, 384.2282, 447.5294
209.7, 285.0431, 266.1501, 1075.842, 541.2916, 377.8188, 1038.753, 1451.836, 460.6409, 643.2325, 1237.456, 766.2311, 3285.312, 716.1863, 427.7358, 884.4039, 2869.204, 310.837, 1381.226, 3059.476, 611.8005, 424.558, 703.83, 763.74, 910.518, 760.7155, 454.8734, 435.9889, 604.098, 1761.784, 366.3849, 422.5408
209.8, 273.0374, 253.0612, 1028.453, 516.0033, 360.4254, 989.1682, 1536.375, 437.7515, 612.3986, 1171.185, 832.1736, 3142.228, 1027.443, 401.6788, 844.633, 2749.145, 295.1465, 1322.104, 2996.403, 580.6478, 401.4314, 662.3315, 718.6326, 860.4232, 722.8396, 511.6817, 495.8192, 568.2241, 1658.152, 349.3702, 505.9198
209.9, 261.5373, 240.6161, 983.1516, 491.8965, 343.8326, 941.9502, 1468.891, 415.9995, 700.9788, 1351.608, 788.6894, 3005.376, 943.1954, 377.2091, 948.5641, 2929.801, 280.2481, 1392.122, 2965.716, 551.0814, 379.5646, 623.2798, 676.1893, 1032.067, 686.8495, 486.2904, 469.805, 577.9496, 1782.028, 333.1456, 477.6709
210, 339.2406, 228.783, 939.8456, 468.9159, 328.0038, 1026.242, 1679.792, 580.0036, 667.3768, 1397.019, 747.4774, 2874.484, 865.8564, 354.23, 961.2029, 2807.206, 266.1017, 1341.548, 2842.399, 523.0206, 358.889, 586.5306, 846.4483, 1038.962, 652.6514, 555.2851, 445.1556, 543.6286, 1958.062, 317.6745, 539.9103
210.1, 324.9521, 231.4095, 926.966, 447.0089, 312.9036, 1054.888, 1606.009, 551.183, 635.3854, 2016.832, 708.4188, 2787.417, 1005.284, 351.8269, 917.9783, 2744.397, 252.6693, 1377.473, 2983.931, 589.6927, 410.4514, 551.9482, 888.8865, 981.8009, 620.156, 527.7301, 421.7996, 528.078, 1914.288, 302.9219, 509.7634
210.2, 311.2655, 246.4652, 1032.806, 471.6095, 298.4986, 1004.533, 1535.467, 523.7945, 604.9277, 1967.835, 671.4012, 2666.018, 922.8535, 330.3941, 915.6593, 3109.722, 239.915, 1318.512, 2919.908, 559.6658, 388.0933, 638.0064, 954.3511, 927.7843, 589.2785, 501.5425, 399.669, 496.7185, 1878.606, 288.8543, 592.5472
210.3, 298.1553, 363.37, 1165.633, 586.6429, 284.7568, 956.5812, 1468.023, 497.7669, 575.9299, 2004.045, 636.3179, 2761.652, 969.3832, 335.8898, 874.4828, 2979.598, 227.8045, 1510.25, 3138.956, 659.9306, 366.9531, 600.3889, 946.795, 876.7396, 559.9384, 532.5829, 432.9146, 590.2265, 1768.102, 275.4401, 559.4612
210.4, 348.2809, 358.5155, 1374.434, 559.2359, 271.6476, 910.9188, 1747.142, 475.0052, 548.3222, 2017.237, 901.0746, 3007.324, 995.2353, 315.4279, 847.4038, 2859.986, 616.9834, 1500.202, 3261.939, 626.3271, 486.5332, 564.9894, 890.8762, 1073.138, 753.4926, 506.1545, 492.6688, 555.1764, 1664.098, 262.6488, 547.5266
210.5, 333.6117, 340.8843, 1725.161, 593.5696, 327.0052, 867.436, 1675.686, 451.402, 522.0379, 1926.89, 943.6821, 3118.36, 980.9296, 296.2124, 850.3222, 3206.647, 897.5849, 1743.095, 3169.569, 824.9487, 461.6335, 531.6771, 838.2599, 1093.126, 853.9241, 616.576, 583.6785, 522.2077, 1566.212, 250.4515, 516.9545
210.6, 319.5603, 447.6351, 1887.146, 823.6174, 311.951, 904.0203, 1602.083, 570.5101, 497.0135, 2027.303, 953.5195, 3158.608, 1128.73, 278.1676, 1038.195, 3362.258, 1035.018, 1791.503, 3177.283, 813.4772, 436.4874, 500.3289, 788.7513, 1032.985, 811.4073, 758.1382, 553.0546, 535.5289, 1474.084, 238.8207, 488.0894
210.7, 399.7379, 425.6212, 1940.967, 1019.419, 297.5899, 937.0175, 1953.377, 597.2489, 544.3439, 1927.425, 903.6944, 3425.564, 1115.185, 294.2418, 991.5079, 3221.567, 1080.939, 1902.706, 3367.393, 823.6293, 483.7076, 470.829, 742.1667, 976.1522, 790.601, 939.5251, 594.5451, 703.4287, 1460.152, 227.73, 460.836
210.8, 382.9013, 404.6898, 1947.716, 1180.472, 384.4651, 892.2889, 2001.367, 567.5714, 652.5173, 1824.204, 1018.359, 3341.82, 1083.446, 276.317, 1037.475, 3185.338, 1164.263, 2072.164, 3403.751, 867.4503, 457.359, 577.8389, 698.3335, 922.4464, 823.7122, 892.903, 563.351, 661.6562, 1374.262, 217.1543, 435.1044
210.9, 366.7739, 519.5217, 2225.054, 1283.617, 366.7657, 852.405, 1947.592, 539.3685, 621.2383, 1726.51, 965.1461, 3196.274, 994.607, 259.4842, 1184.084, 3369.306, 1105.493, 2071.937, 3288.654, 823.28, 432.4458, 543.7689, 717.9622, 1074.958, 782.6996, 943.3347, 766.9725, 877.6183, 1293.425, 207.0698, 410.8096
211, 351.3258, 628.9552, 2244.493, 1490.544, 349.8811, 811.7154, 1862.046, 626.5333, 591.4587, 1743.581, 1077.959, 3243.63, 913.0524, 243.6768, 1130.837, 3588.048, 1129.247, 1983.25, 3328.024, 1004.366, 408.8896, 511.7078, 1023.774, 1086.713, 794.0621, 1008.328, 726.7317, 825.5017, 1350.815, 197.4536, 387.8713
211.1, 336.5283, 598.0242, 2238.284, 1451.95, 409.3123, 792.4661, 1914.667, 595.4006, 642.204, 1858.343, 1075.215, 3686.637, 838.1849, 228.8324, 1079.984, 3616.479, 1198.987, 2167.365, 3302.291, 953.2236, 386.6165, 481.537, 963.3088, 1267.455, 918.9388, 958.2911, 716.3568, 776.48, 1357.833, 188.284, 366.2138
211.2, 377.6823, 568.6143, 2385.401, 1384.117, 397.1959, 754.6377, 2065.102, 608.1797, 721.177, 1758.821, 1415.737, 3526.074, 898.5616, 214.8922, 1096.433, 3511.604, 1138.464, 2282.095, 3275.311, 904.6858, 413.9141, 453.1451, 906.4147, 1197.722, 873.1849, 1031.796, 678.7717, 730.3694, 1307.013, 179.5401, 345.7656
