 , C000, C001, C002, C003, C004, C006, C008, C009, C010, C011, C012, C013, C014, C022, C024, C025, C029, C030, C031, C033, C034, C035, C038, C039, C040, C043, C050, C051, C053, C054, C055, C057, C059, C062, C068, C070, C074, C076, C080, C090, C095, C096, C100, C117
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
277.4, 0.640941, 738.9744, 518.4672, 494.2986, 44.13298, 1009.243, 1563.393, 309.442, 480.4629, 1108.959, 980.0518, 354.979, 494.5638, 3945.669, 1132.572, 0.5052971, 239.2725, 93.85604, 2010.997, 1541.712, 853.9941, 1430.234, 2038.907, 1391.435, 506.2105, 0.5330665, 189.4646, 187.607, 429.6062, 1429.459, 943.0895, 1489.414, 1190.776, 244.316, 0.01591833, 767.1743, 2401.067, 0.1732976, 2179.331, 1276.253, 181.4804, 551.3561, 0.0005437027, 1541.481
277.5, 0.6104873, 824.0909, 491.887, 470.642, 42.04549, 959.8314, 1490.832, 294.6281, 457.6976, 1091.276, 1027.542, 392.152, 471.333, 4253.992, 1082.047, 0.4827906, 228.0628, 88.4443, 2093.982, 1475.569, 1012.155, 1412.22, 2099.098, 1411.692, 477.5178, 0.5105136, 179.6422, 179.4821, 411.2439, 1370.057, 903.773, 1641.89, 1258.81, 234.0838, 0.01524184, 730.691, 2372.726, 0.1653919, 2150.825, 1373.485, 173.5715, 524.4388, 0.0005167971, 1469.574
277.6, 0.5814807, 785.486, 466.6695, 448.1176, 40.05674, 1063.794, 1494.476, 280.5234, 631.7226, 1062.287, 975.4233, 373.8403, 449.1935, 4451.707, 1128.996, 0.4612865, 217.3782, 83.3446, 2096.846, 1502.29, 960.3741, 1455.358, 2011.527, 1370.751, 450.4513, 0.4889149, 170.329, 171.709, 393.6665, 1474.042, 956.5559, 1568.753, 1249.994, 224.2801, 0.01459409, 695.9426, 2402.295, 0.1578469, 2115.937, 1303.942, 166.0073, 498.8355, 0.0004912228, 1401.021
277.7, 0.5538523, 748.6895, 442.7448, 426.6711, 38.16206, 1011.711, 1571.484, 334.653, 601.7903, 1070.701, 925.9478, 356.3836, 467.0471, 4724.35, 1244.615, 0.4407403, 207.1943, 78.53894, 2007.288, 1533.959, 911.242, 1493.828, 2044.984, 1312.135, 424.9191, 0.4682299, 161.4986, 164.2726, 376.8404, 1487.753, 916.678, 1679.706, 1274.324, 214.887, 0.01397387, 725.7159, 2358.484, 0.1506461, 2097.528, 1265.524, 158.7727, 474.4823, 0.0004669141, 1540.749
277.8, 0.5275366, 713.6167, 420.0467, 406.2511, 36.35699, 1106.444, 1592.305, 318.6322, 573.2762, 1226.457, 878.9818, 339.7421, 513.343, 4790.36, 1320.645, 0.4211092, 197.4874, 74.01038, 2059.24, 1524.322, 989.3177, 1415.845, 1959.671, 1319.567, 400.834, 0.4484201, 153.126, 157.1583, 360.7335, 1425.753, 878.4626, 1659.838, 1220.94, 205.8873, 0.01338001, 691.2041, 2370.341, 0.1437738, 2083.491, 1221.655, 151.8534, 451.3179, 0.0004438084, 1558.343
277.9, 0.5024713, 721.6434, 398.5122, 386.8084, 34.63731, 1092.996, 1571.599, 303.3783, 546.1132, 1166.444, 834.3981, 374.9091, 489.2301, 4949.739, 1271.239, 0.4023525, 307.8198, 69.74294, 2150.67, 1458.926, 1113.741, 1438.454, 2006.007, 1440.277, 378.1141, 0.4294485, 145.1875, 150.352, 345.315, 1460.174, 904.5358, 1616.66, 1242.128, 197.2645, 0.01281139, 658.3336, 2371.55, 0.137215, 2081.883, 1270.353, 145.2357, 429.2845, 0.0004218461, 1485.649
278, 0.4785969, 687.8376, 487.3005, 368.2962, 32.99896, 1061.391, 1586.562, 288.8547, 520.2372, 1109.368, 792.0757, 357.4025, 466.2499, 4841.413, 1293.068, 0.3844312, 344.6206, 65.72157, 2058.813, 1396.334, 1056.763, 1429.413, 1983.238, 1397.892, 356.6821, 0.4112794, 137.6606, 143.8405, 330.5555, 1563.167, 927.9728, 1620.008, 1190.093, 189.0028, 0.01226693, 667.2111, 2313.804, 0.1309554, 2110.323, 1206.032, 138.9063, 408.3267, 0.0004009706, 1625.949
278.1, 0.4558569, 689.9329, 462.3181, 350.6699, 31.43811, 1061.069, 1595.491, 275.0264, 495.5873, 1055.085, 751.9, 340.7134, 540.0893, 4941.225, 1270.943, 0.3673082, 328.4754, 61.93206, 2050.321, 1409.264, 1002.7, 1354.793, 1953.895, 1400.959, 336.4648, 0.3938791, 130.5238, 137.6111, 316.4268, 1488.268, 889.2865, 1547.845, 1205.564, 181.0872, 0.01174561, 667.8323, 2463.338, 0.1249813, 2021.945, 1262.464, 132.8528, 388.3921, 0.0003811282, 1718.655
278.2, 0.4341973, 657.6126, 438.6165, 333.8872, 29.95109, 1009.12, 1521.441, 317.4397, 472.1054, 1003.457, 713.762, 324.8036, 531.6008, 4729.037, 1231.874, 0.3509479, 313.0866, 58.36105, 2099.787, 1348.803, 951.4022, 1371.931, 1923.922, 1372.201, 317.3935, 0.3772149, 123.757, 131.6514, 302.9021, 1456.168, 852.213, 1527.306, 1155.06, 173.503, 0.01124644, 636.0732, 2376.085, 0.1192798, 2066.372, 1198.542, 127.0631, 369.4307, 0.0003622676, 1841.909
278.3, 0.4135669, 626.8064, 442.8518, 317.9078, 28.5344, 959.7148, 1588.835, 322.082, 449.7361, 954.3563, 677.5585, 309.6368, 549.8919, 4817.438, 1239.551, 0.3353162, 298.4188, 54.99595, 2064.588, 1488.041, 902.7291, 1368.422, 2010.467, 1457.544, 299.4031, 0.3612557, 117.3411, 125.9498, 289.9554, 1512.15, 858.6044, 1505.458, 1209.993, 166.2365, 0.01076849, 633.3837, 2383.209, 0.1138384, 2071.561, 1137.856, 121.5257, 351.395, 0.0003443404, 1755.988
278.4, 0.3939167, 689.0066, 506.1084, 302.6931, 27.18473, 1097.137, 1567.646, 352.1373, 428.4267, 1020.899, 707.2515, 295.1781, 524.0623, 4691.192, 1266.818, 0.3203808, 284.4381, 51.82488, 2048.121, 1488.412, 856.5461, 1343.15, 1999.061, 1454.104, 393.6617, 0.3459718, 111.2578, 120.4951, 277.5621, 1459.346, 822.8101, 1455.531, 1159.304, 159.2743, 0.01031085, 603.2628, 2332.248, 0.1086452, 2030.607, 1080.244, 116.2296, 334.2398, 0.0003273004, 1744.561
278.5, 0.3752002, 656.7297, 480.1618, 288.2065, 25.89889, 1043.422, 1583.26, 335.2794, 408.1269, 1086.832, 671.3783, 281.3946, 522.4697, 4683.93, 1210.304, 0.3061107, 271.1125, 48.83665, 2034.45, 1435.892, 812.7258, 1323.64, 1973.642, 1522.353, 692.8158, 0.3313345, 105.4898, 115.2767, 265.6985, 1389.422, 788.5079, 1478.005, 1180.298, 152.6037, 0.009872662, 617.5278, 2403.462, 0.1036889, 1967.67, 1025.548, 111.1644, 317.9221, 0.0003111036, 1795.084
278.6, 0.357373, 625.9648, 455.5454, 274.4133, 24.67387, 992.3372, 1509.777, 358.8433, 388.789, 1033.651, 715.2802, 268.2548, 497.9281, 4654.529, 1156.311, 0.2924762, 258.4111, 46.02073, 1988.385, 1444.87, 771.1473, 1427.089, 1960.985, 1457.255, 653.546, 0.3173164, 100.0209, 110.2842, 254.342, 1337.271, 755.6357, 1429.536, 1130.853, 146.2125, 0.009453094, 626.7283, 2459.082, 0.09895875, 1941.79, 1159.585, 106.3198, 302.4011, 0.0002957083, 1711.347
278.7, 0.3403928, 669.0062, 475.8969, 261.2802, 23.5068, 943.7532, 1439.705, 365.9627, 370.3674, 983.0725, 678.9997, 324.1414, 517.0048, 4576.729, 1258.886, 0.279449, 246.3047, 43.36718, 1966.714, 1400.868, 731.696, 1352.59, 1879.176, 1480.726, 616.502, 0.3038915, 94.83554, 105.508, 243.4709, 1333.582, 775.0413, 1449.937, 1206.58, 140.089, 0.009051356, 678.4845, 2381.579, 0.09444435, 1860.47, 1100.872, 101.6864, 287.6378, 0.0002810749, 1657.047
