 , C000, C001, C002, C006, C008, C009, C010, C011, C013, C016, C017, C018, C020, C026, C030, C033, C034, C038, C039, C040, C045, C053, C055, C056, C063, C064, C083, C085, C086, C089, C091, C094, C095, C098, C107, C121, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
43.6, 140.5506, 16.61463, 1098.38, 613.8223, 67.21065, 1371.608, 1518.095, 238.5787, 754.012, 169.9763, 538.7684, 664.4786, 1436.319, 356.2387, 266.1315, 853.099, 893.49, 382.1663, 790.5112, 101.8711, 30.87191, 1026.53, 46.48435, 955.8414, 1515.643, 1583.52, 1314.075, 1545.807, 1613.193, 481.657, 999.7722, 453.9174, 496.61, 1143.661, 1441.673, 2880.133, 2529.437
43.7, 134.4429, 15.91353, 1052.203, 588.6932, 64.37428, 1374.08, 1469.778, 228.081, 720.9656, 162.9608, 516.3394, 635.8376, 1499.418, 356.2386, 254.1694, 1055.45, 853.2827, 503.6827, 755.0475, 97.40123, 29.62637, 1012.193, 44.5433, 966.6255, 1448.358, 1578.294, 1306.712, 1706.888, 1715.88, 457.5981, 956.1101, 466.4891, 493.8338, 1115.913, 1418.991, 2926.774, 2603.102
43.8, 128.6007, 15.24201, 1012.038, 620.9781, 61.65761, 1308.074, 1425.581, 218.0452, 689.3675, 156.2349, 494.844, 608.4311, 1511.612, 410.4915, 374.5218, 1007.702, 925.4541, 481.422, 825.5673, 93.12753, 28.43108, 968.1092, 42.6833, 923.9933, 1384.06, 1505.86, 1251.015, 1632.676, 1643.286, 434.7411, 1039.637, 476.0168, 471.4718, 1231.824, 1402.653, 2806.028, 2603.513
43.9, 123.0124, 14.59883, 1020.779, 595.5562, 86.88893, 1245.239, 1361.328, 208.4509, 738.0674, 149.7865, 474.2435, 582.2059, 1446.147, 393.734, 363.4374, 962.113, 883.8084, 460.1451, 788.531, 89.04134, 27.28402, 1009.655, 40.90097, 966.0612, 1420.205, 1478.624, 1197.693, 1561.69, 1573.763, 515.1387, 1012.703, 455.913, 458.2412, 1178.637, 1341.953, 2906.173, 2577.424
44, 117.6668, 13.98279, 977.8642, 655.7911, 83.22211, 1270.25, 1420.751, 199.2788, 705.7197, 143.6044, 454.5005, 557.1111, 1383.518, 482.4897, 347.1016, 988.3579, 888.1772, 439.8086, 753.1562, 85.13445, 26.18323, 965.6816, 39.19306, 1068.877, 1385.653, 1410.764, 1295.723, 1493.791, 1726.273, 555.3281, 987.4036, 436.6583, 521.6843, 1127.746, 1324.806, 2866.154, 2579.822
44.1, 112.5536, 13.39275, 1139.214, 628.9439, 79.71004, 1258.799, 1407.473, 190.5103, 722.0164, 137.6773, 435.5795, 533.098, 1323.601, 475.5868, 355.0725, 993.8564, 848.209, 420.3708, 719.3685, 81.39899, 25.12685, 923.6235, 37.55647, 1021.735, 1552.401, 1346.018, 1240.495, 1518.348, 1653.239, 527.5894, 981.4644, 418.2167, 498.0612, 1156.825, 1267.474, 2912.298, 2506.097
44.2, 107.6626, 12.8276, 1091.32, 603.1958, 76.34619, 1271.813, 1436.265, 182.1277, 690.3723, 131.9949, 417.4462, 569.981, 1341.847, 456.1719, 339.1127, 1083.267, 874.1689, 401.7921, 687.0964, 77.82742, 24.1131, 883.3972, 35.98822, 976.6719, 1530.433, 1390.1, 1187.62, 1534.644, 1583.295, 501.2363, 1163.339, 400.554, 475.5078, 1106.875, 1212.624, 2900.645, 2551.048
44.3, 102.9841, 12.2863, 1131.752, 578.5018, 73.12429, 1287.63, 1434.059, 174.1138, 674.2899, 181.994, 400.0678, 545.4131, 1342.131, 437.5496, 355.9264, 1209.174, 834.8311, 384.0346, 656.2722, 74.41256, 23.14024, 1018.76, 34.48546, 933.5966, 1512.322, 1449.456, 1136.999, 1467.92, 1648.729, 617.2556, 1237.073, 383.6372, 453.9757, 1134.391, 1371.963, 2986.761, 2673.021
44.4, 98.50894, 12.12133, 1084.172, 597.2513, 121.1072, 1273.628, 1369.424, 201.4977, 683.2389, 174.4825, 383.4128, 558.3297, 1321.395, 449.7803, 388.52, 1372.91, 902.8953, 367.0618, 830.4836, 71.14754, 22.20664, 1003.332, 33.04544, 963.1367, 1544.574, 1382.935, 1222.035, 1404.098, 1635.8, 702.01, 1252.87, 429.0983, 539.8856, 1085.41, 1312.591, 3225.926, 2782.568
44.5, 94.22823, 11.60984, 1081.865, 572.8007, 131.2418, 1212.448, 1394.651, 192.6316, 738.1364, 167.2811, 369.3749, 538.0625, 1297.874, 431.4189, 413.2307, 1474.888, 862.2648, 350.8392, 793.2268, 68.02577, 21.3107, 1109.278, 31.66556, 920.6583, 1536.369, 1417.251, 1190.279, 1343.05, 1566.594, 666.9445, 1291.424, 410.976, 529.9606, 1129.563, 1288.825, 3398.021, 3054.458
