 , C000, C005, C006, C007, C008, C010, C015, C016, C018, C019, C020, C021, C027, C028, C030, C031, C032, C033, C036, C044, C048, C049, C053, C057, C059, C063, C064, C066, C069, C070, C075, C076, C077, C078, C083, C102, C103, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
79.2, 2270.185, 427.6815, 1788.38, 1251.01, 548.4897, 305.7254, 1258.359, 334.5483, 1528.866, 2392.774, 696.692, 692.8355, 634.6679, 555.4757, 943.6531, 672.8083, 1833.102, 1212.755, 28.03095, 2579.072, 647.5667, 2397.127, 259.6447, 1378.928, 752.8849, 585.6111, 2582.095, 2385.039, 345.9866, 1204.842, 1582.907, 1967.604, 345.749, 2365.767, 2151.2, 904.7435, 732.8638, 1252.431
79.3, 2171.472, 409.4997, 1752.293, 1362.796, 523.5154, 293.1009, 1206.502, 338.0424, 1538.548, 2456.471, 667.6981, 804.6143, 606.397, 531.4453, 964.0989, 643.9074, 1960.689, 1180.199, 26.46606, 2445.088, 614.8557, 2383.14, 246.564, 1360.869, 864.6019, 558.5997, 2476.018, 2321.439, 330.7343, 1152.65, 1512.727, 1879.681, 329.1124, 2268.779, 2047.532, 857.8292, 849.2697, 1197.661
79.40000000000001, 2077.052, 392.0908, 1674.967, 1292.907, 499.6783, 333.5027, 1169.07, 332.0681, 1529.997, 2736.55, 639.9108, 768.5449, 579.3854, 508.4544, 916.3901, 616.248, 1879.984, 1132.238, 49.21183, 2537.39, 670.2245, 2383.702, 234.1423, 1300.947, 1058.146, 532.8341, 2470.479, 2300.784, 316.1544, 1102.719, 1445.658, 1882.743, 313.2762, 2334.913, 2215.029, 813.3475, 807.7576, 1286.488
79.5, 2179.598, 375.422, 1629.297, 1257.623, 476.9265, 442.6154, 1120.893, 383.0325, 1468.19, 2619.136, 677.7239, 734.0925, 553.577, 486.4582, 937.6815, 589.7767, 1802.601, 1187.447, 53.26416, 2405.571, 636.3691, 2546.352, 222.3464, 1243.662, 1010.437, 609.1345, 2368.987, 2263.79, 302.2173, 1097.928, 1443.773, 1798.612, 298.2021, 2357.345, 2152.118, 821.0187, 849.3708, 1284.988
79.59999999999999, 2137.137, 359.4618, 1675.194, 1431.215, 455.2106, 424.3383, 1113.458, 365.3934, 1408.88, 2506.759, 702.4099, 750.0869, 528.9182, 465.4135, 891.2799, 564.4424, 1728.403, 1139.191, 115.0053, 2444.318, 701.9363, 2481.097, 211.1447, 1249.205, 964.8792, 691.5054, 2409.237, 2157.674, 288.8945, 1094.744, 1532.458, 1976.929, 439.9943, 2316.038, 2142.887, 927.7066, 873.4863, 1252.202
79.7, 2044.209, 344.1802, 1601.27, 1395.074, 434.4836, 406.8159, 1083.701, 348.5666, 1351.966, 2399.204, 673.178, 716.4619, 505.3578, 445.2793, 923.4279, 585.0784, 1657.26, 1249.489, 108.5849, 2317.335, 824.5251, 2377.624, 200.5074, 1317.766, 921.3754, 1020.918, 2310.261, 2070.139, 276.1591, 1047.321, 1518.918, 2148.394, 456.6292, 2280.098, 2071.007, 879.6016, 830.7905, 1265.887
79.8, 1955.322, 329.5482, 1530.608, 1447.726, 414.7003, 486.5481, 1039.042, 332.5147, 1297.351, 2296.264, 645.1627, 684.3442, 482.8469, 426.0161, 957.6409, 559.946, 1589.045, 1198.712, 102.5229, 2196.948, 782.8754, 2462.111, 190.406, 1259.742, 879.8331, 1101.615, 2215.351, 2072.446, 263.985, 1029.565, 1451.575, 2233.136, 434.6572, 2277.502, 2153.075, 927.7488, 860.9084, 1265.321
79.90000000000001, 1944.593, 315.5382, 1557.654, 1373.482, 395.8178, 500.0895, 1098.282, 317.2021, 1244.942, 2217.342, 618.3133, 653.6663, 461.3387, 407.5862, 910.2516, 535.8931, 1674.386, 1149.999, 96.79933, 2082.816, 743.3295, 2384.686, 364.4141, 1204.272, 840.1639, 1062.061, 2211.379, 2063.187, 252.3477, 984.9651, 1456.281, 2186.708, 413.7424, 2361.024, 2049.316, 879.6416, 878.0217, 1209.987
80, 1860.037, 302.1239, 1619.702, 1303.046, 377.795, 479.4391, 1118.775, 302.5945, 1262.329, 2241.622, 592.5812, 624.3636, 440.7887, 389.9536, 865.2075, 512.8735, 1765.845, 1103.265, 91.39529, 2131.429, 705.7812, 2303.524, 362.1972, 1219.771, 802.2832, 1040.698, 2311.27, 1993.307, 241.2233, 955.303, 1391.715, 2121.415, 504.1102, 2284.435, 1950.558, 922.6642, 835.1043, 1225.393
80.09999999999999, 1993.675, 289.2798, 1578.562, 1311.363, 360.593, 481.1736, 1072.671, 288.6597, 1211.335, 2155.135, 567.9201, 596.3746, 421.154, 373.0838, 822.3923, 549.9503, 1833.22, 1260.485, 120.0859, 2072.516, 670.1296, 2382.823, 343.95, 1166.061, 766.1104, 992.6959, 2334.062, 1899.871, 230.5894, 1057.156, 1531.826, 2026.619, 479.8535, 2272.095, 1971.814, 874.8207, 794.2847, 1361.354
80.2, 2041.489, 276.9818, 1508.903, 1244.113, 344.1741, 497.8323, 1074.749, 275.3666, 1162.401, 2202.918, 544.2853, 569.6402, 402.3939, 356.9438, 781.6958, 526.3268, 1757.762, 1209.261, 113.3818, 2103.741, 636.279, 2283.448, 419.2339, 1114.716, 731.5686, 1023.201, 2238.174, 1892.004, 220.4242, 1011.362, 1463.911, 2029.295, 456.764, 2178.946, 1977.812, 829.4579, 755.4603, 1450.366
80.3, 1952.72, 265.2066, 1560.851, 1230.995, 328.5029, 512.576, 1030.459, 262.6857, 1207.101, 2256.17, 521.634, 605.2076, 384.4695, 341.5021, 822.3941, 534.3404, 1784.039, 1160.119, 107.052, 1994.451, 604.1382, 2407.146, 398.1132, 1184.437, 698.5842, 976.0053, 2185.195, 1853.888, 210.7072, 1080.824, 1399.006, 2046.325, 434.7856, 2226.757, 1986.997, 872.1499, 758.6368, 1524.824
