 , C000, C001, C002, C003, C004, C006, C007, C009, C010, C011, C012, C014, C016, C019, C022, C024, C025, C026, C027, C028, C029, C030, C034, C035, C041, C043, C046, C047, C048, C055, C057, C060, C061, C077, C086, C088, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
156.6, 466.0191, 566.8617, 163.0327, 952.7709, 37.42848, 51.95924, 347.226, 562.5475, 317.6698, 340.2878, 396.9433, 0.0275627, 297.2821, 276.4936, 1131.702, 561.8365, 903.974, 2000.762, 0.08802043, 2118.174, 602.7331, 4904.28, 574.9611, 3217.861, 1547.588, 3.495074e-05, 3416.368, 3125.106, 744.3369, 194.6809, 2328.594, 1735.039, 141.9121, 1979.413, 1286.497, 51.26971, 1195.801
156.7, 504.5033, 540.1465, 155.8562, 952.902, 35.68113, 49.39308, 373.9624, 569.5087, 302.4841, 322.9282, 377.1245, 0.02629662, 284.0278, 261.9804, 1112.626, 536.2884, 881.0693, 2021.396, 0.08432404, 2218.454, 649.3781, 4823.456, 548.3416, 3215.991, 1474.684, 3.322773e-05, 3383.298, 3028.277, 709.0948, 376.4002, 2362.644, 1709.181, 135.1973, 1897.352, 1225.616, 48.96634, 1241.245
156.8, 480.7523, 514.6904, 148.9956, 951.3167, 34.01536, 46.95365, 358.3663, 542.6636, 288.0242, 346.8109, 421.3214, 0.02508869, 271.3643, 248.229, 1063.809, 511.902, 940.7209, 1932.96, 0.08078288, 2482.242, 711.5818, 4792.038, 522.9545, 3079.495, 1503.459, 3.158967e-05, 3333.738, 3030.925, 778.4476, 360.0408, 2389.832, 1748.627, 128.8002, 1904.601, 1167.616, 46.76645, 1183.706
156.9, 458.1196, 490.434, 142.4369, 908.6976, 32.42736, 44.6347, 343.4207, 517.0839, 274.2556, 449.2867, 400.2854, 0.02393625, 259.2655, 235.1994, 1017.133, 488.6245, 935.5427, 1952.274, 0.07739042, 2428.791, 677.9457, 4724.112, 498.7428, 3015.054, 1548.387, 3.003236e-05, 3338.498, 2898.617, 750.3821, 344.3924, 2285.812, 1704.094, 122.7058, 1831.534, 1112.361, 44.6654, 1192.911
157, 578.5598, 467.3208, 136.167, 867.9879, 30.91349, 42.43029, 329.0984, 492.71, 261.1452, 426.3666, 380.2997, 0.02283675, 247.7061, 284.2566, 972.505, 542.0936, 894.3058, 1936.588, 0.07414044, 2412.667, 645.8997, 4771.59, 587.9459, 3050.295, 1475.446, 2.855183e-05, 3196.229, 3020.368, 828.6478, 329.4241, 2348.368, 1701.52, 116.8998, 1849.851, 1059.72, 42.65874, 1167.398
157.1, 551.3224, 445.2968, 258.5389, 829.1019, 29.47029, 40.33474, 382.2729, 512.9446, 248.6615, 479.2814, 361.3119, 0.02178775, 236.6621, 269.3359, 929.8352, 517.4432, 854.8867, 1915.175, 0.07102693, 2374.207, 615.3683, 4728.628, 596.7213, 2971.716, 1433.368, 2.714428e-05, 3196.156, 3001.516, 789.4138, 315.1064, 2246.154, 1649.386, 111.3685, 1870.275, 1162.696, 40.74223, 1183.032
157.2, 525.3673, 424.3108, 247.1583, 832.3923, 28.09447, 38.34269, 431.6678, 569.314, 236.7746, 454.8312, 343.2721, 0.02078694, 226.1105, 255.1984, 889.0376, 583.5652, 817.205, 2103.536, 0.06804418, 2258.859, 653.0492, 4704.125, 604.385, 2925.911, 1462.793, 2.580612e-05, 3105.991, 2903.677, 752.0374, 301.4109, 2148.388, 1614.288, 106.0989, 1822.488, 1107.674, 38.91183, 1158.884
157.3, 510.5177, 404.3138, 236.2787, 884.4536, 26.78288, 36.44902, 502.8807, 542.4781, 225.4559, 431.6282, 326.133, 0.0198321, 288.9618, 241.803, 850.03, 557.029, 824.0174, 2011.506, 0.06518669, 2149.115, 622.1799, 4684.015, 614.0934, 2865.742, 1393.884, 2.453393e-05, 3101.982, 2837.123, 716.4307, 288.3107, 2201.642, 1543.435, 101.0787, 1746.932, 1055.255, 37.16366, 1172.719
157.4, 486.4836, 385.2592, 225.8779, 927.9423, 25.53252, 106.8693, 500.6527, 516.9072, 214.6783, 409.609, 309.8496, 0.01892112, 276.0784, 229.1107, 964.4688, 531.6995, 787.6964, 2053.401, 0.06244919, 2154.832, 592.7698, 4750.056, 601.6821, 2744.112, 1419.93, 2.332445e-05, 3135.226, 2824.447, 682.5098, 275.7799, 2234.277, 1564.991, 96.29601, 1674.509, 1005.317, 35.49403, 1158.386
157.5, 527.344, 367.1027, 215.935, 924.1797, 24.34054, 101.5913, 479.7731, 492.5416, 204.4159, 388.713, 294.3793, 0.01805198, 263.7694, 217.0847, 922.1516, 546.4662, 875.882, 1963.565, 0.05982666, 2102.373, 564.7499, 4821.905, 594.2241, 2692.684, 1513.227, 2.21746e-05, 3012.708, 2765.321, 771.9756, 263.7937, 2149.958, 1522.37, 91.73962, 1605.088, 957.7424, 33.89941, 1203.178
157.6, 502.5178, 349.8018, 206.4298, 929.6993, 23.2042, 96.57388, 567.3828, 469.3245, 194.6441, 368.8831, 279.6813, 0.01722277, 252.0092, 205.6899, 881.6911, 521.617, 921.8426, 1978.469, 0.05731425, 2000.232, 538.0546, 4661.884, 566.7128, 2595.158, 1441.942, 2.108143e-05, 2963.462, 2644.607, 786.0731, 252.3285, 2070.157, 1516.881, 87.39881, 1666.126, 912.419, 32.37643, 1147.403
