 , C000, C005, C006, C008, C011, C014, C015, C016, C018, C019, C020, C022, C023, C025, C028, C030, C032, C033, C035, C037, C038, C040, C041, C043, C044, C045, C047, C049, C053, C055, C056, C057, C061, C062, C067, C069
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
117.8, 228.9265, 338.5267, 328.369, 10.61647, 423.7716, 158.3538, 663.0778, 451.582, 115.9013, 14.28093, 139.5204, 356.8926, 1444.231, 1185.465, 0.01447591, 160.0404, 328.7797, 414.4669, 285.6075, 611.9603, 1110.746, 468.7895, 85.20368, 319.2712, 652.7856, 174.5995, 192.4908, 6.53506, 821.0588, 704.5356, 224.1103, 2.451086, 695.1761, 562.519, 301.5988, 0.9317122
117.9, 218.9215, 324.134, 314.5194, 10.15443, 406.1255, 151.708, 788.7021, 432.6004, 111.0581, 13.61005, 133.492, 370.1875, 1495.009, 1136.478, 0.01385092, 215.225, 313.449, 396.0962, 273.9325, 777.2609, 1058.137, 496.6566, 81.75659, 306.0189, 620.3481, 166.6213, 184.6375, 6.228511, 875.2568, 675.1458, 213.9009, 2.349546, 665.6093, 595.8348, 287.7701, 0.8919098
118, 209.3538, 388.3338, 301.2539, 9.712494, 389.2143, 145.3411, 753.2812, 414.4167, 106.4172, 12.97069, 127.7241, 353.6796, 1428.995, 1126.124, 0.01325291, 206.3112, 353.5627, 378.5398, 262.7347, 823.3279, 1076.343, 476.1182, 78.44896, 293.3167, 589.5223, 159.0076, 177.1045, 5.936341, 1013.057, 646.9819, 204.1566, 2.252213, 637.2999, 714.3484, 274.5755, 0.8538079
118.1, 200.2043, 386.103, 288.5479, 9.289794, 373.0072, 139.2414, 719.451, 396.9973, 101.9703, 12.36137, 122.2055, 337.9079, 1431.985, 1131.445, 0.01268072, 236.4717, 337.0764, 495.12, 251.9948, 784.3892, 1038.327, 456.4291, 75.27515, 281.1417, 702.8201, 151.7418, 169.879, 5.657877, 965.9268, 847.1724, 194.8562, 2.158913, 610.1946, 683.0249, 261.9859, 0.8173336
118.2, 191.4546, 369.6875, 276.3779, 8.88549, 375.0848, 133.3977, 687.1401, 380.3101, 97.70921, 11.78067, 116.9253, 322.8395, 1474.04, 1100.786, 0.01213324, 259.4825, 321.3589, 473.1744, 241.6938, 747.2921, 1143.686, 437.5542, 72.22974, 269.4721, 667.8963, 144.8081, 162.9482, 5.392475, 920.9895, 811.8324, 185.9795, 2.069477, 584.2421, 702.7586, 249.9735, 0.7824175
118.3, 183.0873, 375.5282, 264.7211, 8.498783, 468.8835, 127.7992, 656.2804, 364.3244, 93.62617, 11.22724, 111.8732, 308.443, 1421.843, 1055.298, 0.01160939, 314.1642, 306.3743, 452.2016, 231.8139, 711.9495, 1185.141, 459.4297, 69.30753, 258.2868, 634.7078, 138.1911, 156.3001, 5.139523, 909.2052, 777.9666, 177.5071, 1.983746, 784.6291, 874.1371, 238.5119, 0.748993
118.4, 175.0857, 365.6148, 253.556, 8.128905, 449.359, 122.4357, 626.8066, 349.0106, 89.71375, 10.69982, 107.0394, 294.6885, 1445.943, 1153.072, 0.01110816, 335.8554, 334.7395, 476.2576, 320.9872, 807.1976, 1151.544, 451.7469, 66.50356, 247.5659, 603.1685, 131.8766, 149.9233, 4.898437, 866.9067, 745.5135, 169.4207, 1.901567, 766.6558, 1086.451, 227.5759, 0.7169963
118.5, 167.4338, 440.37, 262.5296, 7.775126, 430.6475, 117.2973, 598.6564, 334.3404, 85.96481, 10.19717, 102.4145, 281.5474, 1481.986, 1105.424, 0.01062857, 383.7561, 319.131, 455.1481, 307.866, 803.1818, 1138.783, 500.5627, 63.81301, 237.2899, 573.1965, 125.8505, 143.8067, 4.668659, 851.808, 714.4143, 161.7027, 1.822792, 734.0488, 1668.193, 615.5882, 0.6863666
118.6, 160.1163, 421.6474, 292.2559, 7.436742, 503.9373, 112.3746, 571.7705, 320.2869, 82.37254, 9.718141, 97.98942, 268.9923, 1416.548, 1059.745, 0.01016968, 391.1835, 328.518, 434.9742, 295.2811, 813.4799, 1084.846, 479.8627, 61.23133, 227.4405, 544.7137, 120.0999, 137.9396, 4.449659, 835.6584, 684.6124, 154.3363, 1.74728, 727.5097, 1595.045, 857.9863, 0.6570453
118.7, 153.1186, 440.5916, 311.1533, 7.113086, 538.7744, 107.6584, 546.092, 306.8242, 78.93038, 9.261611, 93.75552, 256.997, 1428.086, 1058.909, 0.009730613, 374.9823, 313.1996, 415.6945, 283.2107, 775.007, 1128.805, 460.0188, 58.75409, 217.9999, 517.6464, 114.612, 132.3119, 4.240933, 854.4175, 656.0536, 147.3055, 1.674897, 736.7115, 1525.103, 818.6466, 0.6289766
