 , C000, C001, C002, C004, C005, C007, C008, C009, C010, C011, C013, C014, C015, C016, C017, C018, C019, C024, C025, C026, C030, C031, C032, C033, C034, C035, C036, C037, C038, C040, C041, C044, C045, C047, C048, C050, C055, C058, C066, C068, C072, C079, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
260.5, 2.171673, 50.14039, 838.1358, 486.328, 2.623846, 2768.027, 838.5259, 7.134222, 176.6418, 82.61834, 61.94426, 13.9778, 485.977, 551.61, 2507.771, 0.3054376, 889.1057, 172.7412, 705.465, 0.01361737, 49.97831, 1300.705, 177.216, 951.9794, 242.7359, 457.1679, 735.639, 941.573, 404.8729, 1146.861, 761.0365, 491.0767, 209.378, 679.2874, 0.5940012, 512.1169, 791.8456, 361.1759, 1510.488, 1230.95, 2460.068, 1432.414, 2333.44
260.6, 2.078254, 104.0961, 828.5504, 462.3256, 2.477835, 2614.806, 879.0402, 6.786494, 168.3685, 78.27888, 58.71463, 13.26473, 588.3378, 524.1101, 2444.998, 0.291574, 843.2277, 164.2278, 673.8166, 0.01295175, 47.88485, 1271.751, 166.0827, 912.8884, 231.4247, 517.0333, 702.6711, 980.7322, 453.929, 1099.861, 749.5136, 624.9125, 197.7424, 650.4426, 0.568319, 533.8835, 845.0392, 344.8416, 1568.195, 1175.808, 2441.661, 1367.432, 2380.509
260.7, 1.988854, 110.32, 790.5504, 439.5078, 2.339949, 2504.087, 878.9293, 6.455714, 160.4826, 74.16735, 55.6534, 12.58803, 722.297, 497.9812, 2419.053, 0.2783397, 799.7171, 156.1339, 643.588, 0.01231867, 45.87908, 1229.348, 155.6488, 875.4025, 220.6407, 508.0233, 754.5659, 1061.513, 432.1347, 1054.786, 750.5162, 727.3859, 186.7535, 622.8227, 0.5437471, 569.2482, 810.0829, 329.2459, 1575.02, 1176.225, 2447.823, 1461.814, 2352.776
260.8, 1.903299, 170.7672, 754.2931, 417.8161, 2.209736, 2592.137, 840.2469, 6.141057, 152.9661, 70.27177, 52.75177, 11.94586, 775.491, 473.1549, 2470.445, 0.265706, 758.4516, 148.439, 614.7155, 0.01171654, 43.95732, 1322.688, 145.8704, 839.456, 357.3117, 487.0342, 720.7498, 1015.012, 411.3868, 1011.559, 708.1656, 909.064, 176.3752, 596.3756, 0.5202376, 695.156, 776.5726, 314.3556, 1598.088, 1123.535, 2386.068, 1629.773, 2233.508
260.9, 1.821425, 163.0058, 734.1904, 590.684, 2.086769, 2461.438, 827.8116, 5.841737, 145.8016, 66.58081, 50.00142, 11.33645, 750.604, 449.5663, 2364.808, 0.2536458, 719.3154, 141.1233, 587.1383, 0.01114383, 42.11607, 1267.184, 136.7063, 804.9855, 340.6615, 499.9996, 808.1442, 970.5488, 411.8298, 1076.489, 668.2048, 974.3045, 166.5737, 665.0299, 0.4977445, 665.0001, 744.4485, 300.1387, 1533.117, 1073.205, 2351.063, 1618.771, 2120.287
261, 1.743073, 155.5972, 767.3802, 561.5311, 1.970646, 2591.045, 791.379, 5.557005, 138.9727, 63.08371, 47.39447, 10.75813, 715.3247, 427.1537, 2263.688, 0.242133, 682.1987, 134.1681, 560.7983, 0.01059912, 40.35194, 1214.01, 128.118, 771.9304, 324.7872, 479.3419, 771.927, 928.0332, 392.0568, 1032.372, 916.9893, 930.0883, 157.3168, 706.7289, 0.476224, 636.1523, 832.1606, 286.5648, 1705.81, 1107.549, 2380.627, 1763.825, 2152.23
261.1, 1.668091, 148.5254, 732.1855, 612.2571, 1.860984, 2509.251, 771.4312, 5.286152, 132.4636, 59.77029, 44.92344, 10.2093, 824.8008, 405.8584, 2322.55, 0.2311428, 813.8939, 127.5557, 644.0201, 0.01008104, 38.66171, 1163.067, 255.6666, 879.5391, 309.6526, 459.5378, 737.3329, 887.38, 373.2331, 990.0637, 865.2449, 887.8787, 148.5744, 676.7189, 0.4556339, 608.556, 797.737, 273.6048, 1636.46, 1057.936, 2370.595, 1754.051, 2043.128
261.2, 1.596335, 141.7749, 698.6051, 594.8558, 1.757424, 2357.14, 767.5148, 5.028501, 126.2594, 56.63091, 42.58124, 9.688481, 903.6608, 385.6248, 2366.892, 0.2206514, 771.8969, 121.2692, 615.1282, 0.00958828, 37.04227, 1114.261, 306.524, 843.4227, 295.2233, 440.5519, 704.2891, 883.7463, 355.3132, 962.1944, 816.4203, 847.5846, 140.3179, 647.9832, 0.4359341, 582.1567, 995.4494, 261.2309, 1647.997, 1010.544, 2366.741, 1794.361, 1986.944
261.3, 1.527666, 135.3313, 666.5648, 693.0246, 1.659628, 2238.095, 735.8279, 4.783407, 120.3458, 53.65641, 40.36116, 9.194228, 882.5298, 366.3999, 2349.016, 0.2106362, 802.7204, 115.2925, 729.3667, 0.009119606, 35.49067, 1096.654, 287.2671, 916.451, 281.4663, 520.0392, 721.9999, 1000.918, 338.2537, 1029.027, 770.3508, 809.1192, 132.5201, 620.4677, 0.417086, 629.9772, 1157.076, 249.4166, 1783.946, 1039.661, 2261.417, 1753.162, 2032.768
261.4, 1.46195, 169.429, 708.5419, 769.5324, 1.567273, 2378.04, 806.4008, 4.55026, 114.7092, 50.83816, 38.25682, 8.725189, 866.7323, 348.1335, 2248.572, 0.2010755, 761.2999, 109.6104, 696.6461, 0.00867384, 34.00406, 1179.255, 313.4053, 1151.648, 268.3504, 565.1299, 689.6433, 957.0717, 385.71, 986.8553, 726.881, 852.0984, 125.1557, 612.2841, 0.3990529, 602.6487, 1109.212, 238.1366, 1767.169, 1124.581, 2356.582, 1788.969, 1929.722
