 , C000, C001, C003, C005, C006, C007, C009, C015, C016, C017, C019, C023, C024, C026, C027, C028, C030, C032, C034, C036, C039, C042, C043, C045, C048, C051, C055, C058, C059, C060, C063, C066, C067, C068, C069, C075, C079, C088, C089, C101, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
75.7, 374.1127, 869.0485, 1059.554, 1206.474, 23.10362, 983.123, 446.3185, 1987.852, 1039.342, 333.1322, 1857.089, 779.5212, 295.1012, 219.3979, 958.3233, 54.36404, 476.9323, 289.7504, 521.4279, 331.7884, 943.0688, 170.9945, 1402.424, 229.8406, 648.5612, 0.01679254, 244.9583, 601.6072, 1077.526, 145.7473, 543.5224, 471.702, 2445.176, 751.3211, 762.9557, 968.0925, 606.4868, 912.7175, 639.1987, 924.1553, 1580.746
75.8, 357.2159, 831.387, 1054.741, 1232.962, 22.13114, 1024.056, 425.7854, 1967.124, 1161.813, 334.2321, 1823.039, 776.8859, 325.9578, 235.7945, 1000.567, 52.16845, 457.1616, 277.4721, 498.4613, 318.2588, 937.0959, 163.5791, 1343.543, 220.3689, 618.7312, 0.01596707, 233.9297, 613.5944, 1133.029, 176.4841, 570.1985, 475.0855, 2371.854, 719.2617, 729.8412, 926.7816, 576.4134, 1038.091, 612.7491, 884.6846, 1669.327
75.90000000000001, 341.0821, 889.7897, 1028.514, 1179.878, 21.19958, 976.7885, 406.197, 1884.858, 1185.97, 329.6655, 1978.216, 745.3174, 312.6531, 226.2282, 959.5206, 50.06152, 488.4791, 265.7141, 519.1153, 305.2809, 898.7651, 156.4853, 1371.353, 211.2876, 620.3621, 0.01518217, 223.3977, 652.4603, 1131.995, 169.0322, 546.5562, 454.0909, 2327.329, 801.9811, 698.1639, 969.2248, 547.8312, 993.9227, 587.394, 846.8997, 1751.733
76, 325.6771, 851.2293, 981.185, 1276.969, 20.30724, 993.0421, 387.5097, 1969.754, 1136.647, 315.2494, 1897.829, 766.1836, 299.8914, 217.05, 920.1585, 48.03969, 538.6441, 269.3202, 496.2506, 381.5731, 889.5287, 149.6991, 1356.928, 202.5804, 642.7453, 0.01443586, 213.3398, 624.4503, 1148.649, 161.895, 523.8942, 434.0241, 2293.844, 767.7599, 768.9459, 995.6064, 520.6663, 1068.191, 583.4189, 810.7285, 1676.303
76.09999999999999, 310.9678, 814.34, 1015.845, 1265.852, 19.45246, 947.2059, 369.6822, 1904.753, 1134.263, 301.4637, 1820.709, 782.4337, 287.6507, 208.2441, 882.4111, 46.09951, 516.3151, 337.4785, 532.3537, 366.0134, 853.1435, 143.2072, 1299.957, 194.2321, 613.1829, 0.01372623, 203.7347, 645.3171, 1186.516, 167.7601, 502.1719, 414.8441, 2195.978, 773.7648, 735.5714, 1027.551, 494.8484, 1054.328, 585.6553, 859.9232, 1604.121
76.2, 296.9229, 779.0494, 969.0991, 1211.352, 18.63366, 967.9069, 352.6749, 1890.665, 1136.228, 288.2808, 1787.625, 750.6398, 275.9096, 199.7956, 846.2122, 44.23769, 516.7133, 323.1777, 508.9059, 381.1781, 818.2466, 136.9968, 1386.015, 186.2279, 667.2884, 0.01305149, 194.5621, 624.3551, 1136.553, 191.6716, 481.3503, 396.5116, 2166.035, 740.7477, 703.6453, 983.7031, 539.324, 1044.544, 688.7378, 849.2244, 1647.428
76.3, 283.5123, 778.4238, 992.925, 1182.746, 17.84933, 1003.804, 445.1251, 1830.571, 1118.812, 275.6744, 1714.983, 831.9203, 264.6477, 191.6897, 811.4983, 42.45107, 570.9, 309.4829, 486.4909, 390.8095, 784.7772, 131.0558, 1327.823, 178.5535, 636.5971, 0.01240992, 185.8024, 597.5516, 1184.068, 183.5784, 461.3919, 378.9893, 2273.292, 746.2267, 673.105, 1057.172, 512.5809, 1000.101, 660.2383, 812.954, 1604.647
76.40000000000001, 270.7074, 744.6896, 1009.391, 1233.326, 17.09801, 957.4711, 438.3405, 1869.518, 1072.282, 263.6193, 1704.456, 810.1646, 280.2871, 183.9128, 778.2084, 40.7366, 547.2339, 306.3764, 465.0632, 374.8731, 752.6768, 125.3724, 1364.608, 171.1953, 635.5403, 0.01179988, 177.4372, 631.4911, 1163.591, 200.3414, 442.2611, 362.2413, 2176.302, 773.7787, 722.483, 1107.172, 487.164, 1078.992, 632.9182, 863.8165, 1557.936
76.5, 258.4808, 759.7192, 981.317, 1196.074, 16.37831, 1094.175, 464, 1801.645, 1070.011, 252.0914, 1757.063, 839.4475, 268.8465, 176.4513, 860.4161, 39.09137, 524.5488, 293.3936, 444.5792, 378.737, 721.8894, 119.9355, 1416.716, 164.1404, 753.7446, 0.01121983, 169.4485, 684.606, 1210.659, 191.8822, 519.8419, 346.2335, 2157.461, 781.4583, 721.6561, 1059.927, 463.0074, 1033.083, 606.7286, 826.9229, 1636.356
76.59999999999999, 246.8065, 726.7957, 936.1598, 1144.578, 15.68891, 1043.671, 442.6535, 1779.509, 1046.24, 241.0675, 1715.481, 925.8137, 257.8729, 169.2926, 825.1195, 37.51258, 502.8041, 280.9609, 424.9975, 390.0092, 746.5129, 114.7343, 1363.441, 157.3762, 775.654, 0.0106683, 161.8196, 655.2159, 1159.679, 248.2492, 498.2876, 330.933, 2183.587, 805.0112, 690.334, 1057.888, 440.0486, 989.1279, 619.8297, 791.6049, 1684.007
